endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LOG_SOL,r2,lgbm,ptgin,-0.015666314360706982,7,25,0.005538873315637454
LOG_SOL,spearman,lgbm,ptgin,-0.03541163048062731,5,25,2.67682323931198e-06
LOG_SOL,mae,lgbm,ptgin,0.0016907419101579424,10,25,0.3160113625355401
LOG_HLM,r2,lgbm,ptgin,0.03232170053697304,24,25,1.7073052412859787e-10
LOG_HLM,spearman,lgbm,ptgin,0.018838150016307648,22,25,3.8103591076592453e-07
LOG_HLM,mae,lgbm,ptgin,-0.006374978433048187,23,25,7.603761762343821e-07
LOG_RLM,r2,lgbm,ptgin,-0.001424488409841569,13,25,0.6047437452910441
LOG_RLM,spearman,lgbm,ptgin,-0.005458921971795854,9,25,0.03985348574180525
LOG_RLM,mae,lgbm,ptgin,0.0019825649096744426,9,25,0.1578008964023727
LOG_MDR1_ER,r2,lgbm,ptgin,-0.026637858302255072,2,25,1.4545763426855508e-08
LOG_MDR1_ER,spearman,lgbm,ptgin,-0.021058465809929684,1,25,5.494726161439613e-08
LOG_MDR1_ER,mae,lgbm,ptgin,0.004107074444413685,7,25,0.002205871971812221
LOG_HPPB,r2,lgbm,ptgin,0.03128199035133553,16,25,0.1373570050284494
LOG_HPPB,spearman,lgbm,ptgin,0.026203080339743876,14,25,0.12423680571367118
LOG_HPPB,mae,lgbm,ptgin,-0.0015819613591869298,13,25,0.843673904464255
LOG_RPPB,r2,lgbm,ptgin,-0.05143407355003526,7,25,0.03842569883840015
LOG_RPPB,spearman,lgbm,ptgin,-0.03304648226755762,6,25,0.016652518539844643
LOG_RPPB,mae,lgbm,ptgin,0.034057250471754605,5,25,3.2898717133247495e-05
LOG_SOL,r2,chemprop_st,ptgin,-0.08028999114927395,0,25,2.12131364604997e-12
LOG_SOL,spearman,chemprop_st,ptgin,-0.0449201416031798,2,25,2.4543365132690193e-08
LOG_SOL,mae,chemprop_st,ptgin,0.03377856139182058,0,25,1.8040789020966495e-12
LOG_HLM,r2,chemprop_st,ptgin,-0.022592548935184843,5,25,2.5688867055947712e-05
LOG_HLM,spearman,chemprop_st,ptgin,-0.06162254418030685,0,25,5.386243439543843e-17
LOG_HLM,mae,chemprop_st,ptgin,0.024430910094499755,0,25,2.1945061081032946e-12
LOG_RLM,r2,chemprop_st,ptgin,-0.07112824369065977,0,25,1.195774522202598e-16
LOG_RLM,spearman,chemprop_st,ptgin,-0.0732744653264663,0,25,7.743251388525403e-21
LOG_RLM,mae,chemprop_st,ptgin,0.04068921068473358,0,25,3.849995129617505e-19
LOG_MDR1_ER,r2,chemprop_st,ptgin,-0.10153224021432133,0,25,8.557308751596526e-24
LOG_MDR1_ER,spearman,chemprop_st,ptgin,-0.07982057106171693,0,25,2.359117952619903e-23
LOG_MDR1_ER,mae,chemprop_st,ptgin,0.034171112697347426,0,25,1.791951020704006e-18
LOG_HPPB,r2,chemprop_st,ptgin,0.22364320954299882,25,25,5.000930606796929e-11
LOG_HPPB,spearman,chemprop_st,ptgin,0.23973697670627106,25,25,2.3929017834645997e-13
LOG_HPPB,mae,chemprop_st,ptgin,-0.07553957398274325,25,25,2.989355395908582e-11
LOG_RPPB,r2,chemprop_st,ptgin,0.07188462764287847,20,25,0.0003187915055984849
LOG_RPPB,spearman,chemprop_st,ptgin,0.1784654948392558,25,25,2.5268007910830138e-11
LOG_RPPB,mae,chemprop_st,ptgin,-0.041736781270837804,23,25,2.897850713610665e-07
LOG_SOL,r2,chemeleon,ptgin,-0.10424154838145777,0,25,5.525788111697488e-16
LOG_SOL,spearman,chemeleon,ptgin,-0.07282256862510264,0,25,1.453056157427462e-14
LOG_SOL,mae,chemeleon,ptgin,0.0444964141560581,0,25,2.1845994044617043e-19
LOG_HLM,r2,chemeleon,ptgin,-0.11556658864209886,0,25,2.236817881573836e-20
LOG_HLM,spearman,chemeleon,ptgin,-0.09912919970603097,0,25,2.282305552645097e-20
LOG_HLM,mae,chemeleon,ptgin,0.05139586888070427,0,25,2.4482706490367535e-21
LOG_RLM,r2,chemeleon,ptgin,-0.12466962303437587,0,25,8.541730915211887e-25
LOG_RLM,spearman,chemeleon,ptgin,-0.1037082238022601,0,25,4.668227055301248e-26
LOG_RLM,mae,chemeleon,ptgin,0.0678191063876403,0,25,5.0455125091249474e-26
LOG_MDR1_ER,r2,chemeleon,ptgin,-0.09808702171895074,0,25,5.962650009210802e-20
LOG_MDR1_ER,spearman,chemeleon,ptgin,-0.08540742771758036,0,25,1.0235221700234979e-20
LOG_MDR1_ER,mae,chemeleon,ptgin,0.04964159232181688,0,25,8.677541650126632e-22
LOG_HPPB,r2,chemeleon,ptgin,-0.06987145204783592,8,25,0.0025508293244246656
LOG_HPPB,spearman,chemeleon,ptgin,-0.0794054838315231,4,25,4.913006093405776e-05
LOG_HPPB,mae,chemeleon,ptgin,0.016322851314093147,10,25,0.09239183934157008
LOG_RPPB,r2,chemeleon,ptgin,-0.08752782559736598,3,25,4.39952312275275e-06
LOG_RPPB,spearman,chemeleon,ptgin,-0.08861146423307438,0,25,2.7311027125120614e-08
LOG_RPPB,mae,chemeleon,ptgin,0.03458739546836893,4,25,1.5768929713373344e-05
LOG_SOL,r2,chemprop,ptgin,-0.08570081257193658,0,25,2.9012863650503175e-14
LOG_SOL,spearman,chemprop,ptgin,-0.04433702854279434,2,25,2.9444971551137698e-08
LOG_SOL,mae,chemprop,ptgin,0.03114387877780809,0,25,2.2964131182529673e-14
LOG_HLM,r2,chemprop,ptgin,-0.037780299649591564,0,25,7.938510485019353e-10
LOG_HLM,spearman,chemprop,ptgin,-0.0667185353182345,0,25,6.235395403042925e-19
LOG_HLM,mae,chemprop,ptgin,0.02449106512759341,0,25,3.156792891230906e-16
LOG_RLM,r2,chemprop,ptgin,-0.08221569944589581,0,25,2.704792189055422e-18
LOG_RLM,spearman,chemprop,ptgin,-0.08116697215198468,0,25,2.6774020272045712e-21
LOG_RLM,mae,chemprop,ptgin,0.04349903708473359,0,25,1.8168775093304137e-20
LOG_MDR1_ER,r2,chemprop,ptgin,-0.10153224021432133,0,25,8.557308751596526e-24
LOG_MDR1_ER,spearman,chemprop,ptgin,-0.07982057106171693,0,25,2.359117952619903e-23
LOG_MDR1_ER,mae,chemprop,ptgin,0.034171112697347426,0,25,1.791951020704006e-18
LOG_HPPB,r2,chemprop,ptgin,-0.006201102858523749,11,25,0.7369203738665338
LOG_HPPB,spearman,chemprop,ptgin,-0.005318080765144748,11,25,0.746084599060664
LOG_HPPB,mae,chemprop,ptgin,-0.009176714046815913,15,25,0.24731874551966349
LOG_RPPB,r2,chemprop,ptgin,-0.045043571978490474,8,25,0.030066637290110217
LOG_RPPB,spearman,chemprop,ptgin,-0.03069361037163372,11,25,0.036397563423606095
LOG_RPPB,mae,chemprop,ptgin,0.01724055778491131,6,25,0.027152750546886414
LOG_SOL,r2,chemprop,chemeleon,0.01854073580952116,20,25,0.002007762337390754
LOG_SOL,spearman,chemprop,chemeleon,0.0284855400823083,22,25,5.909009673996519e-06
LOG_SOL,mae,chemprop,chemeleon,-0.013352535378250015,23,25,1.3007052503463151e-08
LOG_HLM,r2,chemprop,chemeleon,0.07778628899250731,25,25,5.932141113426184e-15
LOG_HLM,spearman,chemprop,chemeleon,0.03241066438779647,25,25,7.030543547750728e-11
LOG_HLM,mae,chemprop,chemeleon,-0.026904803753110856,25,25,2.114006610622801e-15
LOG_RLM,r2,chemprop,chemeleon,0.042453923588480054,25,25,4.4025592661319844e-13
LOG_RLM,spearman,chemprop,chemeleon,0.02254125165027543,25,25,3.1594544667214634e-10
LOG_RLM,mae,chemprop,chemeleon,-0.02432006930290672,25,25,1.0291389034399529e-13
LOG_MDR1_ER,r2,chemprop,chemeleon,-0.00344521849537057,10,25,0.25577635804303817
LOG_MDR1_ER,spearman,chemprop,chemeleon,0.005586856655863439,16,25,0.01650710102298378
LOG_MDR1_ER,mae,chemprop,chemeleon,-0.01547047962446946,24,25,1.373397001206484e-11
LOG_HPPB,r2,chemprop,chemeleon,0.06367034918931218,19,25,0.0013087158385575103
LOG_HPPB,spearman,chemprop,chemeleon,0.07408740306637834,24,25,9.829714324237611e-07
LOG_HPPB,mae,chemprop,chemeleon,-0.025499565360909058,20,25,0.0006788088977523942
LOG_RPPB,r2,chemprop,chemeleon,0.042484253618875506,16,25,0.030645597622497096
LOG_RPPB,spearman,chemprop,chemeleon,0.05791785386144066,23,25,4.730092918841147e-06
LOG_RPPB,mae,chemprop,chemeleon,-0.017346837683457617,17,25,0.02227710905508312
LOG_SOL,r2,lgbm,chemprop_st,0.06462367678856698,25,25,1.4054046594260765e-11
LOG_SOL,spearman,lgbm,chemprop_st,0.009508511122552498,18,25,0.10657925620982131
LOG_SOL,mae,lgbm,chemprop_st,-0.032087819481662644,24,25,1.0264411216896907e-10
LOG_HLM,r2,lgbm,chemprop_st,0.05491424947215788,25,25,4.4295848176715867e-11
LOG_HLM,spearman,lgbm,chemprop_st,0.0804606941966145,25,25,3.612527042822814e-17
LOG_HLM,mae,lgbm,chemprop_st,-0.030805888527547943,25,25,2.7754192121705764e-13
LOG_RLM,r2,lgbm,chemprop_st,0.06970375528081821,25,25,1.0606996364663045e-14
LOG_RLM,spearman,lgbm,chemprop_st,0.06781554335467044,25,25,1.5049013314606763e-17
LOG_RLM,mae,lgbm,chemprop_st,-0.03870664577505914,25,25,6.497486586980057e-17
LOG_MDR1_ER,r2,lgbm,chemprop_st,0.07489438191206627,25,25,2.034947584554916e-19
LOG_MDR1_ER,spearman,lgbm,chemprop_st,0.05876210525178724,25,25,1.1058120257836853e-17
LOG_MDR1_ER,mae,lgbm,chemprop_st,-0.030064038252933738,25,25,3.0609907575263016e-18
LOG_HPPB,r2,lgbm,chemprop_st,-0.19236121919166327,1,25,2.2046553602746755e-08
LOG_HPPB,spearman,lgbm,chemprop_st,-0.21353389636652717,0,25,6.973394962549312e-14
LOG_HPPB,mae,lgbm,chemprop_st,0.07395761262355631,0,25,8.509183184335595e-11
LOG_RPPB,r2,lgbm,chemprop_st,-0.12331870119291373,2,25,1.1582987603547432e-07
LOG_RPPB,spearman,lgbm,chemprop_st,-0.21151197710681344,0,25,9.769896395508807e-13
LOG_RPPB,mae,lgbm,chemprop_st,0.07579403174259242,0,25,3.7612132313572273e-16
