Name,inchikey,in_corpus_exact,in_corpus_connectivity,nearest_tanimoto
Mol2,QPGKFAVCLFYJMW-UHFFFAOYSA-N,False,False,0.3146067415730337
Mol5,NWFPCWIBSBZRGV-UHFFFAOYSA-N,False,False,0.41975308641975306
Mol6,VJPPLCNBDLZIFG-ZDUSSCGKSA-N,False,False,0.3132530120481928
Mol8,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,False,False,0.4444444444444444
Mol10,GKHIVNAUVKXIIY-UHFFFAOYSA-N,False,False,0.4819277108433735
Mol12,XCBHYDPDIJQQGM-UHFFFAOYSA-N,False,False,0.48333333333333334
Mol18,SELCQITYGGFDHW-UHFFFAOYSA-N,False,False,0.3411764705882353
Mol20,KAXAUWZJVWGFDO-UHFFFAOYSA-N,False,False,0.4375
Mol23,BZZKEPGENYLQSC-FIBGUPNXSA-N,False,False,0.34
Mol25,ZYSCOUXLBXGGIM-UHFFFAOYSA-N,False,False,0.5189873417721519
Mol26,ZRYMMWAJAFUANM-INIZCTEOSA-N,False,False,0.4803921568627451
Mol28,FAJGIEVMPKNFTN-UHFFFAOYSA-N,False,False,0.49122807017543857
Mol32,FDMQDKQUTRLUBU-UHFFFAOYSA-N,False,False,0.4835164835164835
Mol38,UOFYSRZSLXWIQB-UHFFFAOYSA-N,False,False,0.48314606741573035
Mol43,JBILWRJWVQZBIQ-UHFFFAOYSA-N,False,False,0.45454545454545453
Mol50,ACWKGTGIJRCOOM-MHZLTWQESA-N,False,False,0.4868421052631579
Mol51,RLZPMZJNCREYMM-GXFFZTMASA-N,False,False,0.3448275862068966
Mol55,ZILWUCCSRUSYKN-UHFFFAOYSA-N,False,False,0.38095238095238093
Mol58,PYPNQOBMWKABHL-UHFFFAOYSA-N,False,False,0.49333333333333335
Mol59,KEQCZCSDQPRXPW-UHFFFAOYSA-N,False,False,0.4857142857142857
Mol60,BFQFVRWUWMMEDG-UHFFFAOYSA-N,False,False,0.4189189189189189
Mol61,CHZUDAHTAPDLPR-UHFFFAOYSA-N,False,False,0.42424242424242425
Mol64,XQDRORXGSRMPIK-UHFFFAOYSA-N,False,False,0.4
Mol71,RSDQQHVDBXWCDE-DNVJHFABSA-N,False,False,0.4594594594594595
Mol72,RTSIVZFZSQNFQG-UHFFFAOYSA-N,False,False,0.49411764705882355
Mol74,FYXCIBJXJYBWPX-UHFFFAOYSA-N,False,False,0.41333333333333333
Mol81,LZMJNVRJMFMYQS-UHFFFAOYSA-N,False,False,0.4731182795698925
Mol84,KNVJMHHAXCPZHF-JTQLQIEISA-N,False,False,0.37373737373737376
Mol85,MYKJVLTXPNIGOV-KTKRTIGZSA-N,False,False,0.3018867924528302
Mol87,CDYSSOARLIVXTN-UHFFFAOYSA-N,False,False,0.45454545454545453
Mol88,NKANXQFJJICGDU-QPLCGJKRSA-N,False,False,0.5161290322580645
Mol89,XMEKIZVYEUCVCT-UHFFFAOYSA-N,False,False,0.484375
Mol90,GSHZLMCBYLCLJF-UHFFFAOYSA-N,False,False,0.45714285714285713
Mol91,KDRWUMJNCIGMDU-UHFFFAOYSA-N,False,False,0.34065934065934067
Mol92,CHHHECHQSQNTGV-UHFFFAOYSA-N,False,False,0.39436619718309857
Mol96,ASHNDICTFBCNDX-UHFFFAOYSA-N,False,False,0.36231884057971014
Mol98,WIGIZIANZCJQQY-RUCARUNLSA-N,False,False,0.35802469135802467
Mol101,NNYOJAXCMNGLAI-UHFFFAOYSA-N,False,False,0.3333333333333333
Mol102,GGBUJOQRXGWBLP-UHFFFAOYSA-N,False,False,0.35
Mol104,AAPWEYDMQBLZCQ-HNNXBMFYSA-N,False,False,0.3522727272727273
Mol106,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,False,False,0.4155844155844156
Mol107,ZWFDKBAXZVNNBR-UHFFFAOYSA-N,False,False,0.43661971830985913
Mol108,JUHLMJKOEKSRGQ-UHFFFAOYSA-N,False,False,0.43243243243243246
Mol116,HBLXNQMPDSMODH-INIZCTEOSA-N,False,False,0.4666666666666667
Mol119,OYNBEDDKSIPEQC-UHFFFAOYSA-N,False,False,0.49206349206349204
Mol122,JLRGJRBPOGGCBT-UHFFFAOYSA-N,False,False,0.49122807017543857
Mol125,OHFKPEOPRKVCGF-UHFFFAOYSA-N,False,False,0.37333333333333335
Mol126,CFWGBDXZJKAFDJ-UHFFFAOYSA-N,False,False,0.40350877192982454
Mol128,SNZVTWLNSMPCST-UHFFFAOYSA-N,False,False,0.4189189189189189
Mol130,RKWGIWYCVPQPMF-UHFFFAOYSA-N,False,False,0.4791666666666667
Mol134,NULOERHCXMXMIF-UHFFFAOYSA-N,False,False,0.47761194029850745
Mol139,MOMCHYGXXYBDCD-UHFFFAOYSA-N,False,False,0.4533333333333333
Mol140,ONYWALXTZFPKAS-XHCCPWGMSA-N,False,False,0.4155844155844156
Mol142,RYYNGWLOYLRZLK-RBUKOAKNSA-N,False,False,0.4418604651162791
Mol145,GJPICJJJRGTNOD-UHFFFAOYSA-N,False,False,0.4939759036144578
Mol153,JKDGKIBAOAFRPJ-ZBINZKHDSA-N,False,False,0.4931506849315068
Mol155,YIDDLAAKOYYGJG-UHFFFAOYSA-N,False,False,0.49382716049382713
Mol156,HWQQDVNGHZIALS-UHFFFAOYSA-N,False,False,0.4142857142857143
Mol160,KXBDTLQSDKGAEB-UHFFFAOYSA-N,False,False,0.4935064935064935
Mol161,VVLHQJDAUIPZFH-UHFFFAOYSA-N,False,False,0.47560975609756095
Mol162,CUABMPOJOBCXJI-UHFFFAOYSA-N,False,False,0.4174757281553398
Mol168,NWXBRIYZBMNFNP-UHFFFAOYSA-N,False,False,0.4305555555555556
Mol169,BTDKOFMWYIXWST-UHFFFAOYSA-N,False,False,0.49019607843137253
Mol170,IBPVQHMKZIALCG-UHFFFAOYSA-N,False,False,0.4225352112676056
Mol171,ZBAUPCSYCKCMEL-UHFFFAOYSA-N,False,False,0.4666666666666667
Mol172,KHYSVIIQFIPZCM-UHFFFAOYSA-N,False,False,0.41935483870967744
Mol174,NPLRJFHZIYZAGC-UHFFFAOYSA-N,False,False,0.4507042253521127
Mol175,PFIMNXYWZIJWII-UHFFFAOYSA-N,False,False,0.39344262295081966
Mol178,YDQRBNYGAYXCIM-UHFFFAOYSA-N,False,False,0.4393939393939394
Mol179,ZCIZOOMETHCMJC-UHFFFAOYSA-N,False,False,0.32727272727272727
Mol181,VSNHROIGKLNPBI-UHFFFAOYSA-N,False,False,0.4084507042253521
Mol182,JCRGHRMNIRPPGA-UHFFFAOYSA-N,False,False,0.4117647058823529
Mol184,OKHPWDIARTVTSI-UHFFFAOYSA-N,False,False,0.3939393939393939
Mol185,YALNUENQHAQXEA-UHFFFAOYSA-N,False,False,0.42424242424242425
Mol191,GYELMTFAQQOSKZ-UHFFFAOYSA-N,False,False,0.3493975903614458
Mol192,WNZTUWLUFXNECY-UHFFFAOYSA-N,False,False,0.3448275862068966
Mol195,RKPGSHGQEFFOFS-UHFFFAOYSA-N,False,False,0.45454545454545453
Mol203,ARYLMIYFAZEEAH-UHFFFAOYSA-N,False,False,0.43333333333333335
Mol206,LPTVPXXWCHGQRK-UHFFFAOYSA-N,False,False,0.4393939393939394
