endpoint,method,r2_mean,r2_std,spearman_mean,spearman_std,mae_mean,mae_std
LOG_SOL,lgbm,0.2745851662300583,0.023599461028579773,0.47265498152445273,0.02278019043156678,0.41267134793594357,0.008696256097651303
LOG_SOL,chemprop_st,0.3392088430186253,0.026612656403380574,0.48216349264700525,0.021175013701444433,0.38058352845428095,0.0111871725034528
LOG_SOL,chemprop,0.3446196644412879,0.023278918997559885,0.4815803795866198,0.017169631883169594,0.38321821106829346,0.006899181188794986
LOG_SOL,chemeleon,0.3631604002508091,0.021467068386909625,0.5100659196689281,0.01685642309108396,0.3698656756900434,0.007113392840286229
LOG_SOL,ptgin,0.2589188518693513,0.024755822562090028,0.43724335104382545,0.020285715049050496,0.41436208984610157,0.007660601404168549
LOG_HLM,lgbm,0.32586350877201586,0.0152627601811631,0.5733981746237362,0.01022364653402177,0.3949268492995006,0.004887493424484399
LOG_HLM,chemprop_st,0.3807777582441738,0.023097512166535456,0.6538588688203507,0.01603863729021064,0.36412096077195266,0.010358501191881144
LOG_HLM,chemprop,0.3959655089585805,0.017476750248904875,0.6589548599582783,0.009973203045594216,0.36406080573885896,0.006766521805010197
LOG_HLM,chemeleon,0.4737517979510878,0.018776870608947085,0.6913655243460748,0.01220371216376903,0.33715600198574813,0.007226245727981425
LOG_HLM,ptgin,0.3581852093089889,0.012257249471392135,0.5922363246400438,0.010124350953683043,0.3885518708664524,0.00444582436929225
LOG_RLM,lgbm,0.3894209845155856,0.011348571828914434,0.6270783400795095,0.009327822070806702,0.46957018896590513,0.0050313789337493526
LOG_RLM,chemprop_st,0.4591247397964037,0.015032666999259179,0.6948938834341799,0.01030101556494575,0.43086354319084597,0.0064839964381977885
LOG_RLM,chemprop,0.4702121955516398,0.014317289422939045,0.7027863902596982,0.010241317702164434,0.42805371679084603,0.005908054218268579
LOG_RLM,chemeleon,0.5126661191401198,0.012371560595271138,0.7253276419099737,0.008299323413110876,0.4037336474879393,0.006090091678847381
LOG_RLM,ptgin,0.387996496105744,0.008734822777859782,0.6216194181077136,0.007511288384008347,0.47155275387557954,0.004058598814600691
LOG_MDR1_ER,lgbm,0.448585271570081,0.010414653432787501,0.6955028360858984,0.008546752536636974,0.38527224517368835,0.0045233292690485425
LOG_MDR1_ER,chemprop_st,0.5234796534821472,0.0107160423716984,0.7542649413376856,0.008534146154987713,0.3552082069207546,0.005473244064434141
LOG_MDR1_ER,chemprop,0.5234796534821472,0.0107160423716984,0.7542649413376856,0.008534146154987713,0.3552082069207546,0.005473244064434141
LOG_MDR1_ER,chemeleon,0.5200344349867766,0.009223566419898785,0.7598517979935491,0.005551685315835561,0.33973772729628515,0.0037261192148110634
LOG_MDR1_ER,ptgin,0.4219474132678259,0.012487993478940192,0.6744443702759686,0.010243056903081795,0.389379319618102,0.004923535658161538
LOG_HPPB,lgbm,0.12867518292136132,0.09352960943779623,0.43376706862747694,0.05842793133584987,0.5756141314590982,0.03345523039253257
LOG_HPPB,chemprop_st,-0.063686036270302,0.05885807279821045,0.22023317226094977,0.06274633720261932,0.6495717440826546,0.01799493289419261
LOG_HPPB,chemprop,0.1661582761312206,0.049116494910472486,0.46528822973236555,0.04336102671037366,0.5832088841467272,0.01972498192068619
LOG_HPPB,chemeleon,0.22982862532053278,0.0647175207187719,0.5393756327987439,0.038232394322656314,0.5577093187858182,0.02544509774298411
LOG_HPPB,ptgin,0.15995717327269687,0.08424013797477847,0.4599701489672208,0.075226191007705,0.5740321700999114,0.03355260646147854
LOG_RPPB,lgbm,0.11799156170874209,0.06731707650331098,0.4550245942078676,0.04431402403868703,0.5539112351786483,0.02054366947288806
LOG_RPPB,chemprop_st,-0.005327139484171672,0.04392044246152859,0.24351261710105418,0.06078478488541763,0.6297052669212406,0.010186769360278503
LOG_RPPB,chemprop,0.1116010601371973,0.05628838238346053,0.45267172231194375,0.03884367871422833,0.5707279278654915,0.02045924150770656
LOG_RPPB,chemeleon,0.15408531375607282,0.06122145888411356,0.5105895761733844,0.03103353318967755,0.5533810901820339,0.022758270061266385
LOG_RPPB,ptgin,0.06655748815870684,0.07564104823050988,0.42197811194031004,0.05789648567292671,0.5879684856504028,0.02742149521569871
