endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LogD,r2,lgbm,ptgin,-0.09065525783590252,0,25,7.234242412025937e-18
LogD,spearman,lgbm,ptgin,-0.06640869567550485,0,25,7.932951521464013e-17
LogD,mae,lgbm,ptgin,0.04681723251086534,0,25,1.052485532162037e-15
LogS,r2,lgbm,ptgin,-0.07801186418732904,0,25,1.56986285024739e-12
LogS,spearman,lgbm,ptgin,0.0025500969418730144,13,25,0.5056504854171242
LogS,mae,lgbm,ptgin,0.03758357106344768,0,25,4.594957657472445e-14
LOG_HLM,r2,lgbm,ptgin,0.03930423173518287,19,25,0.0008511707226717959
LOG_HLM,spearman,lgbm,ptgin,0.014264820505886762,19,25,0.0074984801223314974
LOG_HLM,mae,lgbm,ptgin,-0.006212460909403858,18,25,0.004948497829281559
LOG_MLM,r2,lgbm,ptgin,0.08997657624728272,23,25,3.8942540139425684e-07
LOG_MLM,spearman,lgbm,ptgin,-0.028592615140842145,5,25,0.0015252917891285475
LOG_MLM,mae,lgbm,ptgin,-0.019865108948943614,23,25,2.7399994300654555e-07
LOG_Caco_AB,r2,lgbm,ptgin,0.11242820582188419,22,25,7.669265670682828e-06
LOG_Caco_AB,spearman,lgbm,ptgin,0.0006612519418202756,14,25,0.934413404405713
LOG_Caco_AB,mae,lgbm,ptgin,-0.015290554981248268,21,25,0.00012862611801410778
LOG_Caco_Efflux,r2,lgbm,ptgin,0.13633301144259258,25,25,8.599497401806985e-09
LOG_Caco_Efflux,spearman,lgbm,ptgin,0.05343873389061109,23,25,1.3136562370594348e-05
LOG_Caco_Efflux,mae,lgbm,ptgin,-0.02580931523377613,25,25,2.751120127257522e-08
LOG_MPPB,r2,lgbm,ptgin,-0.025938880834347387,9,25,0.1670239508354451
LOG_MPPB,spearman,lgbm,ptgin,-0.07762728388962971,2,25,9.684298405591035e-07
LOG_MPPB,mae,lgbm,ptgin,0.003550340191734791,9,25,0.3305552903947926
LOG_MBPB,r2,lgbm,ptgin,-0.0425484104941768,8,25,0.02505579601764897
LOG_MBPB,spearman,lgbm,ptgin,0.005630138490140535,15,25,0.5080696597208698
LOG_MBPB,mae,lgbm,ptgin,0.013023062035779165,6,25,0.002925848682588215
LOG_MGMB,r2,lgbm,ptgin,0.16193932798790683,21,25,2.2857089968648808e-05
LOG_MGMB,spearman,lgbm,ptgin,0.016509777399841767,12,25,0.18123828367173755
LOG_MGMB,mae,lgbm,ptgin,-0.05381374454045742,23,25,2.518219356957925e-07
LogD,r2,chemprop_st,ptgin,-0.28041988771508175,0,25,4.427009691865792e-24
LogD,spearman,chemprop_st,ptgin,-0.20777656464307728,0,25,1.0999214271047593e-26
LogD,mae,chemprop_st,ptgin,0.18346777461893177,0,25,5.1600926995087526e-23
LogS,r2,chemprop_st,ptgin,-0.18966417616003428,0,25,3.016837327759692e-16
LogS,spearman,chemprop_st,ptgin,-0.07396918819795083,0,25,2.522347635631164e-15
LogS,mae,chemprop_st,ptgin,0.09815363796468464,0,25,2.323961064058888e-18
LOG_HLM,r2,chemprop_st,ptgin,0.0904124010417899,21,25,0.0004567945649703148
LOG_HLM,spearman,chemprop_st,ptgin,0.04824512841901299,24,25,1.2167679811120095e-05
LOG_HLM,mae,chemprop_st,ptgin,-0.021701121190042062,22,25,5.30358397446623e-05
LOG_MLM,r2,chemprop_st,ptgin,0.18103324332000711,25,25,3.6851182266394803e-09
LOG_MLM,spearman,chemprop_st,ptgin,0.0023502249531692533,12,25,0.796304703337904
LOG_MLM,mae,chemprop_st,ptgin,-0.042990781043719596,25,25,4.688505462974374e-10
LOG_Caco_AB,r2,chemprop_st,ptgin,0.4051418707292392,24,25,1.4935115988221456e-08
LOG_Caco_AB,spearman,chemprop_st,ptgin,0.14226579438878834,25,25,7.856665970790363e-09
LOG_Caco_AB,mae,chemprop_st,ptgin,-0.053826094904233415,24,25,1.2170934671721712e-08
LOG_Caco_Efflux,r2,chemprop_st,ptgin,0.1049520347270832,23,25,1.2530126618359481e-05
LOG_Caco_Efflux,spearman,chemprop_st,ptgin,0.006406587638304642,15,25,0.5422267452629561
LOG_Caco_Efflux,mae,chemprop_st,ptgin,-0.017177212173210697,23,25,0.00010500997855512798
LOG_MPPB,r2,chemprop_st,ptgin,0.08210561873214166,18,25,0.01968851911204371
LOG_MPPB,spearman,chemprop_st,ptgin,0.021823093314408668,18,25,0.12210546626557363
LOG_MPPB,mae,chemprop_st,ptgin,-0.0019934838998329897,11,25,0.7398599206820682
LOG_MBPB,r2,chemprop_st,ptgin,0.02109248149911772,15,25,0.3166832561028979
LOG_MBPB,spearman,chemprop_st,ptgin,-0.004008873034753693,11,25,0.6172850970400136
LOG_MBPB,mae,chemprop_st,ptgin,0.00422380455032922,9,25,0.3586992941054209
