Name,inchikey,in_corpus_exact,in_corpus_connectivity,nearest_tanimoto
E-0020101,ICPYMRFUYBWITG-UHFFFAOYSA-N,False,False,0.35
E-0020102,ZGKLLPJRGFTJIT-UHFFFAOYSA-N,False,False,0.35802469135802467
E-0020103,LUJOACOATCMNPV-UHFFFAOYSA-N,False,False,0.3698630136986301
E-0020104,DGESUKWYSAEVTJ-UHFFFAOYSA-N,False,False,0.34146341463414637
E-0020105,KQPMKRSUVCNJDY-UHFFFAOYSA-N,False,False,0.35064935064935066
E-0020106,OLIJKKUWDOZILH-UHFFFAOYSA-N,False,False,0.31868131868131866
E-0020107,XALQCEKXWLMXRN-UHFFFAOYSA-N,False,False,0.3181818181818182
E-0020108,BXNUENJVKTVBJY-YRWFTTLQSA-N,False,False,0.30120481927710846
E-0020109,WMZGNOBZVMCGEQ-MOJGAOKDSA-N,False,False,0.3191489361702128
E-0020126,QSFBFYYWEBUWOT-UHFFFAOYSA-N,False,False,0.4146341463414634
E-0020131,BRIKBKZSMPDPBE-VIKVFOODSA-N,False,False,0.3
E-0020132,WHTVUKSDPLZTIQ-UHFFFAOYSA-N,False,False,0.3103448275862069
E-0020133,RWTAZTPZXLXOQD-PMACEKPBSA-N,False,False,0.31
E-0020134,DRKLCLANVGCSRY-JKHIJQBDSA-N,False,False,0.3783783783783784
E-0020135,GXXFAWYIEZDEMS-FIDNPTQWSA-N,False,False,0.3258426966292135
E-0020136,AFWGMTKXBGJPJM-AERCQKQUSA-N,False,False,0.32142857142857145
E-0020137,VKFMZUPFBAAUDZ-DZFIZOCASA-N,False,False,0.2967032967032967
E-0020138,LHDHMAXJRGZUBJ-UHFFFAOYSA-N,False,False,0.3411764705882353
E-0020139,JPZJXPINKYWREE-UHFFFAOYSA-N,False,False,0.34210526315789475
E-0020140,LKTUXKMPMUCHNC-UHFFFAOYSA-N,False,False,0.3611111111111111
E-0020141,SOUNHSMSNWPLPE-OOWSSMPZSA-N,False,False,0.2988505747126437
E-0020142,JXZAHWPSDUHYQQ-GZOXUSKESA-N,False,False,0.3111111111111111
E-0020143,CHDFOEGZPRWOIK-ZZYHAFTGSA-N,False,False,0.31958762886597936
E-0020144,VGKRHZGDZXOKQA-ACWUQQCTSA-N,False,False,0.32954545454545453
E-0020145,BWZDXBKQSYKIFV-SGRGSNTQSA-N,False,False,0.3225806451612903
E-0020146,ZLUIEEYJLNDKIU-NGRWLJPCSA-N,False,False,0.31958762886597936
E-0020147,FFXXJIKCJBKLIP-NGRWLJPCSA-N,False,False,0.30526315789473685
E-0020148,VNPMVFFPMJRNAM-NGRWLJPCSA-N,False,False,0.31521739130434784
E-0020149,IIXMMMVIBWHBAL-NPHXMPSESA-N,False,False,0.3069306930693069
E-0020150,MSJGSSFPNYRDFF-PIIMJCKOSA-N,False,False,0.30337078651685395
E-0020151,AQMHSAQPXTWHRM-QWHZDKJVSA-N,False,False,0.3146067415730337
E-0020152,FUJBJWVIBZDALF-DZFIZOCASA-N,False,False,0.33707865168539325
E-0020153,ILDQFFLGQYVAFK-QVDMIQRCSA-N,False,False,0.3333333333333333
E-0020154,OISAYOTVAGVABD-AWEZNQCLSA-N,False,False,0.3373493975903614
E-0020155,OISAYOTVAGVABD-CQSZACIVSA-N,False,False,0.3972602739726027
E-0020156,JHGQEVBLBNXSOJ-AWEZNQCLSA-N,False,False,0.3670886075949367
E-0020157,JHGQEVBLBNXSOJ-CQSZACIVSA-N,False,False,0.3972602739726027
E-0020158,FLSULMXAZNVXSQ-UHFFFAOYSA-N,False,False,0.35443037974683544
E-0020159,ZSPMXFMXFWGGSJ-UHFFFAOYSA-N,False,False,0.34146341463414637
E-0020160,MTSAWUTYKXQYGC-UHFFFAOYSA-N,False,False,0.37037037037037035
E-0020161,BMRUNDOUGQTLFL-UHFFFAOYSA-N,False,False,0.3488372093023256
E-0020162,KZDWEUFBZIPHBQ-UHFFFAOYSA-N,False,False,0.4782608695652174
E-0020163,VUKVHYUXFPZWFO-UHFFFAOYSA-N,False,False,0.3516483516483517
E-0020164,LAUWDARXTVZJRC-PMOLBWCYSA-N,False,False,0.3918918918918919
E-0020165,FNWXENRHHIVVQS-GZOXUSKESA-N,False,False,0.33695652173913043
E-0020166,ZMTRSTDRFRDQJF-MOJGAOKDSA-N,False,False,0.32967032967032966
E-0020167,WHVBTHIBFOKGPA-NGRWLJPCSA-N,False,False,0.3625
E-0020168,URVFSHCDXGJJKS-UHFFFAOYSA-N,False,False,0.4024390243902439
E-0020169,NITKUGBGSOWUNR-QWHZDKJVSA-N,False,False,0.31
E-0020170,XIVCIFFTIUNLKP-IGOJGBNBSA-N,False,False,0.30097087378640774
E-0020171,OPGRREXZCJVMPB-RUYXUALKSA-N,False,False,0.31958762886597936
E-0020172,BPYJXPDFCMDFAI-OEWRPIJISA-N,False,False,0.30120481927710846
E-0020173,FFONQEAYDJVMGG-WGMWDUQUSA-N,False,False,0.3466666666666667
E-0020174,JYRRSGLDKTZRLV-IGOJGBNBSA-N,False,False,0.35135135135135137
E-0020177,MMOVYJNHEJAKBR-UHFFFAOYSA-N,False,False,0.3793103448275862
E-0020178,BWFGNLLHNLPIRX-UHFFFAOYSA-N,False,False,0.40540540540540543
E-0020184,SAXLMCIGWNAPNF-UHFFFAOYSA-N,False,False,0.3953488372093023
E-0020194,JGJSCUWPYOAYFK-UHFFFAOYSA-N,False,False,0.425
E-0020195,XQLMBXUJKHMGQY-UHFFFAOYSA-N,False,False,0.527027027027027
E-0020199,HTAQNRONYZSVQB-VQFNDLOPSA-N,False,False,0.3157894736842105
E-0020200,NWJPNQHLBLEFMY-QXSURTEESA-N,False,False,0.3163265306122449
E-0020201,HLBFRHVRJXUHDK-QLPKVWCKSA-N,False,False,0.32926829268292684
E-0020202,HSYXABGZIRIPKR-HWWDLCQESA-N,False,False,0.3611111111111111
E-0020203,JMTOULHROAHIRD-QXSURTEESA-N,False,False,0.3020833333333333
E-0020204,RUDXVKQUAYJGGQ-GZOXUSKESA-N,False,False,0.32558139534883723
E-0020205,DEYZYUNJWXQOOX-ACWUQQCTSA-N,False,False,0.3258426966292135
E-0020206,UOKOFPSIIOFZQP-BSRHZMJTSA-N,False,False,0.3333333333333333
E-0020207,XCHVCFNUOAVFJF-NGRWLJPCSA-N,False,False,0.31521739130434784
E-0020208,VXUHGIBJUQTHFE-MOJGAOKDSA-N,False,False,0.3191489361702128
E-0020209,HUHJXADPXJKBDA-NGRWLJPCSA-N,False,False,0.30952380952380953
E-0020210,JPFVLHMFDGSWCD-QXSURTEESA-N,False,False,0.3469387755102041
E-0020211,YCTFVMYRFIITQS-UHFFFAOYSA-N,False,False,0.3918918918918919
E-0020212,XCQGFFHZDILJFZ-UHFFFAOYSA-N,False,False,0.358974358974359
E-0020213,DNSWNSNESSOJCO-UHFFFAOYSA-N,False,False,0.43548387096774194
E-0020214,SKHVTEDOEDDKQM-WGMWDUQUSA-N,False,False,0.29069767441860467
E-0020215,JZDYZMKKWKSCTJ-OEWRPIJISA-N,False,False,0.3333333333333333
E-0020216,FLMNQPFJAGVUIR-UHFFFAOYSA-N,False,False,0.4714285714285714
E-0020217,YOMFOMJNZFLKLC-NGRWLJPCSA-N,False,False,0.28888888888888886
E-0020218,AJNSLSZCKFFLMU-MOJGAOKDSA-N,False,False,0.2903225806451613
E-0020219,AJGZJLJUSPHDKR-NGRWLJPCSA-N,False,False,0.3333333333333333
E-0020220,YOJOQUUUCKPRSH-MOJGAOKDSA-N,False,False,0.35714285714285715
E-0020221,JVLJBJYRUKOBHO-MOJGAOKDSA-N,False,False,0.32407407407407407
E-0020222,RCXOMBULXJZOBS-NGRWLJPCSA-N,False,False,0.33707865168539325
E-0020223,CZTMBSNVSCXMNN-UHFFFAOYSA-N,False,False,0.37209302325581395
E-0020224,KKOOKFFUNVKCHN-SGRGSNTQSA-N,False,False,0.36363636363636365
E-0020225,CLPTUFDSKNOZBR-RMNGQBEXSA-N,False,False,0.3516483516483517
E-0020226,HCFVXFOTYDDHKU-FVRPBGSPSA-N,False,False,0.2978723404255319
E-0020227,QZKQOFRYIONUGS-UHFFFAOYSA-N,False,False,0.3404255319148936
E-0020228,UCHAKUPUOSBHRN-NGRWLJPCSA-N,False,False,0.30434782608695654
E-0020229,PRODQRKZBXNWFD-YRWFTTLQSA-N,False,False,0.38095238095238093
E-0020230,YBDBOHYYEJCLKB-LFUKPOHLSA-N,False,False,0.3953488372093023
E-0020231,MHQKJAMNIKXMAF-MOJGAOKDSA-N,False,False,0.297029702970297
E-0020232,NEINWQYTUMOTQR-NGRWLJPCSA-N,False,False,0.3333333333333333
E-0020233,JWVAFLIXXRBBSH-ACWUQQCTSA-N,False,False,0.4117647058823529
E-0020234,AYNXEAZYBGHMGO-YRWFTTLQSA-N,False,False,0.34523809523809523
E-0020235,JVXMXXFXJSKNFA-NGRWLJPCSA-N,False,False,0.3191489361702128
E-0020236,KXALEEOVPIHLLT-NGRWLJPCSA-N,False,False,0.3118279569892473
E-0020242,FERQFMLCZSIKGZ-UHFFFAOYSA-N,False,False,0.4235294117647059
E-0020243,AOXCEKWAUASYGY-HALDLXJZSA-N,False,False,0.29545454545454547
E-0020244,ZBQAHQFXVAVUBF-UHFFFAOYSA-N,False,False,0.37209302325581395
E-0020245,GDSPMRBJOAQBJV-OOWSSMPZSA-N,False,False,0.32222222222222224
E-0020246,SWSCIEXPUDOWCJ-GZOXUSKESA-N,False,False,0.2823529411764706
E-0020247,OCMXNINLTBWGJL-RQNKKOPCSA-N,False,False,0.2978723404255319
E-0020248,OCMXNINLTBWGJL-JUDODJEXSA-N,False,False,0.2978723404255319
