Name,SMILES,LOG_SOL,LOG_HLM,LOG_RLM,LOG_MDR1_ER,LOG_HPPB,LOG_RPPB,cluster,ds
Mol1,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,0.089905111,0.675686709,1.392169149,1.493167369,0.991226076,0.51851394,1750,train
Mol2,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,0.550228353,0.675686709,1.027920136,1.040780099,0.099680641,0.268343914,84,test
Mol3,CN(c1ncc(F)cn1)[C@H]1CCCNC1,,0.675686709,1.027920136,-0.358805917,2.0,2.0,785,train
Mol4,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,1.657055853,0.675686709,1.027920136,1.02666239,-1.158015195,-1.403402904,1709,train
Mol5,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,,0.996380313,1.629093448,1.010596548,1.015611205,1.092264361,84,test
Mol6,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,1.033423755,1.397348966,2.376374361,0.860625544,0.163856803,-0.639532816,822,test
Mol7,CC(C)NCC(O)COc1cccc2ccccc12,,1.327231598,3.318275952,-0.162401489,,1.347759218,283,train
Mol8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,,1.458063445,2.72806226,2.091561417,-0.91721463,-0.943095149,177,test
Mol9,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.93399,2.7565,3.2433,0.72516,0.62603,-0.35853,10,train
Mol10,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,,1.630824356,3.192741081,1.301828955,-1.384078213,-0.504455662,623,test
Mol11,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,0.675686709,1.28368559,2.305351369,1.378597739,2.0,72,train
Mol12,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,1.751610089,1.198299609,2.138776216,0.097722674,1.729799023,1.626076768,462,test
Mol13,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,,2.004110625,2.365560985,0.891865247,-0.449771647,-0.325138859,646,train
Mol14,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,,1.884823674,2.160423509,0.79989303,,-0.055517328,97,train
Mol15,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,,1.155882358,2.238813599,0.402661496,-1.22184875,-0.68613278,286,train
Mol16,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1.818225894,1.564145072,2.2125152,1.868344533,1.730984039,1.615139594,233,train
Mol17,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,1.414137362,1.048286393,1.849836922,1.414640239,,1.072507236,957,train
Mol18,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,1.726482697,0.983626287,2.25299858,1.582757474,1.677187053,1.388207807,69,test
Mol19,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,,1.226135722,2.208589142,-0.329004434,0.653405491,0.640978057,1780,train
Mol20,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,,2.56594576,3.372693144,,0.713910354,0.631443769,1787,test
Mol21,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,1.729974286,0.675686709,1.435764759,1.81723103,1.828227965,1.74597993,217,train
Mol22,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,,0.860996437,1.511656132,1.600468919,1.642995934,1.786412441,524,train
Mol23,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,1.229809783,0.675686709,1.417438476,2.05650206,1.186566481,1.236577565,18,test
Mol24,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,1.004321374,2.282135893,3.161600362,1.393231611,0.752995432,0.901294817,10,train
Mol25,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,1.475235223,1.066176786,1.571266162,1.882226244,-0.354577731,-0.08249449,1087,test
Mol26,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,0.380211242,1.05709529,1.637629802,0.531991235,0.436162647,0.326540669,1391,test
Mol27,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,0.342422681,0.675686709,1.027920136,1.726392071,1.559583476,1.364100521,72,train
Mol28,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,1.610127613,0.675686709,1.436051275,0.448797935,,1.615287063,18,test
Mol29,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,,0.675686709,1.027920136,0.832551262,-0.467245621,-0.295849483,10,train
Mol30,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1.538196578,,2.607477542,1.035733431,0.630986911,1.244598701,72,train
Mol31,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,0.397940009,0.932980822,2.281224324,,0.731266349,0.455758203,374,train
Mol32,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,,0.990827051,2.322653372,1.931719426,-0.049635146,-0.308918508,12,test
