inchi_key,dataset,provided_split,hlm_clint,mdr1_mdck_er,plasma_protein_binding_human,plasma_protein_binding_rat,rlm_clint,solubility_ph_6_8,is_benchmark
MZDKLVOWGIOKTN-UHFFFAOYSA-N,tdc,,,,,,,,False
LYPAFUINURXJSG-AWEZNQCLSA-N,tdc,,,,,,,,False
DWHXUGDWKAIASB-CQSZACIVSA-N,tdc,,,,,,,,False
PXFBDHZSZSBPND-RAXLEYEMSA-N,tdc,,,,,,,,False
CYZKUXVEDYZLTN-QBFSEMIESA-N,tdc,,,,,,,,False
FFFWFAUFYUNHEL-INIZCTEOSA-N,tdc,,,,,,,,False
ZQKOYKRWNALQKQ-UHFFFAOYSA-N,tdc,,,,,,,,False
QOFCWXZJKNLFGI-UHFFFAOYSA-N,tdc,,,,,,,,False
LQHDJQIMETZMPH-ZBFHGGJFSA-N,pcba,,,,,,,,False
YWNXAXBSTKVANW-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
MSEWCMGYELVSPM-UHFFFAOYSA-N,nabla,test_full_structures,,,,,,,False
WDPJFKHWWKAFHL-UHFFFAOYSA-N,nabla,test_full_scaffolds,,,,,,,False
XDKGNUDZYVBAIN-UHFFFAOYSA-N,nabla,"train_large,train_full",,,,,,,False
JLGXXFBERWDYJM-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
KFIGETLAEUYAAC-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
ZAGHAYXNSSUWJU-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
OFUROMFFDPXUTN-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
MDSLNQHDOWDYJT-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
SODROPXDDXGRNB-UHFFFAOYSA-N,nabla,test_full_structures,,,,,,,False
KNXNRCXCPXRPAW-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
GSZUTQQJPXSUMK-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
DNDFHAZJBCBPQH-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
ZBDHSIOYLJIVBM-UHFFFAOYSA-N,nabla,test_full_scaffolds,,,,,,,False
BXIDCGOKRWOUQX-UHFFFAOYSA-N,nabla,test_full_scaffolds,,,,,,,False
LLKTZASMISRICZ-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
DWPAUQFOFJJUBQ-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
SGLQSXDGWAHRRA-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
ZVIMQGANPJDDPW-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
SQOSDXPAGALULE-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
GYZJAPAXUOSPPX-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
IDJSUSOKRAKTMU-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
MFIVPFPITZRQSO-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
NNCBFSNVEPMDHX-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
FQLKDMWXIVOHIP-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
FQIZTYCOQDINSQ-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
SHFUIWBGDRKMEP-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
MLLCTRACTQYQOI-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
WXGLWHNJNBSGRY-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
FYXKRBVADSXRQW-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
SFMOMCAMXGWQGK-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
FNVSPWPXKVQSKH-UHFFFAOYSA-N,nabla,test_full_structures,,,,,,,False
MKWSQBOVFAUMJN-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
CZDBYNVIKVTFDU-UHFFFAOYSA-N,nabla,test_full_scaffolds,,,,,,,False
AJSPTCNBQXUMHE-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
FGYVGWFXVNABKK-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
PNVHZTLDJLCJGX-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
ABGUOMZRBNKUQD-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
XNKPBULJVFKQDS-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
GDVRVPIXWXOKQO-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
DZPBVBXUWGHFQW-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
SRNCPBXYGIKVPT-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
LADNFQSMVPAHAE-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
QDTXZKGGRRGNMV-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
BWWPJCRFNFHNNG-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
YEXKFBSBNDNVEI-UHFFFAOYSA-N,nabla,train_full,,,,,,,False
YDUIILJLZLGIMX-UHFFFAOYSA-N,nabla,test_full_conformations,,,,,,,False
JTNZUQFTLLVULC-UHFFFAOYSA-N,nabla,"train_large,train_full",,,,,,,False
CTWWNADSPARUHO-UHFFFAOYSA-N,nabla,test_full_structures,,,,,,,False
AQIXAKUUQRKLND-UHFFFAOYSA-N,tdc,,,,,,,,False
