inchi_key,dataset,provided_split,hlm_clint,mdr1_mdck_er,plasma_protein_binding_human,plasma_protein_binding_rat,rlm_clint,solubility_ph_6_8,is_benchmark
DCYOADKBABEMIQ-FLCVNNLFSA-M,chembl,,,,,,,,False
NCEXYHBECQHGNR-MRCUWXFGSA-M,chembl,,,,,,,,False
SUGVYNSRNKFXQM-DETITRACSA-N,chembl,,,,,,,,False
OIRDTQYFTABQOQ-HGOUYRHRSA-N,chembl,,,,,,,,False
LRFKWQGGENFBFO-LJQANCHMSA-M,chembl,,,,,,,,False
LCFFREMLXLZNHE-GRBCXPRBSA-O,chembl,,,,,,,,False
RFKXAYJUFUZBMA-MRXNPFEDSA-O,chembl,,,,,,,,False
BFYIZQONLCFLEV-HGDKKCICSA-N,chembl,,,,,,,,False
BOZRFEQDOFSZBV-PKTZIBPZSA-M,chembl,,,,,,,,False
TUCIOBMMDDOEMM-ZSOIEALJSA-M,chembl,,,,,,,,False
BFYIZQONLCFLEV-DSEDUUINSA-N,tdc,,,,,,,,False
OKFYOOFXVBCIIP-LJQANCHMSA-N,tdc,,,,,,,,False
IQCKJUKAQJINMK-PCEGQDSGSA-N,tdc,,,,,,,,False
OJMMVQQUTAEWLP-WPQWUILFSA-O,tdc,,,,,,,,False
OJMMVQQUTAEWLP-LTYLJMHASA-O,tdc,,,,,,,,False
OJMMVQQUTAEWLP-QUUJXJQUSA-O,tdc,,,,,,,,False
OJMMVQQUTAEWLP-BHYFIVCGSA-O,tdc,,,,,,,,False
AAHNBILIYONQLX-JOCHJYFZSA-N,tdc,,,,,,,,False
UYNVMODNBIQBMV-HRAATJIYSA-O,tdc,,,,,,,,False
ZDNGJXBUEQNFBQ-GCJKJVERSA-M,tdc,,,,,,,,False
AZFLJNIPTRTECV-NMLBUPMWSA-N,tdc,,,,,,,,False
WPTTVJLTNAWYAO-FAJWFOQZSA-N,tdc,,,,,,,,False
SGUAFYQXFOLMHL-FZKQIMNGSA-O,tdc,,,,,,,,False
ZLUNBVCXWQHWKZ-IBGZPJMESA-N,tdc,,,,,,,,False
YNNUSGIPVFPVBX-RTWAWAEBSA-O,tdc,,,,,,,,False
HUJXGQILHAUCCV-ZXTQRBJTSA-N,tdc,,,,,,,,False
HOUXYJOXPAQDMI-UHFFFAOYSA-O,tdc,,,,,,,,False
RLAWWYSOJDYHDC-FGTMMUONSA-M,tdc,,,,,,,,False
OIRDTQYFTABQOQ-SQQSDITASA-N,tdc,,,,,,,,False
ZCODHUILFDVDJC-SFHVURJKSA-N,tdc,,,,,,,,False
OUJTZYPIHDYQMC-IBGZPJMESA-M,tdc,,,,,,,,False
MFZZXCBIYVFULT-HNNXBMFYSA-N,tdc,,,,,,,,False
AEQDJSLRWYMAQI-QGZVFWFLSA-O,tdc,,,,,,,,False
BDVDXSBDBPVXCS-JTQLQIEISA-N,tdc,,,,,,,,False
YJJPNSUHIKBOHH-ZDUSSCGKSA-N,tdc,,,,,,,,False
QJOIOHIELFOAGM-ZWNOBZJWSA-N,tdc,,,,,,,,False
WIIZWVCIJKGZOK-IUCAKERBSA-N,tdc,,,,,,,,False
BOZRFEQDOFSZBV-DHIUTWEWSA-M,tdc,,,,,,,,False
IDGQTOBCUORHBJ-QXMHVHEDSA-O,tdc,,,,,,,,False
BFYIZQONLCFLEV-RQOBALISSA-N,tdc,,,,,,,,False
VSQQQLOSPVPRAZ-ACZMJKKPSA-N,tdc,,,,,,,,False
VGGGPCQERPFHOB-HZSPNIEDSA-N,tdc,,,,,,,,False
LOUPRKONTZGTKE-ITHTXLDVSA-O,tdc,,,,,,,,False
ACNHBCIZLNNLRS-GIQAMLAGSA-N,tdc,,,,,,,,False
IBGLGMOPHJQDJB-MCIONIFRSA-N,tdc,,,,,,,,False
YSSBJODGIYRAMI-SJORKVTESA-O,tdc,,,,,,,,False
OJMMVQQUTAEWLP-RPKOXJTJSA-O,tdc,,,,,,,,False
