endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LOG_SOL,r2,tdims35,monroe35,0.3308147437290203,25,25,1.3996900703804063e-26
LOG_SOL,spearman,tdims35,monroe35,0.24912183132530163,25,25,1.4148581229920447e-25
LOG_SOL,mae,tdims35,monroe35,-0.10271167101215399,25,25,8.435118928862257e-28
LOG_HLM,r2,tdims35,monroe35,0.2768873440975958,25,25,5.835684444735912e-32
LOG_HLM,spearman,tdims35,monroe35,0.20514142026675306,25,25,2.7110736939471132e-30
LOG_HLM,mae,tdims35,monroe35,-0.10939737591429101,25,25,1.7948118792251908e-35
LOG_RLM,r2,tdims35,monroe35,0.257358050244721,25,25,2.4148990554358354e-34
LOG_RLM,spearman,tdims35,monroe35,0.2005369642744321,25,25,9.656942513199258e-33
LOG_RLM,mae,tdims35,monroe35,-0.12659068413677388,25,25,1.8527432432518749e-37
LOG_MDR1_ER,r2,tdims35,monroe35,0.30076526496591127,25,25,1.6928304204947972e-29
LOG_MDR1_ER,spearman,tdims35,monroe35,0.1869483496982391,25,25,2.410065169626923e-28
LOG_MDR1_ER,mae,tdims35,monroe35,-0.12075551636770471,25,25,3.407588386624175e-30
LOG_HPPB,r2,tdims35,monroe35,0.5273215175185777,25,25,1.1156942569165252e-19
LOG_HPPB,spearman,tdims35,monroe35,0.36348067511295296,25,25,3.975926838896419e-21
LOG_HPPB,mae,tdims35,monroe35,-0.21021619371287367,25,25,7.174275202182842e-20
LOG_RPPB,r2,tdims35,monroe35,0.4966683951920255,25,25,1.1200802294490157e-13
LOG_RPPB,spearman,tdims35,monroe35,0.3696052950741819,25,25,6.82187786764883e-15
LOG_RPPB,mae,tdims35,monroe35,-0.17153976747777958,25,25,1.9565476109697388e-14
LOG_SOL,r2,lgbm,tdims35,-0.101942875056308,0,25,1.2056413511958317e-14
LOG_SOL,spearman,lgbm,tdims35,-0.09407416732921883,0,25,4.1992640785140814e-13
LOG_SOL,mae,lgbm,tdims35,0.011015026438514638,3,25,5.468013068809964e-06
LOG_HLM,r2,lgbm,tdims35,-0.03935003002468262,0,25,4.3740539369873215e-12
LOG_HLM,spearman,lgbm,tdims35,-0.02207345242789646,1,25,2.560150161430441e-08
LOG_HLM,mae,lgbm,tdims35,0.008913386329534227,1,25,1.0785109024838115e-08
LOG_RLM,r2,lgbm,tdims35,-0.07845577506083237,0,25,3.7095826748380726e-19
LOG_RLM,spearman,lgbm,tdims35,-0.06564510282763412,0,25,1.1105882406929347e-18
LOG_RLM,mae,lgbm,tdims35,0.02941278998589038,0,25,3.411498913673602e-17
LOG_MDR1_ER,r2,lgbm,tdims35,-0.09801944231954547,0,25,5.925460940697413e-20
LOG_MDR1_ER,spearman,lgbm,tdims35,-0.05976368792487364,0,25,6.913150825163173e-19
LOG_MDR1_ER,mae,lgbm,tdims35,0.023807841386711725,0,25,1.529512578136067e-15
LOG_HPPB,r2,lgbm,tdims35,-0.14554724916987163,1,25,4.415474949545203e-07
LOG_HPPB,spearman,lgbm,tdims35,-0.05920350985998388,4,25,0.00013462440711936423
LOG_HPPB,mae,lgbm,tdims35,0.05455350838198429,4,25,1.137098772000348e-06
LOG_RPPB,r2,lgbm,tdims35,-0.20765005578988802,3,25,7.694924087386445e-06
LOG_RPPB,spearman,lgbm,tdims35,-0.1322480601340726,2,25,7.612994246640065e-07
LOG_RPPB,mae,lgbm,tdims35,0.06625582282609202,2,25,2.8418784092918424e-06
LOG_SOL,r2,lgbm,monroe35,0.22887186867271228,25,25,3.546028740024683e-26
LOG_SOL,spearman,lgbm,monroe35,0.15504766399608283,25,25,1.2556874047316697e-23
LOG_SOL,mae,lgbm,monroe35,-0.09169664457363932,25,25,6.4505377946807216e-27
LOG_HLM,r2,lgbm,monroe35,0.2375373140729132,25,25,4.137770526753697e-31
LOG_HLM,spearman,lgbm,monroe35,0.1830679678388566,25,25,3.964457211497505e-32
LOG_HLM,mae,lgbm,monroe35,-0.10048398958475678,25,25,3.0828552026068996e-36
LOG_RLM,r2,lgbm,monroe35,0.17890227518388863,25,25,7.852233271683709e-30
LOG_RLM,spearman,lgbm,monroe35,0.13489186144679796,25,25,1.131938524090449e-28
LOG_RLM,mae,lgbm,monroe35,-0.09717789415088349,25,25,1.72952148489146e-32
LOG_MDR1_ER,r2,lgbm,monroe35,0.2027458226463658,25,25,7.979611342614443e-32
LOG_MDR1_ER,spearman,lgbm,monroe35,0.12718466177336546,25,25,6.1168551809603505e-30
LOG_MDR1_ER,mae,lgbm,monroe35,-0.09694767498099298,25,25,4.0774715228644795e-33
LOG_HPPB,r2,lgbm,monroe35,0.38177426834870604,25,25,2.08865256595443e-17
LOG_HPPB,spearman,lgbm,monroe35,0.3042771652529691,25,25,6.475567877205516e-19
LOG_HPPB,mae,lgbm,monroe35,-0.15566268533088942,25,25,3.7126448166807776e-17
LOG_RPPB,r2,lgbm,monroe35,0.2890183394021375,25,25,2.360047778470924e-13
LOG_RPPB,spearman,lgbm,monroe35,0.23735723494010924,25,25,4.583316142687116e-17
LOG_RPPB,mae,lgbm,monroe35,-0.10528394465168757,25,25,1.0577512067107853e-15
