endpoint,metric,method,mean,sd,tukey_group,n_folds
LOG_SOL,r2,lgbm,0.2745851662300583,0.023599461028579783,worse,25
LOG_SOL,r2,tdims35,0.17264229117375027,0.027931395619145365,worse,25
LOG_SOL,r2,monroe35,0.5034570349027706,0.010751564488584945,best,25
LOG_SOL,spearman,lgbm,0.47265498152445273,0.022780190431566788,worse,25
LOG_SOL,spearman,tdims35,0.37858081419523393,0.024646674366597184,worse,25
LOG_SOL,spearman,monroe35,0.6277026455205356,0.007125029352309479,best,25
LOG_SOL,mae,lgbm,0.41267134793594357,0.008696256097651307,worse,25
LOG_SOL,mae,tdims35,0.4236863743744582,0.007765339220060667,worse,25
LOG_SOL,mae,monroe35,0.3209747033623042,0.003781038470650725,best,25
LOG_HLM,r2,lgbm,0.32586350877201586,0.015262760181163097,worse,25
LOG_HLM,r2,tdims35,0.28651347874733324,0.01626649961160544,worse,25
LOG_HLM,r2,monroe35,0.5634008228449291,0.007774609869431677,best,25
LOG_HLM,spearman,lgbm,0.5733981746237362,0.01022364653402177,worse,25
LOG_HLM,spearman,tdims35,0.5513247221958397,0.013573961540501712,worse,25
LOG_HLM,spearman,monroe35,0.7564661424625928,0.004918489892799838,best,25
LOG_HLM,mae,lgbm,0.3949268492995005,0.004887493424484408,worse,25
LOG_HLM,mae,tdims35,0.4038402356290348,0.004674071168901186,worse,25
LOG_HLM,mae,monroe35,0.29444285971474377,0.0027346949996789956,best,25
LOG_RLM,r2,lgbm,0.3894209845155855,0.01134857182891444,worse,25
LOG_RLM,r2,tdims35,0.31096520945475314,0.011567525149900337,worse,25
LOG_RLM,r2,monroe35,0.5683232596994742,0.004902032621306062,best,25
LOG_RLM,spearman,lgbm,0.6270783400795095,0.009327822070806702,worse,25
LOG_RLM,spearman,tdims35,0.5614332372518753,0.010416029928607967,worse,25
LOG_RLM,spearman,monroe35,0.7619702015263075,0.0032033136819917263,best,25
LOG_RLM,mae,lgbm,0.46957018896590513,0.005031378933749369,worse,25
LOG_RLM,mae,tdims35,0.49898297895179544,0.0043463083287339785,worse,25
LOG_RLM,mae,monroe35,0.37239229481502156,0.002439125447306365,best,25
LOG_MDR1_ER,r2,lgbm,0.448585271570081,0.010414653432787496,worse,25
LOG_MDR1_ER,r2,tdims35,0.3505658292505355,0.021013085523310365,worse,25
LOG_MDR1_ER,r2,monroe35,0.6513310942164467,0.0049091491295247215,best,25
LOG_MDR1_ER,spearman,lgbm,0.6955028360858984,0.008546752536636974,worse,25
LOG_MDR1_ER,spearman,tdims35,0.6357391481610247,0.01421770064275402,worse,25
LOG_MDR1_ER,spearman,monroe35,0.8226874978592638,0.002503686053490839,best,25
LOG_MDR1_ER,mae,lgbm,0.3852722451736883,0.004523329269048541,worse,25
LOG_MDR1_ER,mae,tdims35,0.4090800865604,0.0074692556299460235,worse,25
LOG_MDR1_ER,mae,monroe35,0.2883245701926953,0.002017443576074565,best,25
LOG_HPPB,r2,lgbm,0.12867518292136132,0.09352960943779622,worse,25
LOG_HPPB,r2,tdims35,-0.016872066248510353,0.09361684999875028,worse,25
LOG_HPPB,r2,monroe35,0.5104494512700674,0.039776034175062744,best,25
LOG_HPPB,spearman,lgbm,0.43376706862747694,0.05842793133584988,worse,25
LOG_HPPB,spearman,tdims35,0.3745635587674931,0.05408790189654233,worse,25
LOG_HPPB,spearman,monroe35,0.7380442338804462,0.020751270948121656,best,25
LOG_HPPB,mae,lgbm,0.5756141314590982,0.03345523039253257,worse,25
LOG_HPPB,mae,tdims35,0.6301676398410825,0.036802743644737006,worse,25
LOG_HPPB,mae,monroe35,0.4199514461282089,0.018307648486085067,best,25
LOG_RPPB,r2,lgbm,0.11799156170874207,0.06731707650331098,worse,25
LOG_RPPB,r2,tdims35,-0.08965849408114596,0.17586169200212673,worse,25
LOG_RPPB,r2,monroe35,0.4070099011108796,0.05668249750905677,best,25
LOG_RPPB,spearman,lgbm,0.4550245942078676,0.04431402403868702,worse,25
LOG_RPPB,spearman,tdims35,0.32277653407379503,0.11619860377012434,worse,25
LOG_RPPB,spearman,monroe35,0.6923818291479769,0.03794522922981826,best,25
LOG_RPPB,mae,lgbm,0.5539112351786483,0.02054366947288806,worse,25
LOG_RPPB,mae,tdims35,0.6201670580047403,0.052159829707123406,worse,25
LOG_RPPB,mae,monroe35,0.44862729052696065,0.02391609664358511,best,25
