endpoint,config,repeat,fold,n_features,n_fit,n_val,val_r2
LOG_HLM,r1_dm2_max_cep,0,0,644,1718,440,0.2982523214814945
LOG_HLM,r1_dm2_max_cep,0,1,625,1681,477,0.24258909376904536
LOG_HLM,r1_dm2_max_cep,0,2,645,1735,423,0.17278715818603263
LOG_MDR1_ER,r1_dm2_max_cep,0,0,606,1467,371,0.35925447794738496
LOG_MDR1_ER,r1_dm2_max_cep,0,1,611,1449,389,0.46125994880972343
LOG_MDR1_ER,r1_dm2_max_cep,0,2,597,1475,363,0.30173971127077803
LOG_RPPB,r1_dm2_max_cep,0,0,85,84,25,0.28991069194373187
LOG_RPPB,r1_dm2_max_cep,0,1,93,86,23,-0.1568253090813252
LOG_RPPB,r1_dm2_max_cep,0,2,99,93,16,-0.07449954929146285
LOG_RLM,r1_dm2_max_nofrag,0,0,685,1701,431,0.2555015998121979
LOG_RLM,r1_dm2_max_nofrag,0,1,665,1656,476,0.26083948627449616
LOG_RLM,r1_dm2_max_nofrag,0,2,673,1717,415,0.22228449235592107
LOG_MDR1_ER,r1_dm2_max_nofrag,0,0,607,1467,371,0.38940656124182116
LOG_MDR1_ER,r1_dm2_max_nofrag,0,1,617,1449,389,0.4502718309915239
LOG_MDR1_ER,r1_dm2_max_nofrag,0,2,601,1475,363,0.3039455178758843
LOG_RPPB,r1_dm2_sum_cep,0,0,90,84,25,0.348038915014107
LOG_RPPB,r1_dm2_sum_cep,0,1,93,86,23,-0.4767421785653665
LOG_RPPB,r1_dm2_sum_cep,0,2,103,93,16,-0.14988128428475256
LOG_HPPB,r1_dm2_sum_nofrag,0,0,95,95,33,0.2942624641149735
LOG_HPPB,r1_dm2_sum_nofrag,0,1,109,103,25,0.3802046800254437
LOG_HPPB,r1_dm2_sum_nofrag,0,2,110,107,21,0.1312292226199746
LOG_RPPB,r1_dm2_sum_nofrag,0,0,90,84,25,0.13550443002700208
LOG_RPPB,r1_dm2_sum_nofrag,0,1,88,86,23,-0.6576302373344465
LOG_RPPB,r1_dm2_sum_nofrag,0,2,102,93,16,0.07294503515905881
LOG_RLM,r1_dp1_max_cep,0,0,1565,1701,431,0.32103471404455175
LOG_RLM,r1_dp1_max_cep,0,1,1492,1656,476,0.33661912603880706
LOG_RLM,r1_dp1_max_cep,0,2,1567,1717,415,0.2895781865547179
LOG_HLM,r1_dp1_max_nofrag,0,0,1470,1718,440,0.33114402885843086
LOG_HLM,r1_dp1_max_nofrag,0,1,1441,1681,477,0.3054032450321611
LOG_HLM,r1_dp1_max_nofrag,0,2,1470,1735,423,0.23821084980609497
LOG_RLM,r1_dp1_max_nofrag,0,0,1496,1701,431,0.3299343288797427
LOG_RLM,r1_dp1_max_nofrag,0,1,1476,1656,476,0.33969923950739167
LOG_RLM,r1_dp1_max_nofrag,0,2,1463,1717,415,0.3210632627497253
LOG_HLM,r1_dp1_sum_nofrag,0,0,1463,1718,440,0.34558332858115015
LOG_HLM,r1_dp1_sum_nofrag,0,1,1382,1681,477,0.32639788273186565
LOG_HLM,r1_dp1_sum_nofrag,0,2,1383,1735,423,0.24795467614275146
LOG_SOL,r2_dm1_max_cep,0,0,917,1235,266,0.35116008487538886
LOG_SOL,r2_dm1_max_cep,0,1,890,1175,326,0.17033139475381265
LOG_SOL,r2_dm1_max_cep,0,2,871,1185,316,0.14158336261829996
LOG_SOL,r2_dm1_max_nofrag,0,0,933,1235,266,0.2866475628518933
LOG_SOL,r2_dm1_max_nofrag,0,1,888,1175,326,0.05868141884775746
LOG_SOL,r2_dm1_max_nofrag,0,2,873,1185,316,0.1191493405170092
LOG_RLM,r2_dm1_max_nofrag,0,0,1289,1701,431,0.2310526373732491
LOG_RLM,r2_dm1_max_nofrag,0,1,1274,1656,476,0.2544945250956182
LOG_RLM,r2_dm1_max_nofrag,0,2,1264,1717,415,0.17984022620300777
LOG_SOL,r2_dm1_sum_cep,0,0,952,1235,266,0.3191034581442833
LOG_SOL,r2_dm1_sum_cep,0,1,921,1175,326,0.2172869543514513
LOG_SOL,r2_dm1_sum_cep,0,2,915,1185,316,0.19229831072265458
LOG_HLM,r2_dm2_max_cep,0,0,912,1718,440,0.16022833382979174
LOG_HLM,r2_dm2_max_cep,0,1,914,1681,477,0.18162489424738104
LOG_HLM,r2_dm2_max_cep,0,2,921,1735,423,0.14312117076196706
LOG_SOL,r2_dm2_sum_cep,0,0,854,1235,266,0.34322524587650816
LOG_SOL,r2_dm2_sum_cep,0,1,811,1175,326,0.21349720405069894
LOG_SOL,r2_dm2_sum_cep,0,2,823,1185,316,0.1321048929279175
LOG_HPPB,r2_dm2_sum_nofrag,0,0,107,95,33,0.12970603080083865
LOG_HPPB,r2_dm2_sum_nofrag,0,1,110,103,25,0.20772633563142628
LOG_HPPB,r2_dm2_sum_nofrag,0,2,111,107,21,0.1492765595457124
LOG_HPPB,r2_dp1_max_cep,0,0,303,95,33,0.366067535862868
LOG_HPPB,r2_dp1_max_cep,0,1,341,103,25,0.37747988803744226
LOG_HPPB,r2_dp1_max_cep,0,2,311,107,21,0.4084447474278894
LOG_RPPB,r2_dp1_max_cep,0,0,288,84,25,0.24544469412891212
LOG_RPPB,r2_dp1_max_cep,0,1,263,86,23,-0.04806170139804
LOG_RPPB,r2_dp1_max_cep,0,2,285,93,16,0.3161860864008058
LOG_MDR1_ER,r2_dp1_max_nofrag,0,0,2322,1467,371,0.2870256906753149
LOG_MDR1_ER,r2_dp1_max_nofrag,0,1,2287,1449,389,0.36285852125957097
LOG_MDR1_ER,r2_dp1_max_nofrag,0,2,2347,1475,363,0.3038606066060159
LOG_HPPB,r2_dp1_max_nofrag,0,0,283,95,33,0.35549454243535394
LOG_HPPB,r2_dp1_max_nofrag,0,1,333,103,25,0.37572849311863055
LOG_HPPB,r2_dp1_max_nofrag,0,2,307,107,21,0.38853769256010373
LOG_MDR1_ER,r2_dp1_sum_nofrag,0,0,2299,1467,371,0.34352365204087454
LOG_MDR1_ER,r2_dp1_sum_nofrag,0,1,2255,1449,389,0.4057270109627491
LOG_MDR1_ER,r2_dp1_sum_nofrag,0,2,2283,1475,363,0.31769538772835426
