endpoint,config,repeat,fold,n_features,ridge_val_r2
LOG_SOL,r1_dm1_max_cep,0,0,708,-0.09027847761313712
LOG_HLM,r1_dm1_max_cep,0,0,854,-0.17736157274309705
LOG_RLM,r1_dm1_max_cep,0,0,904,-0.28503500107477175
LOG_MDR1_ER,r1_dm1_max_cep,0,0,802,0.08402210693257173
LOG_HPPB,r1_dm1_max_cep,0,0,107,-0.2902644270841521
LOG_RPPB,r1_dm1_max_cep,0,0,98,0.1264751139359478
LOG_SOL,r1_dm1_max_nofrag,0,0,710,-0.13868178489280925
LOG_HLM,r1_dm1_max_nofrag,0,0,854,-0.35155469520814564
LOG_RLM,r1_dm1_max_nofrag,0,0,914,-0.34806585218669484
LOG_MDR1_ER,r1_dm1_max_nofrag,0,0,779,0.10852014777956254
LOG_HPPB,r1_dm1_max_nofrag,0,0,103,-0.3408468425232447
LOG_RPPB,r1_dm1_max_nofrag,0,0,105,0.1846233366181551
LOG_SOL,r1_dm1_sum_cep,0,0,773,-0.30231367969033296
LOG_HLM,r1_dm1_sum_cep,0,0,970,-0.5728904107988142
LOG_RLM,r1_dm1_sum_cep,0,0,1033,-0.5469891197781647
LOG_MDR1_ER,r1_dm1_sum_cep,0,0,896,-0.46584373817136226
LOG_HPPB,r1_dm1_sum_cep,0,0,101,-0.0926467754914384
LOG_RPPB,r1_dm1_sum_cep,0,0,93,-0.11734310088174604
LOG_SOL,r1_dm1_sum_nofrag,0,0,784,-0.5033045684734103
LOG_HLM,r1_dm1_sum_nofrag,0,0,981,-0.623827999570314
LOG_RLM,r1_dm1_sum_nofrag,0,0,1012,-0.8391591335144648
LOG_MDR1_ER,r1_dm1_sum_nofrag,0,0,872,-0.16538417842720543
LOG_HPPB,r1_dm1_sum_nofrag,0,0,101,-0.2007367344369917
LOG_RPPB,r1_dm1_sum_nofrag,0,0,96,-0.15649433699077542
LOG_SOL,r1_dm2_max_cep,0,0,587,-0.14842032153517493
LOG_HLM,r1_dm2_max_cep,0,0,644,-0.0061332135029765755
LOG_RLM,r1_dm2_max_cep,0,0,685,0.00687405796981555
LOG_MDR1_ER,r1_dm2_max_cep,0,0,606,0.27040630842866054
LOG_HPPB,r1_dm2_max_cep,0,0,90,-0.14378990843868533
LOG_RPPB,r1_dm2_max_cep,0,0,85,0.26813590426736533
LOG_SOL,r1_dm2_max_nofrag,0,0,596,0.04944638051424888
LOG_HLM,r1_dm2_max_nofrag,0,0,640,-0.04747269297475598
LOG_RLM,r1_dm2_max_nofrag,0,0,685,0.05698107871336111
LOG_MDR1_ER,r1_dm2_max_nofrag,0,0,607,0.24762434747542517
LOG_HPPB,r1_dm2_max_nofrag,0,0,100,-0.3689244840370651
LOG_RPPB,r1_dm2_max_nofrag,0,0,88,0.14109671662776013
LOG_SOL,r1_dm2_sum_cep,0,0,617,0.004774881109972928
LOG_HLM,r1_dm2_sum_cep,0,0,713,-0.07135298553138858
LOG_RLM,r1_dm2_sum_cep,0,0,750,-0.0931151345268848
LOG_MDR1_ER,r1_dm2_sum_cep,0,0,673,0.0919638336348314
LOG_HPPB,r1_dm2_sum_cep,0,0,93,-0.0762252791159892
LOG_RPPB,r1_dm2_sum_cep,0,0,90,0.29582988530136134
LOG_SOL,r1_dm2_sum_nofrag,0,0,633,-0.10210836788242017
LOG_HLM,r1_dm2_sum_nofrag,0,0,727,-0.11215697490417198
LOG_RLM,r1_dm2_sum_nofrag,0,0,758,-0.18294589255078963
LOG_MDR1_ER,r1_dm2_sum_nofrag,0,0,677,0.05748223538390296
LOG_HPPB,r1_dm2_sum_nofrag,0,0,95,-0.04729762119048053
LOG_RPPB,r1_dm2_sum_nofrag,0,0,90,0.32443079209648096
LOG_SOL,r1_dp1_max_cep,0,0,1206,-0.8040018148623809
LOG_HLM,r1_dp1_max_cep,0,0,1516,-2.291386551854659
LOG_RLM,r1_dp1_max_cep,0,0,1565,0.15078301786832382
LOG_MDR1_ER,r1_dp1_max_cep,0,0,1290,-0.9094671452521863
LOG_HPPB,r1_dp1_max_cep,0,0,233,-0.12997987581838033
LOG_RPPB,r1_dp1_max_cep,0,0,212,0.10334944832971238
LOG_SOL,r1_dp1_max_nofrag,0,0,1150,-1.218986850978426
