endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LOG_SOL,r2,chemeleon,trimole,-0.033187323608635785,4,25,9.022521620879693e-07
LOG_SOL,spearman,chemeleon,trimole,-0.024207473438660615,3,25,1.5023547881009849e-06
LOG_SOL,mae,chemeleon,trimole,0.020479034604537753,0,25,1.335384268750652e-12
LOG_HLM,r2,chemeleon,trimole,-0.038389474638832466,1,25,6.28486799643848e-11
LOG_HLM,spearman,chemeleon,trimole,-0.030468980862783792,1,25,1.6167591104804168e-11
LOG_HLM,mae,chemeleon,trimole,0.020504341895293217,0,25,1.027847462380656e-12
LOG_RLM,r2,chemeleon,trimole,-0.03415386225034986,0,25,9.418361641071788e-13
LOG_RLM,spearman,chemeleon,trimole,-0.02807303776601121,0,25,6.2639087584355475e-15
LOG_RLM,mae,chemeleon,trimole,0.022005253029908804,0,25,3.909811984624421e-14
LOG_MDR1_ER,r2,chemeleon,trimole,-0.021904625607698208,1,25,5.041502315651082e-11
LOG_MDR1_ER,spearman,chemeleon,trimole,-0.030241642339857423,0,25,5.793996146377607e-16
LOG_MDR1_ER,mae,chemeleon,trimole,0.021410518757277047,0,25,4.689491942901114e-15
LOG_HPPB,r2,chemeleon,trimole,0.028102759354791926,14,25,0.06756435520858477
LOG_HPPB,spearman,chemeleon,trimole,0.014406997255739941,16,25,0.11593665550688868
LOG_HPPB,mae,chemeleon,trimole,-0.03645025786588099,21,25,9.312955660991378e-06
LOG_RPPB,r2,chemeleon,trimole,0.07311679519500151,19,25,0.00035286836379875013
LOG_RPPB,spearman,chemeleon,trimole,0.03532371893595854,20,25,0.0002438573526165015
LOG_RPPB,mae,chemeleon,trimole,-0.030657484999476563,22,25,1.1273870941730172e-05
LOG_SOL,r2,lgbm,trimole,0.055387910412114987,25,25,3.642487940025754e-11
LOG_SOL,spearman,lgbm,trimole,0.013203464705814717,19,25,0.0031883738105087586
LOG_SOL,mae,lgbm,trimole,-0.022326637641362404,25,25,2.1368598809846087e-12
LOG_HLM,r2,lgbm,trimole,0.10949881454023945,25,25,2.5196855792172777e-22
LOG_HLM,spearman,lgbm,trimole,0.08749836885955481,25,25,6.957827875999036e-24
LOG_HLM,mae,lgbm,trimole,-0.03726650541845924,25,25,1.5147189109490403e-21
LOG_RLM,r2,lgbm,trimole,0.08909127237418442,25,25,2.9272865496556765e-21
LOG_RLM,spearman,lgbm,trimole,0.07017626406445303,25,25,1.985533473574064e-20
LOG_RLM,mae,lgbm,trimole,-0.04383128844805705,25,25,4.380635119130703e-22
LOG_MDR1_ER,r2,lgbm,trimole,0.04954453780899749,25,25,1.0331611700604058e-14
LOG_MDR1_ER,spearman,lgbm,trimole,0.034107319567793254,25,25,8.197773797010791e-14
LOG_MDR1_ER,mae,lgbm,trimole,-0.02412399912012615,25,25,1.0517834316539812e-14
LOG_HPPB,r2,lgbm,trimole,0.12925620175396338,22,25,8.184383592991021e-07
LOG_HPPB,spearman,lgbm,trimole,0.12001556142700691,24,25,2.6086771488640024e-10
LOG_HPPB,mae,lgbm,trimole,-0.054355070539161054,23,25,6.142241344718426e-08
LOG_RPPB,r2,lgbm,trimole,0.10921054724233223,24,25,6.182914281388441e-07
LOG_RPPB,spearman,lgbm,trimole,0.09088870090147529,24,25,6.200575493084376e-08
LOG_RPPB,mae,lgbm,trimole,-0.03118762999609088,23,25,2.278103344698321e-05
LOG_SOL,r2,chemprop,trimole,-0.014646587799114626,6,25,0.0021726325386282825
LOG_SOL,spearman,chemprop,trimole,0.0042780666436476825,12,25,0.2961664597006131
LOG_SOL,mae,chemprop,trimole,0.0071264992262877365,4,25,9.315283937944393e-05
LOG_HLM,r2,chemprop,trimole,0.03939681435367484,24,25,2.8733208062274297e-09
LOG_HLM,spearman,chemprop,trimole,0.0019416835250126762,16,25,0.5280954125310471
