endpoint,repeat,fold,n_fit,n_val,n_test,selected_view,selected_block,selected_backend,selected_val_r2,n_features
LOG_SOL,0,0,1235,266,672,fused,core_maccs_fcfp,xgb,0.488161441774451,2048
LOG_SOL,0,1,1175,326,672,fused,core_maccs_fcfp,xgb,0.3558384034020049,2048
LOG_SOL,0,2,1185,316,672,kpgt,core_pair_torsion,xgb,0.3816409981637494,2048
LOG_SOL,0,3,1183,318,672,kpgt,wide_chem,xgb,0.36150665396607773,2048
LOG_SOL,0,4,1226,275,672,kpgt,wide_chem,xgb,0.3359425359304177,2048
LOG_SOL,1,0,1137,364,672,fused,core_maccs_fcfp,xgb,0.3524459137121828,2048
LOG_SOL,1,1,1215,286,672,kpgt,core_maccs_fcfp,xgb,0.2887281649202551,2048
LOG_SOL,1,2,1199,302,672,kpgt,wide_chem,xgb,0.290583352678099,2048
LOG_SOL,1,3,1241,260,672,kpgt,core_maccs_fcfp,xgb,0.47172888177935746,2048
LOG_SOL,1,4,1212,289,672,kpgt,core_maccs_fcfp,xgb,0.3945644401918621,2048
LOG_SOL,2,0,1179,322,672,kpgt,core_maccs_fcfp,xgb,0.3747731067955732,2048
LOG_SOL,2,1,1164,337,672,kpgt,core_maccs_fcfp,xgb,0.35794031648062474,2048
LOG_SOL,2,2,1238,263,672,chem,wide_chem,extratrees,0.3597987421847374,2048
LOG_SOL,2,3,1206,295,672,kpgt,wide_chem,xgb,0.3399691264724808,2048
LOG_SOL,2,4,1217,284,672,fused,wide_chem,xgb,0.3690420708954335,2048
LOG_SOL,3,0,1188,313,672,kpgt,core_pair_torsion,xgb,0.26657355345128664,2048
LOG_SOL,3,1,1206,295,672,kpgt,wide_chem,xgb,0.329696004248901,2048
LOG_SOL,3,2,1201,300,672,kpgt,core_pair_torsion,xgb,0.4048797214564449,2048
LOG_SOL,3,3,1193,308,672,kpgt,wide_chem,xgb,0.436074340733686,2048
LOG_SOL,3,4,1216,285,672,fused,wide_chem,xgb,0.38238004107532175,2048
LOG_SOL,4,0,1188,313,672,fused,core_maccs_fcfp,xgb,0.2397830458415512,2048
LOG_SOL,4,1,1216,285,672,chem,core_maccs_fcfp,xgb,0.4615083365289603,2048
LOG_SOL,4,2,1207,294,672,fused,wide_chem,xgb,0.3337370499174074,2048
LOG_SOL,4,3,1203,298,672,kpgt,core_pair_torsion,xgb,0.3521972115725246,2048
LOG_SOL,4,4,1190,311,672,kpgt,core_maccs_fcfp,xgb,0.33316545278437215,2048
LOG_HLM,0,0,1718,440,929,kpgt,wide_chem,xgb,0.4991558824543272,2048
LOG_HLM,0,1,1681,477,929,chem,wide_chem,xgb,0.4846975886624545,2048
LOG_HLM,0,2,1735,423,929,kpgt,wide_chem,xgb,0.4488237596649366,2048
LOG_HLM,0,3,1723,435,929,chem,wide_chem,xgb,0.44216981637417485,2048
LOG_HLM,0,4,1775,383,929,chemberta,wide_chem,xgb,0.43292971836722827,2048
LOG_HLM,1,0,1648,510,929,chem,wide_chem,xgb,0.4898444893439684,2048
LOG_HLM,1,1,1762,396,929,kpgt,wide_chem,xgb,0.4986609436072018,2048
LOG_HLM,1,2,1740,418,929,fused,core_pair_torsion,xgb,0.36488014307416516,2048
LOG_HLM,1,3,1764,394,929,kpgt,core_pair_torsion,xgb,0.4786709171095853,2048
LOG_HLM,1,4,1718,440,929,kpgt,core_pair_torsion,xgb,0.460729498100209,2048
LOG_HLM,2,0,1718,440,929,kpgt,wide_chem,xgb,0.46711426901345965,2048
LOG_HLM,2,1,1683,475,929,kpgt,core_maccs_fcfp,xgb,0.4336768611812698,2048
LOG_HLM,2,2,1750,408,929,kpgt,core_maccs_fcfp,xgb,0.4614851159644806,2048
LOG_HLM,2,3,1717,441,929,chem,wide_chem,xgb,0.48170954819544853,2048
LOG_HLM,2,4,1764,394,929,kpgt,wide_chem,xgb,0.45668480695874836,2048
LOG_HLM,3,0,1691,467,929,chem,wide_chem,xgb,0.457168889580549,2048
LOG_HLM,3,1,1750,408,929,chem,wide_chem,xgb,0.47610329254175965,2048
LOG_HLM,3,2,1727,431,929,kpgt,wide_chem,xgb,0.42143092359425227,2048
LOG_HLM,3,3,1717,441,929,kpgt,core_pair_torsion,xgb,0.4780504452826989,2048
LOG_HLM,3,4,1747,411,929,kpgt,wide_chem,xgb,0.48389220721534143,2048
LOG_HLM,4,0,1696,462,929,chem,core_maccs_fcfp,xgb,0.4545812874325681,2048
LOG_HLM,4,1,1755,403,929,kpgt,wide_chem,xgb,0.43387744246911675,2048
LOG_HLM,4,2,1715,443,929,kpgt,core_pair_torsion,xgb,0.4739585223616256,2048
LOG_HLM,4,3,1760,398,929,chem,wide_chem,xgb,0.4684601859647265,2048
LOG_HLM,4,4,1706,452,929,kpgt,core_pair_torsion,xgb,0.4601346614130306,2048
LOG_RLM,0,0,1701,431,922,kpgt,wide_chem,xgb,0.47392541114293507,2048
LOG_RLM,0,1,1656,476,922,chem,wide_chem,xgb,0.5233519554893251,2048
LOG_RLM,0,2,1717,415,922,kpgt,wide_chem,xgb,0.49832539163041367,2048
LOG_RLM,0,3,1700,432,922,chem,wide_chem,xgb,0.534996276206227,2048
LOG_RLM,0,4,1754,378,922,kpgt,wide_chem,xgb,0.504687942363425,2048
LOG_RLM,1,0,1623,509,922,chem,core_pair_torsion,xgb,0.5593510031451498,2048
LOG_RLM,1,1,1739,393,922,chem,wide_chem,xgb,0.527923435038895,2048
LOG_RLM,1,2,1720,412,922,chem,wide_chem,xgb,0.46389183344850426,2048
LOG_RLM,1,3,1748,384,922,chem,core_pair_torsion,xgb,0.4857153082309894,2048
LOG_RLM,1,4,1698,434,922,kpgt,wide_chem,xgb,0.482932495526173,2048
LOG_RLM,2,0,1693,439,922,chem,core_pair_torsion,xgb,0.5384025591217813,2048
LOG_RLM,2,1,1667,465,922,chem,wide_chem,xgb,0.5091335135419812,2048
LOG_RLM,2,2,1728,404,922,chem,wide_chem,xgb,0.5375087767668112,2048
LOG_RLM,2,3,1697,435,922,chem,wide_chem,xgb,0.4999989306405478,2048
LOG_RLM,2,4,1743,389,922,chem,wide_chem,xgb,0.4604836174688498,2048
LOG_RLM,3,0,1666,466,922,chem,wide_chem,xgb,0.5338330106629227,2048
LOG_RLM,3,1,1733,399,922,fused,wide_chem,xgb,0.5163344489709301,2048
LOG_RLM,3,2,1706,426,922,chem,wide_chem,xgb,0.5088601675659139,2048
LOG_RLM,3,3,1701,431,922,chem,wide_chem,xgb,0.4788736620220182,2048
LOG_RLM,3,4,1722,410,922,kpgt,core_maccs_fcfp,xgb,0.5217816831816238,2048
LOG_RLM,4,0,1673,459,922,chem,wide_chem,xgb,0.4687087970219842,2048
LOG_RLM,4,1,1735,397,922,kpgt,core_maccs_fcfp,xgb,0.5098898531097174,2048
LOG_RLM,4,2,1697,435,922,kpgt,wide_chem,xgb,0.5170776554674077,2048
LOG_RLM,4,3,1738,394,922,chem,wide_chem,xgb,0.5761361522561673,2048
LOG_RLM,4,4,1685,447,922,chem,wide_chem,xgb,0.4851443412463792,2048
LOG_MDR1_ER,0,0,1467,371,804,chem,wide_chem,xgb,0.538222594191116,2048
LOG_MDR1_ER,0,1,1449,389,804,kpgt,wide_chem,xgb,0.577985633778907,2048
LOG_MDR1_ER,0,2,1475,363,804,kpgt,core_pair_torsion,xgb,0.4813733777442676,2048
LOG_MDR1_ER,0,3,1472,366,804,fused,wide_chem,xgb,0.5763540785108289,2048
LOG_MDR1_ER,0,4,1489,349,804,kpgt,wide_chem,xgb,0.5453184406711031,2048
LOG_MDR1_ER,1,0,1423,415,804,fused,core_maccs_fcfp,xgb,0.541985736155447,2048
LOG_MDR1_ER,1,1,1485,353,804,kpgt,wide_chem,xgb,0.5151286987718025,2048
LOG_MDR1_ER,1,2,1483,355,804,kpgt,core_pair_torsion,xgb,0.5824424005160347,2048
LOG_MDR1_ER,1,3,1491,347,804,kpgt,core_pair_torsion,xgb,0.5389174915254595,2048
LOG_MDR1_ER,1,4,1470,368,804,chem,wide_chem,xgb,0.5836797703070553,2048
LOG_MDR1_ER,2,0,1466,372,804,fused,wide_chem,xgb,0.554718272750562,2048
LOG_MDR1_ER,2,1,1453,385,804,fused,wide_chem,xgb,0.5423534175363401,2048
LOG_MDR1_ER,2,2,1491,347,804,kpgt,wide_chem,xgb,0.5335173262130665,2048
LOG_MDR1_ER,2,3,1454,384,804,unimol,core_pair_torsion,xgb,0.5378822232696816,2048
LOG_MDR1_ER,2,4,1488,350,804,fused,wide_chem,xgb,0.5842946848964884,2048
