endpoint,axis,level,folds,share
LOG_HLM,selected_view,chem,8,0.32
LOG_HLM,selected_view,chemberta,1,0.04
LOG_HLM,selected_view,fused,1,0.04
LOG_HLM,selected_view,kpgt,15,0.6
LOG_HPPB,selected_view,chem,9,0.36
LOG_HPPB,selected_view,chemberta,2,0.08
LOG_HPPB,selected_view,fused,3,0.12
LOG_HPPB,selected_view,kpgt,6,0.24
LOG_HPPB,selected_view,unimol,5,0.2
LOG_MDR1_ER,selected_view,chem,4,0.16
LOG_MDR1_ER,selected_view,fused,7,0.28
LOG_MDR1_ER,selected_view,kpgt,12,0.48
LOG_MDR1_ER,selected_view,unimol,2,0.08
LOG_RLM,selected_view,chem,17,0.68
LOG_RLM,selected_view,fused,1,0.04
LOG_RLM,selected_view,kpgt,7,0.28
LOG_RPPB,selected_view,chem,10,0.4
LOG_RPPB,selected_view,chemberta,3,0.12
LOG_RPPB,selected_view,kpgt,5,0.2
LOG_RPPB,selected_view,unimol,7,0.28
LOG_SOL,selected_view,chem,2,0.08
LOG_SOL,selected_view,fused,7,0.28
LOG_SOL,selected_view,kpgt,16,0.64
LOG_HLM,selected_block,core_maccs_fcfp,3,0.12
LOG_HLM,selected_block,core_pair_torsion,6,0.24
LOG_HLM,selected_block,wide_chem,16,0.64
LOG_HPPB,selected_block,core_maccs_fcfp,8,0.32
LOG_HPPB,selected_block,core_pair_torsion,10,0.4
LOG_HPPB,selected_block,wide_chem,7,0.28
LOG_MDR1_ER,selected_block,core_maccs_fcfp,2,0.08
LOG_MDR1_ER,selected_block,core_pair_torsion,6,0.24
LOG_MDR1_ER,selected_block,wide_chem,17,0.68
LOG_RLM,selected_block,core_maccs_fcfp,2,0.08
LOG_RLM,selected_block,core_pair_torsion,3,0.12
LOG_RLM,selected_block,wide_chem,20,0.8
LOG_RPPB,selected_block,core_maccs_fcfp,11,0.44
LOG_RPPB,selected_block,core_pair_torsion,6,0.24
LOG_RPPB,selected_block,wide_chem,8,0.32
LOG_SOL,selected_block,core_maccs_fcfp,11,0.44
LOG_SOL,selected_block,core_pair_torsion,4,0.16
LOG_SOL,selected_block,wide_chem,10,0.4
LOG_HLM,selected_backend,xgb,25,1.0
LOG_HPPB,selected_backend,extratrees,1,0.04
LOG_HPPB,selected_backend,ridge,2,0.08
LOG_HPPB,selected_backend,xgb,22,0.88
LOG_MDR1_ER,selected_backend,xgb,25,1.0
LOG_RLM,selected_backend,xgb,25,1.0
LOG_RPPB,selected_backend,rf,1,0.04
LOG_RPPB,selected_backend,ridge,3,0.12
LOG_RPPB,selected_backend,xgb,21,0.84
LOG_SOL,selected_backend,extratrees,1,0.04
LOG_SOL,selected_backend,xgb,24,0.96
