endpoint,metric,method,mean,sd,tukey_group,n_folds
LOG_SOL,r2,lgbm,0.2745851662300583,0.023599461028579783,worse,25
LOG_SOL,r2,chemprop_st,0.3392088430186252,0.02661265640338056,worse,25
LOG_SOL,r2,chemprop,0.3446196644412879,0.023278918997559885,worse,25
LOG_SOL,r2,chemeleon,0.3631604002508091,0.02146706838690962,best,25
LOG_SOL,r2,trimole,0.32997307664217324,0.01496006059084403,worse,25
LOG_SOL,spearman,lgbm,0.47265498152445273,0.022780190431566788,worse,25
LOG_SOL,spearman,chemprop_st,0.48216349264700525,0.021175013701444447,worse,25
LOG_SOL,spearman,chemprop,0.4815803795866198,0.01716963188316959,worse,25
LOG_SOL,spearman,chemeleon,0.5100659196689281,0.016856423091083966,best,25
LOG_SOL,spearman,trimole,0.48585844623026747,0.01286912051891003,worse,25
LOG_SOL,mae,lgbm,0.41267134793594357,0.008696256097651307,worse,25
LOG_SOL,mae,chemprop_st,0.38058352845428095,0.011187172503452789,worse,25
LOG_SOL,mae,chemprop,0.38321821106829346,0.006899181188794982,worse,25
LOG_SOL,mae,chemeleon,0.3698656756900434,0.007113392840286237,best,25
LOG_SOL,mae,trimole,0.3903447102945812,0.005902916818246626,worse,25
LOG_HLM,r2,lgbm,0.32586350877201586,0.015262760181163097,worse,25
LOG_HLM,r2,chemprop_st,0.3807777582441737,0.02309751216653546,worse,25
LOG_HLM,r2,chemprop,0.39596550895858046,0.017476750248904882,worse,25
LOG_HLM,r2,chemeleon,0.4737517979510878,0.0187768706089471,best,25
LOG_HLM,r2,trimole,0.43536232331225533,0.012270850571178167,worse,25
LOG_HLM,spearman,lgbm,0.5733981746237362,0.01022364653402177,worse,25
LOG_HLM,spearman,chemprop_st,0.6538588688203507,0.01603863729021064,worse,25
LOG_HLM,spearman,chemprop,0.6589548599582783,0.009973203045594216,worse,25
LOG_HLM,spearman,chemeleon,0.6913655243460748,0.01220371216376903,best,25
LOG_HLM,spearman,trimole,0.6608965434832911,0.009668635496423978,worse,25
LOG_HLM,mae,lgbm,0.3949268492995005,0.004887493424484408,worse,25
LOG_HLM,mae,chemprop_st,0.3641209607719526,0.010358501191881142,worse,25
