endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LogD,r2,chemprop,chemeleon,0.004468760788490114,13,25,0.5519845211735127
LogD,spearman,chemprop,chemeleon,0.014864665632887165,20,25,8.808258531114736e-05
LogD,mae,chemprop,chemeleon,-0.012679245321968182,15,25,0.02650992651421024
LogS,r2,chemprop,chemeleon,0.019933833243145124,19,25,0.003110194723535652
LogS,spearman,chemprop,chemeleon,-0.010765645474401947,8,25,0.012521084092319324
LogS,mae,chemprop,chemeleon,-0.04443147586333938,25,25,4.925134596489461e-12
LOG_HLM,r2,chemprop,chemeleon,0.10293885244921257,22,25,0.00018925392040653607
LOG_HLM,spearman,chemprop,chemeleon,0.07633997331645614,25,25,2.896378770287018e-10
LOG_HLM,mae,chemprop,chemeleon,-0.02371031583880572,21,25,4.125442019455667e-05
LOG_MLM,r2,chemprop,chemeleon,0.1027859133533214,23,25,0.0002754289460391809
LOG_MLM,spearman,chemprop,chemeleon,0.06767594319995014,23,25,6.898663034536802e-08
LOG_MLM,mae,chemprop,chemeleon,-0.02699481747835573,23,25,3.3685042156758173e-05
LOG_Caco_AB,r2,chemprop,chemeleon,0.2053374809499756,22,25,0.0002414969974105473
LOG_Caco_AB,spearman,chemprop,chemeleon,0.063680917279318,20,25,2.2280673888030468e-05
LOG_Caco_AB,mae,chemprop,chemeleon,-0.03673244964773278,22,25,9.502979437562007e-05
LOG_Caco_Efflux,r2,chemprop,chemeleon,0.1667782389297688,22,25,1.5526421348652044e-05
LOG_Caco_Efflux,spearman,chemprop,chemeleon,0.0943510631328222,24,25,2.5812664878887187e-09
LOG_Caco_Efflux,mae,chemprop,chemeleon,-0.04137646446623746,22,25,3.001920067858816e-06
LOG_MPPB,r2,chemprop,chemeleon,0.09618776377712049,21,25,5.045310958040968e-06
LOG_MPPB,spearman,chemprop,chemeleon,0.08032760285013647,24,25,1.979835820767628e-10
LOG_MPPB,mae,chemprop,chemeleon,-0.021545269852655532,21,25,1.4683917206373193e-05
LOG_MBPB,r2,chemprop,chemeleon,0.07077231168417678,22,25,5.061522754315066e-05
LOG_MBPB,spearman,chemprop,chemeleon,0.04485214577593553,24,25,1.1744864162047083e-09
LOG_MBPB,mae,chemprop,chemeleon,-0.021608747253600784,22,25,2.1597371689861933e-05
LOG_MGMB,r2,chemprop,chemeleon,0.025279265365917535,21,25,0.0002185338192700363
LOG_MGMB,spearman,chemprop,chemeleon,0.035275278595884446,24,25,9.513077345105982e-11
LOG_MGMB,mae,chemprop,chemeleon,-0.01005169744258414,18,25,0.005589791289451123
LogD,r2,lgbm,chemeleon,0.16098322933238754,25,25,1.5763220462672658e-20
LogD,spearman,lgbm,chemeleon,0.13012597775601928,25,25,1.156902684217115e-22
LogD,mae,lgbm,chemeleon,-0.11845186402619659,25,25,1.4018808616426628e-20
LogS,r2,lgbm,chemeleon,0.13871141515059437,25,25,5.9678944900039956e-15
LogS,spearman,lgbm,chemeleon,0.08497441445115583,25,25,4.7721946676281e-16
LogS,mae,lgbm,chemeleon,-0.09629188811466279,25,25,7.24384180567626e-19
LOG_HLM,r2,lgbm,chemeleon,0.08226251421121006,22,25,1.1060553232269679e-05
LOG_HLM,spearman,lgbm,chemeleon,0.051337311242526586,25,25,3.3181733093760837e-09
LOG_HLM,mae,lgbm,chemeleon,-0.017507156102663173,23,25,6.2132417071184904e-06
LOG_MLM,r2,lgbm,chemeleon,0.05107184385043892,19,25,0.12553139905944927
LOG_MLM,spearman,lgbm,chemeleon,0.04112037077114852,21,25,0.00015883247574051255
LOG_MLM,mae,lgbm,chemeleon,-0.010262776769405048,19,25,0.1513623542995629
LOG_Caco_AB,r2,lgbm,chemeleon,0.1734823622401999,22,25,4.622303175473394e-06
LOG_Caco_AB,spearman,lgbm,chemeleon,0.0951468073895628,24,25,1.1443186378210493e-10
LOG_Caco_AB,mae,lgbm,chemeleon,-0.034893206804150145,23,25,4.546805811539099e-07
LOG_Caco_Efflux,r2,lgbm,chemeleon,0.2447402339303233,24,25,9.779637031991987e-11
LOG_Caco_Efflux,spearman,lgbm,chemeleon,0.1212439051567828,25,25,1.7401466731206137e-12
LOG_Caco_Efflux,mae,lgbm,chemeleon,-0.05667850170117943,24,25,1.4655953578012952e-11
LOG_MPPB,r2,lgbm,chemeleon,0.3124856824286029,24,25,3.231337711093298e-11
LOG_MPPB,spearman,lgbm,chemeleon,0.17106333380681252,25,25,8.621837383466291e-14
LOG_MPPB,mae,lgbm,chemeleon,-0.07605437960989274,25,25,1.2727693361335534e-12
LOG_MBPB,r2,lgbm,chemeleon,0.23607545664783072,25,25,3.4072492680057585e-13
LOG_MBPB,spearman,lgbm,chemeleon,0.16092547232946733,25,25,1.1549508590566256e-16
LOG_MBPB,mae,lgbm,chemeleon,-0.06539980926240474,25,25,7.52910303979369e-14
LOG_MGMB,r2,lgbm,chemeleon,0.382056302874272,25,25,3.9625628222761036e-12
LOG_MGMB,spearman,lgbm,chemeleon,0.19927541826128295,25,25,1.0989697105166402e-14
LOG_MGMB,mae,lgbm,chemeleon,-0.12721490702829588,25,25,3.930620101767537e-15
LogD,r2,chemprop_st,chemprop,-0.03325016133528179,4,25,2.4459769406244568e-05
LogD,spearman,chemprop_st,chemprop,-0.026106556844440316,2,25,2.4572606175333968e-09
LogD,mae,chemprop_st,chemprop,0.030877923403838024,3,25,1.0338163512430067e-07
LogS,r2,chemprop_st,chemprop,0.007125269934744021,12,25,0.36445180251885256
LogS,spearman,chemprop_st,chemprop,0.01922077478573394,22,25,1.7187033212439512e-06
LogS,mae,chemprop_st,chemprop,0.008709654649913554,8,25,0.03485335427552374
LOG_HLM,r2,chemprop_st,chemprop,0.030431831068604528,16,25,0.13809714840940154
LOG_HLM,spearman,chemprop_st,chemprop,0.008977645839196684,14,25,0.16466690077639112
LOG_HLM,mae,chemprop_st,chemprop,-0.009285500544495662,18,25,0.02210006428499755
LOG_MLM,r2,chemprop_st,chemprop,0.03934259756984188,15,25,0.0679397385769601
LOG_MLM,spearman,chemprop_st,chemprop,0.00438726766520978,15,25,0.5967064070861688
LOG_MLM,mae,chemprop_st,chemprop,-0.0063936313858253095,15,25,0.16154497841162566
LOG_Caco_AB,r2,chemprop_st,chemprop,0.2608585461975793,22,25,2.1136415584552783e-06
LOG_Caco_AB,spearman,chemprop_st,chemprop,0.17307043255721283,25,25,2.2716037272084633e-09
LOG_Caco_AB,mae,chemprop_st,chemprop,-0.03669629707940251,21,25,1.2668650695532503e-06
LOG_Caco_Efflux,r2,chemprop_st,chemprop,0.04658101828504509,18,25,0.032060287994146286
LOG_Caco_Efflux,spearman,chemprop_st,chemprop,-0.02013930422834584,9,25,0.03212341032060583
LOG_Caco_Efflux,mae,chemprop_st,chemprop,-0.00666993417437654,18,25,0.12467168861795097
LOG_MPPB,r2,chemprop_st,chemprop,0.3243424182179715,25,25,8.712638315118692e-09
LOG_MPPB,spearman,chemprop_st,chemprop,0.1901861081607144,25,25,6.992555928691764e-14
LOG_MPPB,mae,chemprop_st,chemprop,-0.06005293384880499,25,25,9.576146691701274e-09
LOG_MBPB,r2,chemprop_st,chemprop,0.22894403695694845,25,25,1.567828294802941e-10
LOG_MBPB,spearman,chemprop_st,chemprop,0.10643431502863755,25,25,1.5554081820684586e-12
LOG_MBPB,mae,chemprop_st,chemprop,-0.05259031949425391,24,25,3.9878448882324644e-10
LOG_MGMB,r2,chemprop_st,chemprop,0.33725421287113344,25,25,4.1007687532801e-18
LOG_MGMB,spearman,chemprop_st,chemprop,0.3847702687679079,25,25,4.868036823703007e-19
LOG_MGMB,mae,chemprop_st,chemprop,-0.11881021684523374,25,25,1.683118510798143e-19
LogD,r2,lgbm,chemprop_st,0.18976462987917922,25,25,3.30269431594439e-20
LogD,spearman,lgbm,chemprop_st,0.14136786896757245,25,25,1.4081781035224853e-22
LogD,mae,lgbm,chemprop_st,-0.1366505421080664,25,25,1.4765397970000835e-21
