endpoint,metric,method,mean,sd,tukey_group,n_folds
LogD,r2,lgbm,0.510499797702877,0.020619609445874442,worse,25
LogD,r2,chemprop_st,0.7002644275820562,0.02630552653623512,equivalent,25
LogD,r2,chemprop,0.6670142662467744,0.033026204543507874,worse,25
LogD,r2,chemeleon,0.6714830270352645,0.019493898855909766,worse,25
LogD,r2,megacl,0.617120669169038,0.028845868095537342,worse,25
LogD,r2,monroe,0.7182321622559057,0.0166557631012637,best,25
LogD,r2,moljepa,0.5217027454961499,0.017576559062981053,worse,25
LogD,spearman,lgbm,0.713274942372185,0.017342179336731368,worse,25
LogD,spearman,chemprop_st,0.8546428113397575,0.012711791733096974,equivalent,25
LogD,spearman,chemprop,0.8285362544953171,0.013686299521408466,worse,25
LogD,spearman,chemeleon,0.8434009201282043,0.009389567039912877,worse,25
LogD,spearman,megacl,0.8012503231685527,0.016022480205374386,worse,25
LogD,spearman,monroe,0.8578478569128828,0.01089986749674921,best,25
LogD,spearman,moljepa,0.7246627224613413,0.011242799770634224,worse,25
LogD,mae,lgbm,0.5449953792752843,0.012358659535339824,worse,25
LogD,mae,chemprop_st,0.4083448371672179,0.01968290218904682,equivalent,25
LogD,mae,chemprop,0.4392227605710559,0.019931140908329058,worse,25
LogD,mae,chemeleon,0.42654351524908773,0.01762070120018986,worse,25
LogD,mae,megacl,0.46840614551728577,0.02207253206648651,worse,25
LogD,mae,monroe,0.402284806227453,0.01509602973369481,best,25
LogD,mae,moljepa,0.5298327616150683,0.010663560408651332,worse,25
LogS,r2,lgbm,0.3349890174831516,0.0360306524341514,worse,25
LogS,r2,chemprop_st,0.4466413294558568,0.03791698354007244,equivalent,25
LogS,r2,chemprop,0.45376659939060077,0.02507252961329939,equivalent,25
LogS,r2,chemeleon,0.4737004326337459,0.02926815473989934,best,25
LogS,r2,megacl,0.33698200069044565,0.05570566285094046,worse,25
LogS,r2,monroe,0.4418822069252494,0.028186150746535146,worse,25
LogS,r2,moljepa,0.2966565177928354,0.031616300140281196,worse,25
LogS,spearman,lgbm,0.4775049648501317,0.021634476376934955,worse,25
LogS,spearman,chemprop_st,0.5540242499899556,0.01469917270890604,worse,25
LogS,spearman,chemprop,0.5732450247756895,0.012872498236427542,equivalent,25
LogS,spearman,chemeleon,0.5624793793012876,0.01818199411938662,equivalent,25
LogS,spearman,megacl,0.5099447498942812,0.021795254138623658,worse,25
LogS,spearman,monroe,0.5755372758150853,0.012048561717832458,best,25
LogS,spearman,moljepa,0.4807110616965001,0.013710575028738755,worse,25
LogS,mae,lgbm,0.4540398126998069,0.015489377583888773,worse,25
LogS,mae,chemprop_st,0.39346974579856997,0.018480348548887183,worse,25
LogS,mae,chemprop,0.4021794004484835,0.013315785058298906,worse,25
LogS,mae,chemeleon,0.3577479245851441,0.016633608030587336,best,25
LogS,mae,megacl,0.42355211008641364,0.02833813540087636,worse,25
LogS,mae,monroe,0.380408658617158,0.009368868908513196,worse,25
LogS,mae,moljepa,0.45575159352516303,0.013163571279997592,worse,25
LOG_HLM,r2,lgbm,0.1385418516622823,0.044659947199991536,worse,25
LOG_HLM,r2,chemprop_st,0.08743368235567527,0.08758975022622496,worse,25
LOG_HLM,r2,chemprop,0.11786551342427981,0.10367100027594137,worse,25
LOG_HLM,r2,chemeleon,0.22080436587349236,0.07145903472634281,worse,25
LOG_HLM,r2,megacl,-0.06842099527772663,0.16681739622401745,worse,25
LOG_HLM,r2,monroe,0.31438217153979514,0.048575944539770516,best,25
LOG_HLM,r2,moljepa,0.19057440260610828,0.03585629079037504,worse,25
