endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LogD,r2,tdims35,monroe35,0.44091833123227614,25,25,5.4897340874082534e-30
LogD,spearman,tdims35,monroe35,0.25562994841395825,25,25,1.0250386265053159e-32
LogD,mae,tdims35,monroe35,-0.2680402926433649,25,25,1.1938999457622453e-30
LogS,r2,tdims35,monroe35,0.13856714255407312,25,25,6.62366695202738e-16
LogS,spearman,tdims35,monroe35,0.13751241310490245,25,25,2.919682466175197e-23
LogS,mae,tdims35,monroe35,-0.05788985937797432,25,25,3.1976358156713504e-16
LOG_HLM,r2,tdims35,monroe35,0.4050259298071797,25,25,1.4933978286753122e-20
LOG_HLM,spearman,tdims35,monroe35,0.08402279852926701,25,25,3.717414801694218e-14
LOG_HLM,mae,tdims35,monroe35,-0.08636835341788185,25,25,2.0351111471065985e-22
LOG_MLM,r2,tdims35,monroe35,0.16677623297070684,25,25,1.8390277908232254e-14
LOG_MLM,spearman,tdims35,monroe35,0.06372869647871102,24,25,2.9624895727107564e-10
LOG_MLM,mae,tdims35,monroe35,-0.04541334200091364,25,25,1.2515651498269135e-15
LOG_Caco_AB,r2,tdims35,monroe35,0.5037472814728781,25,25,2.060950702377012e-19
LOG_Caco_AB,spearman,tdims35,monroe35,0.25585876216233655,25,25,3.4976547814151526e-22
LOG_Caco_AB,mae,tdims35,monroe35,-0.09721222969296925,25,25,7.031702250716205e-23
LOG_Caco_Efflux,r2,tdims35,monroe35,0.5816499059179556,25,25,1.3591274861052093e-20
LOG_Caco_Efflux,spearman,tdims35,monroe35,0.34919874113759486,25,25,2.5784341080330435e-20
LOG_Caco_Efflux,mae,tdims35,monroe35,-0.11196509804504487,25,25,2.967784087176275e-20
LOG_MPPB,r2,tdims35,monroe35,0.05595048195587806,20,25,0.0031654629607643144
LOG_MPPB,spearman,tdims35,monroe35,0.12839042357495764,25,25,2.1993136525848267e-12
LOG_MPPB,mae,tdims35,monroe35,-0.009980051210711076,18,25,0.008143940520959429
LOG_MBPB,r2,tdims35,monroe35,0.04382935682734969,21,25,0.00022352502269916725
LOG_MBPB,spearman,tdims35,monroe35,0.0834430793709431,25,25,2.4443731222761096e-18
LOG_MBPB,mae,tdims35,monroe35,-0.01049096661194957,20,25,0.00029283617731168306
LOG_MGMB,r2,tdims35,monroe35,0.10379874308891976,24,25,3.121546805328175e-05
LOG_MGMB,spearman,tdims35,monroe35,0.11352186621102422,25,25,1.53788553176272e-12
LOG_MGMB,mae,tdims35,monroe35,-0.03068021019667154,22,25,5.563056709062904e-05
LogD,r2,lgbm,tdims35,-0.23116580289368385,0,25,4.633047355573046e-23
LogD,spearman,lgbm,tdims35,-0.11073245317845792,0,25,3.719725920129309e-20
LogD,mae,lgbm,tdims35,0.12323212797674037,0,25,6.169279065329272e-22
LogS,r2,lgbm,tdims35,-0.002745343253617313,12,25,0.7587976458415631
LogS,spearman,lgbm,tdims35,-0.028213086880645544,3,25,5.321830433319208e-06
LogS,mae,lgbm,tdims35,-0.027107294718544343,23,25,1.1661116211925128e-07
LOG_HLM,r2,lgbm,tdims35,-0.18965688991787424,0,25,1.7245586833331182e-10
LOG_HLM,spearman,lgbm,tdims35,0.009671570103754152,15,25,0.08671265116578734
LOG_HLM,mae,lgbm,tdims35,0.03895945153705238,0,25,1.0634284393057928e-11
LOG_MLM,r2,lgbm,tdims35,0.015893575087229567,14,25,0.36077140095984683
