endpoint,metric,method,mean,sd,tukey_group,n_folds
LogD,r2,lgbm,0.510499797702877,0.020619609445874442,worse,25
LogD,r2,tdims35,0.27933399480919313,0.02802040869963699,worse,25
LogD,r2,monroe35,0.7202523260414694,0.012051951613173515,best,25
LogD,spearman,lgbm,0.713274942372185,0.017342179336731368,worse,25
LogD,spearman,tdims35,0.6025424891937271,0.01470523972484586,worse,25
LogD,spearman,monroe35,0.8581724376076854,0.007892250171813267,best,25
LogD,mae,lgbm,0.5449953792752843,0.012358659535339824,worse,25
LogD,mae,tdims35,0.6682275072520247,0.0160585871267606,worse,25
LogD,mae,monroe35,0.4001872146086598,0.011491707852819522,best,25
LogS,r2,lgbm,0.3349890174831516,0.0360306524341514,worse,25
LogS,r2,tdims35,0.3322436742295342,0.039870023414274126,worse,25
LogS,r2,monroe35,0.4708108167836073,0.02424933115266414,best,25
LogS,spearman,lgbm,0.4775049648501317,0.021634476376934955,worse,25
LogS,spearman,tdims35,0.44929187796948616,0.021604635908114116,worse,25
LogS,spearman,monroe35,0.5868042910743886,0.010174371871278225,best,25
LogS,mae,lgbm,0.4540398126998069,0.015489377583888773,worse,25
LogS,mae,tdims35,0.4269325179812625,0.015883441773239772,worse,25
LogS,mae,monroe35,0.3690426586032883,0.00944339351182514,best,25
LOG_HLM,r2,lgbm,0.1385418516622823,0.044659947199991536,worse,25
LOG_HLM,r2,tdims35,-0.051115038255591924,0.06795252613998037,worse,25
LOG_HLM,r2,monroe35,0.3539108915515877,0.04961755497860327,best,25
LOG_HLM,spearman,lgbm,0.5312399974848454,0.020318342582825805,worse,25
LOG_HLM,spearman,tdims35,0.5409115675885996,0.017922215604225352,worse,25
LOG_HLM,spearman,monroe35,0.6249343661178667,0.0247189494227152,best,25
LOG_HLM,mae,lgbm,0.33197048394005046,0.008584863401875791,worse,25
LOG_HLM,mae,tdims35,0.3709299354771028,0.011967337604042933,worse,25
LOG_HLM,mae,monroe35,0.28456158205922094,0.010234349488417472,best,25
LOG_MLM,r2,lgbm,0.0842140986222117,0.06382674166750392,worse,25
LOG_MLM,r2,tdims35,0.10010767370944126,0.05600231494350941,worse,25
LOG_MLM,r2,monroe35,0.2668839066801481,0.041024877270589774,best,25
LOG_MLM,spearman,lgbm,0.44072924931813895,0.03477685220350703,worse,25
LOG_MLM,spearman,tdims35,0.4349316410758107,0.0344070709328237,worse,25
LOG_MLM,spearman,monroe35,0.49866033755452177,0.034679670224137656,best,25
LOG_MLM,mae,lgbm,0.40963462209486273,0.013746036474502427,worse,25
LOG_MLM,mae,tdims35,0.41173883572887043,0.013201868194563331,worse,25
LOG_MLM,mae,monroe35,0.3663254937279568,0.010584411947417414,best,25
