endpoint,config,repeat,fold,n_features,n_fit,n_val,val_r2
LOG_MBPB,r1_dm1_max_cep,0,0,313,819,156,0.5970185115768338
LOG_MBPB,r1_dm1_max_cep,0,1,319,828,147,0.5755396012526228
LOG_MBPB,r1_dm1_max_cep,0,2,324,717,258,0.6843326885201573
LOG_MBPB,r1_dm1_max_nofrag,0,0,337,819,156,0.5764433768230368
LOG_MBPB,r1_dm1_max_nofrag,0,1,331,828,147,0.5431351391509629
LOG_MBPB,r1_dm1_max_nofrag,0,2,321,717,258,0.6883864669517104
LOG_MGMB,r1_dm1_max_nofrag,0,0,132,188,34,0.2529720372188029
LOG_MGMB,r1_dm1_max_nofrag,0,1,127,198,24,0.23959138379757672
LOG_MGMB,r1_dm1_max_nofrag,0,2,102,131,91,0.3491732346216291
LOG_HLM,r1_dm2_max_cep,0,0,417,3148,611,0.41541696021604135
LOG_HLM,r1_dm2_max_cep,0,1,400,3205,554,0.4073887543173076
LOG_HLM,r1_dm2_max_cep,0,2,421,2837,922,0.4257062829503243
LOG_HLM,r1_dm2_max_nofrag,0,0,417,3148,611,0.42858684120826507
LOG_HLM,r1_dm2_max_nofrag,0,1,404,3205,554,0.41525331886259886
LOG_HLM,r1_dm2_max_nofrag,0,2,403,2837,922,0.4255570932578362
LOG_MBPB,r1_dm2_max_nofrag,0,0,267,819,156,0.5751988472945107
LOG_MBPB,r1_dm2_max_nofrag,0,1,259,828,147,0.508184993946219
LOG_MBPB,r1_dm2_max_nofrag,0,2,257,717,258,0.6691050643079799
LOG_MBPB,r1_dm2_sum_cep,0,0,275,819,156,0.6348273846674304
LOG_MBPB,r1_dm2_sum_cep,0,1,297,828,147,0.5955456006917039
LOG_MBPB,r1_dm2_sum_cep,0,2,292,717,258,0.6954270076068263
LOG_Caco_AB,r1_dp1_max_cep,0,0,884,1790,367,0.3888237256769147
LOG_Caco_AB,r1_dp1_max_cep,0,1,925,1812,345,0.46417274966704647
LOG_Caco_AB,r1_dp1_max_cep,0,2,887,1661,496,0.2530391846510367
LOG_Caco_AB,r1_dp1_max_nofrag,0,0,887,1790,367,0.4280770532454182
LOG_Caco_AB,r1_dp1_max_nofrag,0,1,919,1812,345,0.4113166890454564
LOG_Caco_AB,r1_dp1_max_nofrag,0,2,859,1661,496,0.2616751163857265
