endpoint,config,repeat,fold,n_features,ridge_val_r2
LogD,r1_dm1_max_cep,0,0,722,0.568512848737573
LogS,r1_dm1_max_cep,0,0,658,0.24007311075393822
LOG_HLM,r1_dm1_max_cep,0,0,564,0.19847312846070508
LOG_MLM,r1_dm1_max_cep,0,0,635,0.414406606640464
LOG_Caco_AB,r1_dm1_max_cep,0,0,432,0.06388087063423253
LOG_Caco_Efflux,r1_dm1_max_cep,0,0,399,0.4228944082063685
LOG_MPPB,r1_dm1_max_cep,0,0,346,0.5073808385880674
LOG_MBPB,r1_dm1_max_cep,0,0,313,0.45787266126461257
LOG_MGMB,r1_dm1_max_cep,0,0,124,0.5261789252101912
LogD,r1_dm1_max_nofrag,0,0,695,0.5448445601643341
LogS,r1_dm1_max_nofrag,0,0,625,0.28371469346804
LOG_HLM,r1_dm1_max_nofrag,0,0,579,0.258160094076046
LOG_MLM,r1_dm1_max_nofrag,0,0,616,0.37305815024023536
LOG_Caco_AB,r1_dm1_max_nofrag,0,0,443,-0.06636558191304132
LOG_Caco_Efflux,r1_dm1_max_nofrag,0,0,382,0.3918598496567739
LOG_MPPB,r1_dm1_max_nofrag,0,0,363,0.47121942506695025
LOG_MBPB,r1_dm1_max_nofrag,0,0,337,0.4503338869561908
LOG_MGMB,r1_dm1_max_nofrag,0,0,132,0.5703831626435374
LogD,r1_dm1_sum_cep,0,0,841,0.46845913499538616
LogS,r1_dm1_sum_cep,0,0,739,0.17026383598596773
LOG_HLM,r1_dm1_sum_cep,0,0,659,0.16847077316459247
LOG_MLM,r1_dm1_sum_cep,0,0,750,0.40929403912361495
LOG_Caco_AB,r1_dm1_sum_cep,0,0,548,-0.24198235338195873
LOG_Caco_Efflux,r1_dm1_sum_cep,0,0,488,0.3035887106322399
LOG_MPPB,r1_dm1_sum_cep,0,0,406,0.34143395882278404
LOG_MBPB,r1_dm1_sum_cep,0,0,380,0.350608483805915
LOG_MGMB,r1_dm1_sum_cep,0,0,130,0.3256400060459914
LogD,r1_dm1_sum_nofrag,0,0,845,0.40434629266124633
LogS,r1_dm1_sum_nofrag,0,0,768,0.16817582548411236
LOG_HLM,r1_dm1_sum_nofrag,0,0,671,0.18531351544864594
LOG_MLM,r1_dm1_sum_nofrag,0,0,739,0.3105329973476567
LOG_Caco_AB,r1_dm1_sum_nofrag,0,0,555,-0.5321968596925049
LOG_Caco_Efflux,r1_dm1_sum_nofrag,0,0,469,0.12992957432830332
LOG_MPPB,r1_dm1_sum_nofrag,0,0,446,-0.23116174548458823
LOG_MBPB,r1_dm1_sum_nofrag,0,0,386,0.2910836777823952
LOG_MGMB,r1_dm1_sum_nofrag,0,0,140,0.48492326923234175
LogD,r1_dm2_max_cep,0,0,518,0.571491913875442
LogS,r1_dm2_max_cep,0,0,446,0.2856081375942918
LOG_HLM,r1_dm2_max_cep,0,0,417,0.3001430678196104
LOG_MLM,r1_dm2_max_cep,0,0,426,0.4591304215233367
LOG_Caco_AB,r1_dm2_max_cep,0,0,311,-0.006074630908224243
LOG_Caco_Efflux,r1_dm2_max_cep,0,0,257,0.3704016416288899
LOG_MPPB,r1_dm2_max_cep,0,0,277,0.45823474633831207
LOG_MBPB,r1_dm2_max_cep,0,0,263,0.43040998425719434
LOG_MGMB,r1_dm2_max_cep,0,0,105,0.3006691770384545
LogD,r1_dm2_max_nofrag,0,0,532,0.5305443678629552
LogS,r1_dm2_max_nofrag,0,0,434,0.28530338643903796
LOG_HLM,r1_dm2_max_nofrag,0,0,417,0.33017413155651754
LOG_MLM,r1_dm2_max_nofrag,0,0,428,0.39742906840084613
LOG_Caco_AB,r1_dm2_max_nofrag,0,0,313,0.036367820604099044
LOG_Caco_Efflux,r1_dm2_max_nofrag,0,0,262,0.3938020654394707
LOG_MPPB,r1_dm2_max_nofrag,0,0,277,0.4492579663415768
LOG_MBPB,r1_dm2_max_nofrag,0,0,267,0.5455382675204135
LOG_MGMB,r1_dm2_max_nofrag,0,0,101,0.3851498442222464
LogD,r1_dm2_sum_cep,0,0,587,0.5803507937294474
LogS,r1_dm2_sum_cep,0,0,508,0.2795341966555852
LOG_HLM,r1_dm2_sum_cep,0,0,456,0.290281441369329
LOG_MLM,r1_dm2_sum_cep,0,0,500,0.4679603189274024
LOG_Caco_AB,r1_dm2_sum_cep,0,0,358,-0.05403120224636693
LOG_Caco_Efflux,r1_dm2_sum_cep,0,0,312,0.33043033299813296
LOG_MPPB,r1_dm2_sum_cep,0,0,298,0.40583463387250096
LOG_MBPB,r1_dm2_sum_cep,0,0,275,0.5205388009998209
LOG_MGMB,r1_dm2_sum_cep,0,0,105,0.4826445797344391
LogD,r1_dm2_sum_nofrag,0,0,616,0.5431880265610538
LogS,r1_dm2_sum_nofrag,0,0,520,0.26067316854120215
LOG_HLM,r1_dm2_sum_nofrag,0,0,470,0.2773477422329734
LOG_MLM,r1_dm2_sum_nofrag,0,0,497,0.42093437952386115
LOG_Caco_AB,r1_dm2_sum_nofrag,0,0,379,-0.17678372148378774
LOG_Caco_Efflux,r1_dm2_sum_nofrag,0,0,332,0.3238119766480163
LOG_MPPB,r1_dm2_sum_nofrag,0,0,313,0.3049379779143957
LOG_MBPB,r1_dm2_sum_nofrag,0,0,299,0.43537518148637633
LOG_MGMB,r1_dm2_sum_nofrag,0,0,122,-0.3559086177167865
LogD,r1_dp1_max_cep,0,0,1269,0.27588272653000345
LogS,r1_dp1_max_cep,0,0,1320,-0.09766245464096279
LOG_HLM,r1_dp1_max_cep,0,0,1154,0.20321117753012274
LOG_MLM,r1_dp1_max_cep,0,0,1302,0.13054762020648192
LOG_Caco_AB,r1_dp1_max_cep,0,0,884,0.14382573382907204
LOG_Caco_Efflux,r1_dp1_max_cep,0,0,841,-0.9565218565807512
LOG_MPPB,r1_dp1_max_cep,0,0,663,-1.965625641360396
LOG_MBPB,r1_dp1_max_cep,0,0,552,-0.15752003747643428
LOG_MGMB,r1_dp1_max_cep,0,0,212,-2.208122761143589
LogD,r1_dp1_max_nofrag,0,0,1247,0.31048991760402567
LogS,r1_dp1_max_nofrag,0,0,1289,-0.32961518319449423
LOG_HLM,r1_dp1_max_nofrag,0,0,1072,-0.15923700576072664
LOG_MLM,r1_dp1_max_nofrag,0,0,1231,0.03154224326194821
LOG_Caco_AB,r1_dp1_max_nofrag,0,0,887,0.12462946463178604
LOG_Caco_Efflux,r1_dp1_max_nofrag,0,0,820,-0.9887695553859819
LOG_MPPB,r1_dp1_max_nofrag,0,0,660,-0.0386938253439002
LOG_MBPB,r1_dp1_max_nofrag,0,0,599,0.37064339225264353
LOG_MGMB,r1_dp1_max_nofrag,0,0,212,-2.2829807554807844
LogD,r1_dp1_sum_cep,0,0,1304,-0.4138374904093667
LogS,r1_dp1_sum_cep,0,0,1301,0.2358078175989774
LOG_HLM,r1_dp1_sum_cep,0,0,1157,0.29884429240849664
LOG_MLM,r1_dp1_sum_cep,0,0,1280,-0.13385591058457358
LOG_Caco_AB,r1_dp1_sum_cep,0,0,911,-1.780068806838364
LOG_Caco_Efflux,r1_dp1_sum_cep,0,0,856,-1.1062938253662882
LOG_MPPB,r1_dp1_sum_cep,0,0,693,-2.107791165815801
LOG_MBPB,r1_dp1_sum_cep,0,0,554,-0.6423676538513745
LOG_MGMB,r1_dp1_sum_cep,0,0,233,-0.9213151113773728
LogD,r1_dp1_sum_nofrag,0,0,1227,-0.09744882804805965
LogS,r1_dp1_sum_nofrag,0,0,1284,-0.031408052081264515
LOG_HLM,r1_dp1_sum_nofrag,0,0,1104,0.287625311476156
