endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LogD,r2,chemeleon,trimole,-0.2721723460927359,0,25,1.470366374135946e-05
LogD,spearman,chemeleon,trimole,-0.08698467512544349,0,25,2.9243712784533622e-12
LogD,mae,chemeleon,trimole,0.14289281899435313,0,25,1.7266436226899402e-10
LogS,r2,chemeleon,trimole,-0.18053246074591392,0,25,0.002012734755815178
LogS,spearman,chemeleon,trimole,-0.07848294626558047,0,25,5.74408241238525e-14
LogS,mae,chemeleon,trimole,0.09689696576238171,0,25,7.537213046076265e-11
LOG_HLM,r2,chemeleon,trimole,-0.042979813833120654,8,25,0.011000016821577176
LOG_HLM,spearman,chemeleon,trimole,-0.014146231148547154,9,25,0.07693949824707713
LOG_HLM,mae,chemeleon,trimole,0.009261397592823182,9,25,0.012320700982388995
LOG_MLM,r2,chemeleon,trimole,0.11163300733378038,21,25,0.0005586160160961858
LOG_MLM,spearman,chemeleon,trimole,-0.02176789377727812,7,25,0.06004502577006338
LOG_MLM,mae,chemeleon,trimole,-0.028957688003814697,22,25,5.285764056332195e-05
LOG_Caco_AB,r2,chemeleon,trimole,0.04938227597128755,18,25,0.17641210971207769
LOG_Caco_AB,spearman,chemeleon,trimole,-0.016636813698333593,10,25,0.18018688415066422
LOG_Caco_AB,mae,chemeleon,trimole,0.000596265205469233,11,25,0.92293574884974
LOG_Caco_Efflux,r2,chemeleon,trimole,-0.055357906762665596,5,25,0.03160866222799565
LOG_Caco_Efflux,spearman,chemeleon,trimole,-0.02237454663338434,8,25,0.012893914856661477
LOG_Caco_Efflux,mae,chemeleon,trimole,0.018786036383151822,4,25,0.0011707520204808765
LOG_MPPB,r2,chemeleon,trimole,-0.357772011955961,0,25,3.336079563420048e-10
LOG_MPPB,spearman,chemeleon,trimole,-0.2078037503142236,0,25,4.0398298811955854e-18
LOG_MPPB,mae,chemeleon,trimole,0.06736304903305039,0,25,1.3142079783414504e-13
LOG_MBPB,r2,chemeleon,trimole,-0.2394958121010966,0,25,5.04570070752793e-11
LOG_MBPB,spearman,chemeleon,trimole,-0.11554773405599672,0,25,4.751817377010159e-13
LOG_MBPB,mae,chemeleon,trimole,0.06305069503210564,1,25,6.201042354925186e-12
LOG_MGMB,r2,chemeleon,trimole,-0.1519464967029857,0,25,1.6567430244932518e-10
LOG_MGMB,spearman,chemeleon,trimole,-0.09556265583121906,0,25,1.7556919492322064e-13
LOG_MGMB,mae,chemeleon,trimole,0.052551929533091464,0,25,5.6082304764415845e-12
LogD,r2,lgbm,trimole,-0.11118911676034836,10,25,0.03646856322802961
LogD,spearman,lgbm,trimole,0.0431413026305758,21,25,1.5060167546251366e-05
LogD,mae,lgbm,trimole,0.02444095496815657,11,25,0.07700826124841546
LogS,r2,lgbm,trimole,-0.041821045595319545,15,25,0.4314918496580725
LogS,spearman,lgbm,trimole,0.006491468185575364,16,25,0.33458894522120136
LogS,mae,lgbm,trimole,0.0006050776477189413,18,25,0.9437555102856053
LOG_HLM,r2,lgbm,trimole,0.03928270037808942,21,25,0.00014762184496246823
LOG_HLM,spearman,lgbm,trimole,0.03719108009397944,20,25,0.0002141623363034119
LOG_HLM,mae,lgbm,trimole,-0.00824575850983999,21,25,0.00015072636067088013
LOG_MLM,r2,lgbm,trimole,0.16270485118421932,25,25,7.035217844373111e-13
LOG_MLM,spearman,lgbm,trimole,0.019352476993870403,16,25,0.0345554455431663
LOG_MLM,mae,lgbm,trimole,-0.03922046477321975,25,25,1.5236832959007298e-13
LOG_Caco_AB,r2,lgbm,trimole,0.22286463821148747,23,25,3.0718540861027118e-09
LOG_Caco_AB,spearman,lgbm,trimole,0.07850999369122919,23,25,8.994186633370017e-06
LOG_Caco_AB,mae,lgbm,trimole,-0.03429694159868091,23,25,4.59303894099142e-08
LOG_Caco_Efflux,r2,lgbm,trimole,0.18938232716765768,25,25,8.780783831224517e-11
LOG_Caco_Efflux,spearman,lgbm,trimole,0.09886935852339845,25,25,4.3907761868196467e-10
LOG_Caco_Efflux,mae,lgbm,trimole,-0.03789246531802761,25,25,3.583892180443725e-11
LOG_MPPB,r2,lgbm,trimole,-0.04528632952735809,11,25,0.20392891443353825
LOG_MPPB,spearman,lgbm,trimole,-0.036740416507411056,6,25,0.00298923361800951
LOG_MPPB,mae,lgbm,trimole,-0.00869133057684237,15,25,0.08332187979809538
LOG_MBPB,r2,lgbm,trimole,-0.003420355453265891,11,25,0.862405383311671
LOG_MBPB,spearman,lgbm,trimole,0.045377738273470615,24,25,1.2766572409479805e-05
LOG_MBPB,mae,lgbm,trimole,-0.0023491142302991186,13,25,0.6167820104465892
LOG_MGMB,r2,lgbm,trimole,0.2301098061712862,25,25,4.142001427312203e-08
LOG_MGMB,spearman,lgbm,trimole,0.10371276243006389,24,25,1.0757493823720174e-08
LOG_MGMB,mae,lgbm,trimole,-0.07466297749520442,25,25,1.1565398479950294e-10
LogD,r2,chemprop,trimole,-0.26770358530424576,0,25,1.787086801789347e-05
LogD,spearman,chemprop,trimole,-0.07212000949255631,0,25,1.5500295925082146e-09
