endpoint,repeat,fold,n_fit,n_val,n_test,selected_view,selected_block,selected_backend,selected_val_r2,n_features
LogD,0,0,4230,809,2270,kpgt,wide_chem,ridge,0.7812039629492654,2048
LogD,0,1,4164,875,2270,kpgt,core_pair_torsion,ridge,0.856738420421546,2048
LogD,0,2,3873,1166,2270,kpgt,core_pair_torsion,ridge,0.8333184627933911,2048
LogD,0,3,3787,1252,2270,chem,wide_chem,xgb,0.8152448374570638,2048
LogD,0,4,4102,937,2270,kpgt,core_pair_torsion,ridge,0.8391591802152245,2048
LogD,1,0,4195,844,2270,kpgt,core_maccs_fcfp,ridge,0.7886878171760767,2048
LogD,1,1,4031,1008,2270,kpgt,core_maccs_fcfp,ridge,0.7723509601633407,2048
LogD,1,2,4062,977,2270,fused,core_maccs_fcfp,ridge,0.8389266994747162,2048
LogD,1,3,3699,1340,2270,kpgt,core_maccs_fcfp,ridge,0.8045060762169045,2048
LogD,1,4,4169,870,2270,kpgt,core_pair_torsion,ridge,0.8715800765282044,2048
LogD,2,0,3904,1135,2270,kpgt,core_maccs_fcfp,ridge,0.8619033279440202,2048
LogD,2,1,3920,1119,2270,kpgt,core_maccs_fcfp,ridge,0.7874047596633055,2048
LogD,2,2,3810,1229,2270,kpgt,core_maccs_fcfp,ridge,0.8003017449116344,2048
LogD,2,3,4323,716,2270,kpgt,wide_chem,ridge,0.8400527539780427,2048
LogD,2,4,4199,840,2270,chem,wide_chem,ridge,0.8457957133051569,2048
LogD,3,0,3722,1317,2270,kpgt,core_pair_torsion,ridge,0.8448944353469571,2048
LogD,3,1,4374,665,2270,kpgt,core_pair_torsion,ridge,0.8212733586548048,2048
LogD,3,2,3871,1168,2270,kpgt,core_maccs_fcfp,ridge,0.8488201310143231,2048
LogD,3,3,4092,947,2270,chem,wide_chem,ridge,0.8281456447553681,2048
LogD,3,4,4097,942,2270,kpgt,core_maccs_fcfp,ridge,0.7391016966555743,2048
LogD,4,0,4000,1039,2270,fused,core_pair_torsion,ridge,0.8176134239506387,2048
LogD,4,1,4101,938,2270,kpgt,core_pair_torsion,ridge,0.8182439983098303,2048
LogD,4,2,3833,1206,2270,kpgt,core_maccs_fcfp,ridge,0.7999419516927909,2048
LogD,4,3,4120,919,2270,kpgt,core_pair_torsion,ridge,0.8071817124760082,2048
LogD,4,4,4102,937,2270,kpgt,core_maccs_fcfp,ridge,0.8863659648696492,2048
LogS,0,0,4316,812,2170,chem,wide_chem,extratrees,0.4726410253496959,2048
LogS,0,1,4224,904,2170,unimol,wide_chem,xgb,0.5439555950918684,2048
LogS,0,2,3935,1193,2170,chemberta,wide_chem,xgb,0.5099339517450139,2048
LogS,0,3,3883,1245,2170,chem,wide_chem,xgb,0.5884441269893217,2048
LogS,0,4,4154,974,2170,chem,wide_chem,xgb,0.6606154526229788,2048
LogS,1,0,4193,935,2170,kpgt,wide_chem,xgb,0.4912327158910983,2048
LogS,1,1,4110,1018,2170,chem,wide_chem,xgb,0.516909179583422,2048
LogS,1,2,4143,985,2170,unimol,wide_chem,xgb,0.5107591613096356,2048
LogS,1,3,3780,1348,2170,chem,wide_chem,xgb,0.5859879037444713,2048
LogS,1,4,4286,842,2170,chem,wide_chem,xgb,0.5903830947913028,2048
LogS,2,0,4016,1112,2170,chem,wide_chem,xgb,0.6463588004708511,2048
LogS,2,1,3935,1193,2170,chemberta,wide_chem,xgb,0.5228929724563128,2048
LogS,2,2,3897,1231,2170,chem,wide_chem,xgb,0.5048300003259152,2048
LogS,2,3,4400,728,2170,chem,wide_chem,xgb,0.5439223403095399,2048
LogS,2,4,4264,864,2170,chem,wide_chem,xgb,0.5294617638871513,2048
LogS,3,0,3846,1282,2170,kpgt,core_pair_torsion,ridge,0.477466016670972,2048
LogS,3,1,4456,672,2170,fused,wide_chem,xgb,0.6242121391347359,2048
LogS,3,2,3886,1242,2170,kpgt,wide_chem,xgb,0.575628601747818,2048
LogS,3,3,4134,994,2170,chem,wide_chem,xgb,0.4706578176837999,2048
LogS,3,4,4190,938,2170,chem,wide_chem,xgb,0.5533672572178048,2048
LogS,4,0,4051,1077,2170,chem,wide_chem,xgb,0.5839081286863811,2048
LogS,4,1,4112,1016,2170,chem,wide_chem,xgb,0.5318393213595242,2048
LogS,4,2,3936,1192,2170,chem,wide_chem,xgb,0.5609725209478824,2048
LogS,4,3,4213,915,2170,chem,wide_chem,xgb,0.5177811602342968,2048
LogS,4,4,4200,928,2170,kpgt,wide_chem,xgb,0.6256082230722975,2048
LOG_HLM,0,0,3148,611,782,chem,wide_chem,extratrees,0.44907191488281106,2048
LOG_HLM,0,1,3205,554,782,chem,core_pair_torsion,extratrees,0.47695932792520124,2048
LOG_HLM,0,2,2837,922,782,chem,core_maccs_fcfp,extratrees,0.4797477803339344,2048
LOG_HLM,0,3,2694,1065,782,chem,wide_chem,xgb,0.42010726005880805,2048
LOG_HLM,0,4,3152,607,782,chem,core_pair_torsion,xgb,0.5493212319136711,2048
LOG_HLM,1,0,2947,812,782,chem,wide_chem,extratrees,0.47730360359172475,2048
LOG_HLM,1,1,2968,791,782,chem,core_pair_torsion,rf,0.4710024071921759,2048
LOG_HLM,1,2,3077,682,782,chem,wide_chem,xgb,0.5060272795371414,2048
LOG_HLM,1,3,2968,791,782,chem,core_pair_torsion,extratrees,0.42156887067067383,2048
LOG_HLM,1,4,3076,683,782,chem,core_maccs_fcfp,extratrees,0.49080374117698067,2048
LOG_HLM,2,0,2902,857,782,chem,core_pair_torsion,extratrees,0.4750539309209082,2048
LOG_HLM,2,1,2890,869,782,chem,core_maccs_fcfp,extratrees,0.4732035447693461,2048
LOG_HLM,2,2,2822,937,782,chem,core_pair_torsion,extratrees,0.5072262002531714,2048
LOG_HLM,2,3,3207,552,782,chem,core_maccs_fcfp,extratrees,0.4467989047489378,2048
LOG_HLM,2,4,3215,544,782,chem,wide_chem,xgb,0.42795270598780344,2048
LOG_HLM,3,0,2989,770,782,chem,core_maccs_fcfp,extratrees,0.5058342922669062,2048
LOG_HLM,3,1,3273,486,782,chem,core_pair_torsion,xgb,0.5054074291312997,2048
LOG_HLM,3,2,2752,1007,782,chem,core_pair_torsion,extratrees,0.4644946441284419,2048
LOG_HLM,3,3,3021,738,782,chem,wide_chem,extratrees,0.5437471911650247,2048
LOG_HLM,3,4,3001,758,782,kpgt,core_maccs_fcfp,xgb,0.4316194925086475,2048
LOG_HLM,4,0,2931,828,782,chem,core_pair_torsion,extratrees,0.41341848350694643,2048
LOG_HLM,4,1,3079,680,782,chem,wide_chem,xgb,0.45205790964114245,2048
LOG_HLM,4,2,2878,881,782,chem,core_pair_torsion,xgb,0.47739392815124104,2048
LOG_HLM,4,3,3087,672,782,chem,core_pair_torsion,extratrees,0.461278300525901,2048
LOG_HLM,4,4,3061,698,782,chem,wide_chem,xgb,0.47188412746454955,2048
LOG_MLM,0,0,3793,729,1170,chem,wide_chem,xgb,0.5809388745985181,2048
LOG_MLM,0,1,3767,755,1170,chem,core_pair_torsion,extratrees,0.6696062836211663,2048
LOG_MLM,0,2,3412,1110,1170,chem,wide_chem,extratrees,0.6163974868423473,2048
LOG_MLM,0,3,3378,1144,1170,chem,core_maccs_fcfp,extratrees,0.5364840023179324,2048
LOG_MLM,0,4,3738,784,1170,chem,core_pair_torsion,extratrees,0.6598166966105343,2048
LOG_MLM,1,0,3661,861,1170,chem,wide_chem,extratrees,0.3748627763002558,2048
LOG_MLM,1,1,3643,879,1170,chem,core_pair_torsion,extratrees,0.5059522666362695,2048
LOG_MLM,1,2,3655,867,1170,chem,core_maccs_fcfp,xgb,0.6662475974281665,2048
LOG_MLM,1,3,3361,1161,1170,chem,core_maccs_fcfp,extratrees,0.6242006225339913,2048
LOG_MLM,1,4,3768,754,1170,chem,core_maccs_fcfp,extratrees,0.5793434445188251,2048
LOG_MLM,2,0,3506,1016,1170,chem,wide_chem,xgb,0.635184419809993,2048
LOG_MLM,2,1,3427,1095,1170,chem,wide_chem,extratrees,0.6788851948682085,2048
LOG_MLM,2,2,3452,1070,1170,chem,wide_chem,extratrees,0.5061732410308115,2048
LOG_MLM,2,3,3884,638,1170,chem,core_maccs_fcfp,extratrees,0.5547200030616168,2048
LOG_MLM,2,4,3819,703,1170,chem,wide_chem,xgb,0.645240041374219,2048
LOG_MLM,3,0,3407,1115,1170,chem,core_maccs_fcfp,extratrees,0.6880237532066524,2048
LOG_MLM,3,1,3947,575,1170,chem,core_pair_torsion,extratrees,0.40591430642755233,2048
LOG_MLM,3,2,3408,1114,1170,chem,core_pair_torsion,xgb,0.5377295943615079,2048
LOG_MLM,3,3,3633,889,1170,chem,core_pair_torsion,extratrees,0.6146769828421357,2048
LOG_MLM,3,4,3693,829,1170,chem,core_maccs_fcfp,extratrees,0.5013235879483,2048
LOG_MLM,4,0,3537,985,1170,chem,core_pair_torsion,extratrees,0.5813118946004274,2048
LOG_MLM,4,1,3624,898,1170,kpgt,wide_chem,xgb,0.6430257053738663,2048
LOG_MLM,4,2,3459,1063,1170,chem,wide_chem,extratrees,0.6354471434675789,2048
LOG_MLM,4,3,3747,775,1170,chem,core_maccs_fcfp,extratrees,0.5908700365704651,2048
LOG_MLM,4,4,3721,801,1170,chem,core_pair_torsion,extratrees,0.565066362273198,2048
LOG_Caco_AB,0,0,1790,367,1616,chem,wide_chem,xgb,0.5243791798280742,2048
LOG_Caco_AB,0,1,1812,345,1616,kpgt,wide_chem,xgb,0.5651519686401643,2048
LOG_Caco_AB,0,2,1661,496,1616,chem,wide_chem,xgb,0.44919030713193697,2048
LOG_Caco_AB,0,3,1580,577,1616,chem,wide_chem,extratrees,0.4709024920409468,2048
LOG_Caco_AB,0,4,1785,372,1616,chem,wide_chem,xgb,0.5717850763562629,2048
LOG_Caco_AB,1,0,1710,447,1616,chem,core_pair_torsion,xgb,0.35864534445286567,2048
LOG_Caco_AB,1,1,1730,427,1616,chemberta,wide_chem,xgb,0.4945803189186594,2048
LOG_Caco_AB,1,2,1792,365,1616,chem,core_pair_torsion,xgb,0.5161679749014161,2048
LOG_Caco_AB,1,3,1588,569,1616,chem,core_maccs_fcfp,xgb,0.5854516313241855,2048
LOG_Caco_AB,1,4,1808,349,1616,kpgt,wide_chem,xgb,0.4861298360124938,2048
LOG_Caco_AB,2,0,1712,445,1616,chem,wide_chem,xgb,0.5535529344675582,2048
LOG_Caco_AB,2,1,1677,480,1616,chem,wide_chem,xgb,0.6056702502518723,2048
LOG_Caco_AB,2,2,1618,539,1616,chem,core_pair_torsion,xgb,0.4921894018829087,2048
LOG_Caco_AB,2,3,1807,350,1616,chem,core_maccs_fcfp,xgb,0.4569956892238499,2048
LOG_Caco_AB,2,4,1814,343,1616,chem,core_maccs_fcfp,xgb,0.37887886067217225,2048
LOG_Caco_AB,3,0,1676,481,1616,chem,wide_chem,xgb,0.5195541207038725,2048
LOG_Caco_AB,3,1,1855,302,1616,chem,wide_chem,xgb,0.5297542245738485,2048
LOG_Caco_AB,3,2,1596,561,1616,chem,wide_chem,xgb,0.538324964183849,2048
LOG_Caco_AB,3,3,1802,355,1616,chem,wide_chem,xgb,0.445597458409401,2048
LOG_Caco_AB,3,4,1699,458,1616,chem,wide_chem,xgb,0.443706686566277,2048
LOG_Caco_AB,4,0,1764,393,1616,chem,core_pair_torsion,xgb,0.3620804239216435,2048
LOG_Caco_AB,4,1,1767,390,1616,chem,wide_chem,xgb,0.5254289417280456,2048
LOG_Caco_AB,4,2,1570,587,1616,chem,wide_chem,xgb,0.5364358082293521,2048
LOG_Caco_AB,4,3,1751,406,1616,chem,wide_chem,xgb,0.5665224844968733,2048
LOG_Caco_AB,4,4,1776,381,1616,chem,wide_chem,extratrees,0.4043472230870213,2048
LOG_Caco_Efflux,0,0,1794,367,1616,chem,wide_chem,xgb,0.6456635496429755,2048
LOG_Caco_Efflux,0,1,1815,346,1616,kpgt,wide_chem,xgb,0.5264564284523903,2048
LOG_Caco_Efflux,0,2,1665,496,1616,chem,wide_chem,xgb,0.5687674595935676,2048
LOG_Caco_Efflux,0,3,1581,580,1616,chem,wide_chem,xgb,0.44572843244901006,2048
LOG_Caco_Efflux,0,4,1789,372,1616,chemberta,core_maccs_fcfp,xgb,0.5572722368761315,2048
LOG_Caco_Efflux,1,0,1714,447,1616,chem,wide_chem,xgb,0.38288538324774,2048
LOG_Caco_Efflux,1,1,1733,428,1616,chem,core_pair_torsion,xgb,0.45453296471348914,2048
LOG_Caco_Efflux,1,2,1796,365,1616,chem,wide_chem,xgb,0.4496039457068659,2048
LOG_Caco_Efflux,1,3,1590,571,1616,chem,wide_chem,xgb,0.5768777659446933,2048
LOG_Caco_Efflux,1,4,1811,350,1616,chem,core_maccs_fcfp,extratrees,0.488665790517699,2048
LOG_Caco_Efflux,2,0,1713,448,1616,chem,wide_chem,xgb,0.5279683380481466,2048
LOG_Caco_Efflux,2,1,1681,480,1616,chem,wide_chem,xgb,0.6318594737253301,2048
LOG_Caco_Efflux,2,2,1623,538,1616,chem,wide_chem,xgb,0.5230779371114338,2048
LOG_Caco_Efflux,2,3,1810,351,1616,chem,core_maccs_fcfp,xgb,0.4482739396370583,2048
LOG_Caco_Efflux,2,4,1817,344,1616,kpgt,wide_chem,xgb,0.45472837612873074,2048
LOG_Caco_Efflux,3,0,1677,484,1616,chem,wide_chem,xgb,0.5794113284876754,2048
LOG_Caco_Efflux,3,1,1859,302,1616,kpgt,core_maccs_fcfp,xgb,0.40518766321066,2048
