endpoint,axis,level,folds,share
LOG_Caco_AB,selected_view,chem,22,0.88
LOG_Caco_AB,selected_view,chemberta,1,0.04
LOG_Caco_AB,selected_view,kpgt,2,0.08
LOG_Caco_Efflux,selected_view,chem,20,0.8
LOG_Caco_Efflux,selected_view,chemberta,1,0.04
LOG_Caco_Efflux,selected_view,fused,1,0.04
LOG_Caco_Efflux,selected_view,kpgt,3,0.12
LOG_HLM,selected_view,chem,24,0.96
LOG_HLM,selected_view,kpgt,1,0.04
LOG_MBPB,selected_view,chem,8,0.32
LOG_MBPB,selected_view,fused,1,0.04
LOG_MBPB,selected_view,kpgt,16,0.64
LOG_MGMB,selected_view,chem,7,0.28
LOG_MGMB,selected_view,chemberta,2,0.08
LOG_MGMB,selected_view,fused,2,0.08
LOG_MGMB,selected_view,kpgt,11,0.44
LOG_MGMB,selected_view,unimol,3,0.12
LOG_MLM,selected_view,chem,24,0.96
LOG_MLM,selected_view,kpgt,1,0.04
LOG_MPPB,selected_view,chem,16,0.64
LOG_MPPB,selected_view,fused,1,0.04
LOG_MPPB,selected_view,kpgt,8,0.32
LogD,selected_view,chem,3,0.12
LogD,selected_view,fused,2,0.08
LogD,selected_view,kpgt,20,0.8
LogS,selected_view,chem,16,0.64
LogS,selected_view,chemberta,2,0.08
LogS,selected_view,fused,1,0.04
LogS,selected_view,kpgt,4,0.16
LogS,selected_view,unimol,2,0.08
LOG_Caco_AB,selected_block,core_maccs_fcfp,3,0.12
LOG_Caco_AB,selected_block,core_pair_torsion,4,0.16
LOG_Caco_AB,selected_block,wide_chem,18,0.72
LOG_Caco_Efflux,selected_block,core_maccs_fcfp,4,0.16
LOG_Caco_Efflux,selected_block,core_pair_torsion,2,0.08
LOG_Caco_Efflux,selected_block,wide_chem,19,0.76
LOG_HLM,selected_block,core_maccs_fcfp,6,0.24
LOG_HLM,selected_block,core_pair_torsion,11,0.44
LOG_HLM,selected_block,wide_chem,8,0.32
LOG_MBPB,selected_block,core_maccs_fcfp,10,0.4
LOG_MBPB,selected_block,core_pair_torsion,7,0.28
LOG_MBPB,selected_block,wide_chem,8,0.32
LOG_MGMB,selected_block,core_maccs_fcfp,13,0.52
LOG_MGMB,selected_block,core_pair_torsion,5,0.2
LOG_MGMB,selected_block,wide_chem,7,0.28
LOG_MLM,selected_block,core_maccs_fcfp,8,0.32
LOG_MLM,selected_block,core_pair_torsion,8,0.32
LOG_MLM,selected_block,wide_chem,9,0.36
LOG_MPPB,selected_block,core_maccs_fcfp,5,0.2
LOG_MPPB,selected_block,core_pair_torsion,6,0.24
LOG_MPPB,selected_block,wide_chem,14,0.56
LogD,selected_block,core_maccs_fcfp,11,0.44
LogD,selected_block,core_pair_torsion,9,0.36
LogD,selected_block,wide_chem,5,0.2
LogS,selected_block,core_pair_torsion,1,0.04
LogS,selected_block,wide_chem,24,0.96
LOG_Caco_AB,selected_backend,extratrees,2,0.08
LOG_Caco_AB,selected_backend,xgb,23,0.92
LOG_Caco_Efflux,selected_backend,extratrees,1,0.04
LOG_Caco_Efflux,selected_backend,rf,1,0.04
LOG_Caco_Efflux,selected_backend,xgb,23,0.92
LOG_HLM,selected_backend,extratrees,15,0.6
LOG_HLM,selected_backend,rf,1,0.04
LOG_HLM,selected_backend,xgb,9,0.36
LOG_MBPB,selected_backend,ridge,16,0.64
LOG_MBPB,selected_backend,xgb,9,0.36
LOG_MGMB,selected_backend,ridge,19,0.76
LOG_MGMB,selected_backend,xgb,6,0.24
LOG_MLM,selected_backend,extratrees,19,0.76
LOG_MLM,selected_backend,xgb,6,0.24
LOG_MPPB,selected_backend,ridge,4,0.16
LOG_MPPB,selected_backend,xgb,21,0.84
LogD,selected_backend,ridge,24,0.96
LogD,selected_backend,xgb,1,0.04
LogS,selected_backend,extratrees,1,0.04
LogS,selected_backend,ridge,1,0.04
LogS,selected_backend,xgb,23,0.92
