dataset,endpoint,n_folds,config,tdims_r2,monroe_r2,lgbm_r2,delta_r2,win_rate,p,tdims_mae,monroe_mae
ExpansionRx,LogD,25,r2_dm1_max_cep,0.27933399480919313,0.7202523260414695,0.5104997977028769,-0.44091833123227614,0.0,5.4897340874082534e-30,0.6682275072520245,0.4001872146086598
ExpansionRx,LogS,25,r2_dm2_max_cep,0.33224367422953427,0.4708108167836073,0.3349890174831516,-0.13856714255407312,0.0,6.62366695202738e-16,0.42693251798126247,0.3690426586032882
ExpansionRx,LOG_HLM,25,r1_dm2_max_nofrag,-0.051115038255591924,0.3539108915515877,0.13854185166228233,-0.4050259298071797,0.0,1.4933978286753122e-20,0.3709299354771028,0.28456158205922094
ExpansionRx,LOG_MLM,25,r2_dm2_max_cep,0.10010767370944126,0.2668839066801481,0.0842140986222117,-0.16677623297070684,0.0,1.8390277908232254e-14,0.4117388357288705,0.3663254937279568
ExpansionRx,LOG_Caco_AB,25,r1_dp1_max_cep,-0.05920875078027171,0.4445385306926063,-0.01389515526414473,-0.5037472814728781,0.0,2.060950702377012e-19,0.348655304186515,0.25144307449354575
ExpansionRx,LOG_Caco_Efflux,25,r2_dm2_max_cep,-0.28732493568109796,0.2943249702368576,-0.13483586692986596,-0.5816499059179556,0.0,1.3591274861052093e-20,0.45147422367658846,0.3395091256315437
ExpansionRx,LOG_MPPB,25,r2_dm2_max_cep,0.2880048690062634,0.34395535096214147,0.2285323344203973,-0.05595048195587806,0.2,0.0031654629607643144,0.26214134181315574,0.25216129060244463
ExpansionRx,LOG_MBPB,25,r1_dm2_sum_cep,0.5559689712914715,0.5997983281188213,0.4765802314737563,-0.04382935682734969,0.16,0.00022352502269916725,0.2010511094386278,0.19056014282667824
ExpansionRx,LOG_MGMB,25,r2_dm2_sum_cep,0.4944682300844468,0.5982669731733666,0.259508711611842,-0.10379874308891976,0.04,3.121546805328175e-05,0.23057894926612874,0.1998987390694572
Biogen ADME,LOG_SOL,25,r2_dm1_sum_cep,0.1726422911737503,0.5034570349027706,0.27458516623005824,-0.3308147437290203,0.0,1.3996900703804063e-26,0.4236863743744581,0.3209747033623042
Biogen ADME,LOG_HLM,25,r1_dp1_sum_nofrag,0.28651347874733324,0.563400822844929,0.32586350877201586,-0.2768873440975958,0.0,5.835684444735912e-32,0.4038402356290348,0.29444285971474377
Biogen ADME,LOG_RLM,25,r1_dp1_max_nofrag,0.31096520945475314,0.5683232596994742,0.3894209845155855,-0.257358050244721,0.0,2.4148990554358354e-34,0.49898297895179544,0.3723922948150216
Biogen ADME,LOG_MDR1_ER,25,r1_dm2_max_nofrag,0.3505658292505355,0.6513310942164467,0.448585271570081,-0.30076526496591127,0.0,1.6928304204947972e-29,0.4090800865604,0.28832457019269536
Biogen ADME,LOG_HPPB,25,r2_dp1_max_cep,-0.01687206624851035,0.5104494512700672,0.12867518292136132,-0.5273215175185777,0.0,1.1156942569165252e-19,0.6301676398410826,0.4199514461282089
Biogen ADME,LOG_RPPB,25,r2_dp1_max_cep,-0.08965849408114596,0.40700990111087954,0.11799156170874207,-0.4966683951920255,0.0,1.1200802294490157e-13,0.6201670580047403,0.44862729052696065
