endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_SOL,1,2,early,rdkit,0.008892532782444259
LOG_SOL,1,2,early,mol2vec,0.04670434910153353
LOG_SOL,1,2,early,gnn,0.4540112666264621
LOG_SOL,1,2,early,smiles,0.054781446572625556
LOG_SOL,3,4,early,rdkit,0.014547449671443632
LOG_SOL,3,4,early,mol2vec,0.06298569384701702
LOG_SOL,3,4,early,gnn,0.4312484073482149
LOG_SOL,3,4,early,smiles,0.0788372021060578
LOG_SOL,4,0,early,rdkit,0.02951771315763012
LOG_SOL,4,0,early,mol2vec,0.05346579849743123
LOG_SOL,4,0,early,gnn,0.43984799959043475
LOG_SOL,4,0,early,smiles,0.08466247758445174
LOG_SOL,0,2,early,rdkit,0.012904233250795514
LOG_SOL,0,2,early,mol2vec,0.04328000244855727
LOG_SOL,0,2,early,gnn,0.4390864708555625
LOG_SOL,0,2,early,smiles,0.09737272592869861
LOG_SOL,2,4,early,rdkit,0.004356860441769446
LOG_SOL,2,4,early,mol2vec,0.04523543067666175
LOG_SOL,2,4,early,gnn,0.5138836643213643
LOG_SOL,2,4,early,smiles,0.03408404537856338
LOG_SOL,3,1,early,rdkit,0.010363767947809582
LOG_SOL,3,1,early,mol2vec,0.0460682023849025
LOG_SOL,3,1,early,gnn,0.4603039579914012
LOG_SOL,3,1,early,smiles,0.06261118546420538
LOG_SOL,3,0,early,rdkit,0.014915028615690022
LOG_SOL,3,0,early,mol2vec,0.04195565667681794
LOG_SOL,3,0,early,gnn,0.48285513523919954
LOG_SOL,3,0,early,smiles,0.06375552603435179
LOG_SOL,3,2,early,rdkit,0.0036759134522662924
LOG_SOL,3,2,early,mol2vec,0.019997765160694084
LOG_SOL,3,2,early,gnn,0.4328761834968875
LOG_SOL,3,2,early,smiles,0.15119435383213714
LOG_SOL,1,3,early,rdkit,0.008454018312168028
LOG_SOL,1,3,early,mol2vec,0.041541120658514244
LOG_SOL,1,3,early,gnn,0.4811712050133089
LOG_SOL,1,3,early,smiles,0.061881350317441186
LOG_SOL,1,1,early,rdkit,0.011610619340994109
LOG_SOL,1,1,early,mol2vec,0.03702750893027511
LOG_SOL,1,1,early,gnn,0.5053940787498005
LOG_SOL,1,1,early,smiles,0.02510372764005217
LOG_SOL,4,3,early,rdkit,0.017961684711026462
LOG_SOL,4,3,early,mol2vec,0.04434223555972584
LOG_SOL,4,3,early,gnn,0.4732547361904043
LOG_SOL,4,3,early,smiles,0.04646324401676618
LOG_SOL,1,4,early,rdkit,0.017070177780299605
LOG_SOL,1,4,early,mol2vec,0.04851638404380017
LOG_SOL,1,4,early,gnn,0.49854051308350156
LOG_SOL,1,4,early,smiles,0.03566401273170132
LOG_SOL,0,1,early,rdkit,0.013250242408691121
LOG_SOL,0,1,early,mol2vec,0.039867799110478594
LOG_SOL,0,1,early,gnn,0.4645748571336737
LOG_SOL,0,1,early,smiles,0.069013012020223
LOG_SOL,4,2,early,rdkit,0.013014532919820887
LOG_SOL,4,2,early,mol2vec,0.0800770836481052
LOG_SOL,4,2,early,gnn,0.4388298222868468
LOG_SOL,4,2,early,smiles,0.07199857852308622
LOG_SOL,1,0,early,rdkit,0.006888661378508737
LOG_SOL,1,0,early,mol2vec,0.03219405793003214
LOG_SOL,1,0,early,gnn,0.33048784231653366
LOG_SOL,1,0,early,smiles,0.23666017374022347
LOG_SOL,0,0,early,rdkit,0.0073406653218048516
LOG_SOL,0,0,early,mol2vec,0.04862793044705002
LOG_SOL,0,0,early,gnn,0.4521174022738272
LOG_SOL,0,0,early,smiles,0.09038477566977637
LOG_SOL,0,4,early,rdkit,0.024270515544712733
LOG_SOL,0,4,early,mol2vec,0.033617243988790735
LOG_SOL,0,4,early,gnn,0.4895518805985022
LOG_SOL,0,4,early,smiles,0.0308181362009628
LOG_SOL,3,3,early,rdkit,0.0071399385369295505
LOG_SOL,3,3,early,mol2vec,0.04348153539208652
LOG_SOL,3,3,early,gnn,0.4437957715085321
LOG_SOL,3,3,early,smiles,0.0765124483032275
LOG_SOL,4,1,early,rdkit,0.004512077328665771
LOG_SOL,4,1,early,mol2vec,0.016051589112026594
LOG_SOL,4,1,early,gnn,0.5439271698168173
LOG_SOL,4,1,early,smiles,0.005201598858711184
LOG_SOL,2,1,early,rdkit,0.002240102529669713
LOG_SOL,2,1,early,mol2vec,0.02482992466253435
LOG_SOL,2,1,early,gnn,0.412759684882929
LOG_SOL,2,1,early,smiles,0.16986536427436727
LOG_SOL,2,3,early,rdkit,0.012460673198568686
LOG_SOL,2,3,early,mol2vec,0.03320681465660549
LOG_SOL,2,3,early,gnn,0.43802815658249045
LOG_SOL,2,3,early,smiles,0.09277481895469591
LOG_SOL,0,3,early,rdkit,0.014070213006704734
LOG_SOL,0,3,early,mol2vec,0.03490857813232911
LOG_SOL,0,3,early,gnn,0.4091841837982309
LOG_SOL,0,3,early,smiles,0.15109133687628268
LOG_SOL,2,0,early,rdkit,0.010154088845709308
LOG_SOL,2,0,early,mol2vec,0.028295294021533413
LOG_SOL,2,0,early,gnn,0.44056590796895845
LOG_SOL,2,0,early,smiles,0.12654435556553834
LOG_SOL,2,2,early,rdkit,0.07117504221735499
LOG_SOL,2,2,early,mol2vec,0.06942335249524736
LOG_SOL,2,2,early,gnn,0.3086951135623167
LOG_SOL,2,2,early,smiles,0.13412000161611984
LOG_HLM,0,0,early,rdkit,0.06459032801821606
LOG_HLM,0,0,early,mol2vec,0.09302139524518878
LOG_HLM,0,0,early,gnn,0.5145869281679705
LOG_HLM,0,0,early,smiles,0.2677912550969444
LOG_SOL,4,4,early,rdkit,0.009136740770656588
LOG_SOL,4,4,early,mol2vec,0.04462005035737145
LOG_SOL,4,4,early,gnn,0.5109632694814474
LOG_SOL,4,4,early,smiles,0.03739268866695321
LOG_HLM,0,2,early,rdkit,0.03272324880028897
LOG_HLM,0,2,early,mol2vec,0.07778495408757147
LOG_HLM,0,2,early,gnn,0.6086531704082345
LOG_HLM,0,2,early,smiles,0.20364650108240379
LOG_HLM,0,1,early,rdkit,0.050265358311611094
LOG_HLM,0,1,early,mol2vec,0.11449559379300514
LOG_HLM,0,1,early,gnn,0.664265706828796
LOG_HLM,0,1,early,smiles,0.1260761656609956
LOG_HLM,0,3,early,rdkit,0.03892542322374863
LOG_HLM,0,3,early,mol2vec,0.13840023638667767
LOG_HLM,0,3,early,gnn,0.613422513967409
LOG_HLM,0,3,early,smiles,0.1748859702582062
LOG_HLM,1,0,early,rdkit,0.042620701679194406
LOG_HLM,1,0,early,mol2vec,0.0728654325425808
LOG_HLM,1,0,early,gnn,0.550385535402142
LOG_HLM,1,0,early,smiles,0.289998496083321
LOG_HLM,0,4,early,rdkit,0.07584962062540376
LOG_HLM,0,4,early,mol2vec,0.21723092137461744
LOG_HLM,0,4,early,gnn,0.4875427741084924
LOG_HLM,0,4,early,smiles,0.19315281635351617
LOG_HLM,1,1,early,rdkit,0.0665350473262037
LOG_HLM,1,1,early,mol2vec,0.10459351425871638
LOG_HLM,1,1,early,gnn,0.5702920095300614
LOG_HLM,1,1,early,smiles,0.21580019211981097
LOG_HLM,1,2,early,rdkit,0.032564837866932886
LOG_HLM,1,2,early,mol2vec,0.09789058716820195
LOG_HLM,1,2,early,gnn,0.4138283733057642
LOG_HLM,1,2,early,smiles,0.4335039538284514
LOG_HLM,1,3,early,rdkit,0.07215594913212456
LOG_HLM,1,3,early,mol2vec,0.11550106881194003
LOG_HLM,1,3,early,gnn,0.5182704517596554
LOG_HLM,1,3,early,smiles,0.255685669747722
LOG_HLM,1,4,early,rdkit,0.05731717661225319
LOG_HLM,1,4,early,mol2vec,0.10050530069662006
LOG_HLM,1,4,early,gnn,0.4938199498453732
LOG_HLM,1,4,early,smiles,0.34235626064280755
LOG_HLM,2,0,early,rdkit,0.07022848669940492
LOG_HLM,2,0,early,mol2vec,0.09975335403887865
LOG_HLM,2,0,early,gnn,0.5907709570100639
LOG_HLM,2,0,early,smiles,0.18193091365544128
LOG_HLM,2,1,early,rdkit,0.052172665783955026
LOG_HLM,2,1,early,mol2vec,0.1034800719609471
LOG_HLM,2,1,early,gnn,0.6426034296264334
LOG_HLM,2,1,early,smiles,0.0857867902371381
LOG_HLM,2,3,early,rdkit,0.06076068640372217
LOG_HLM,2,3,early,mol2vec,0.09914622778123272
LOG_HLM,2,3,early,gnn,0.5125470877708954
LOG_HLM,2,3,early,smiles,0.2832903190941515
LOG_HLM,2,2,early,rdkit,0.04573591547764978
LOG_HLM,2,2,early,mol2vec,0.10836353475490756
LOG_HLM,2,2,early,gnn,0.6654187113431064
LOG_HLM,2,2,early,smiles,0.06135657543528931
LOG_HLM,2,4,early,rdkit,0.06914713476402677
LOG_HLM,2,4,early,mol2vec,0.10093884453626295
LOG_HLM,2,4,early,gnn,0.6398783107449737
LOG_HLM,2,4,early,smiles,0.14986666971207577
LOG_HLM,3,0,early,rdkit,0.06507770122361788
LOG_HLM,3,0,early,mol2vec,0.11844929008227438
LOG_HLM,3,0,early,gnn,0.5615316571188522
LOG_HLM,3,0,early,smiles,0.20631703256263245
LOG_RLM,0,1,early,rdkit,0.06819379493675654
LOG_RLM,0,1,early,mol2vec,0.09208793872645285
LOG_RLM,0,1,early,gnn,0.4647270018859469
LOG_RLM,0,1,early,smiles,0.5218606073390516
LOG_RLM,0,0,early,rdkit,0.049727108688733646
LOG_RLM,0,0,early,mol2vec,0.08903240700900095
LOG_RLM,0,0,early,gnn,0.6430149838066712
LOG_RLM,0,0,early,smiles,0.3313627240032904
LOG_RLM,0,2,early,rdkit,0.0692809579449745
LOG_RLM,0,2,early,mol2vec,0.08561888602131858
LOG_RLM,0,2,early,gnn,0.6445472210459975
LOG_RLM,0,2,early,smiles,0.33473556275823607
LOG_HLM,3,3,early,rdkit,0.07318618113668435
LOG_HLM,3,3,early,mol2vec,0.13815661786773775
LOG_HLM,3,3,early,gnn,0.5925337127740842
LOG_HLM,3,3,early,smiles,0.15954430410878256
LOG_HLM,3,1,early,rdkit,0.04520756210334852
LOG_HLM,3,1,early,mol2vec,0.10142476365838658
LOG_HLM,3,1,early,gnn,0.5175229121283557
LOG_HLM,3,1,early,smiles,0.2739981233346348
LOG_RLM,0,3,early,rdkit,0.05134555248727227
LOG_RLM,0,3,early,mol2vec,0.10102801309764001
LOG_RLM,0,3,early,gnn,0.6473380366038857
LOG_RLM,0,3,early,smiles,0.31051223674653444
LOG_HLM,4,3,early,rdkit,0.0755809611834792
LOG_HLM,4,3,early,mol2vec,0.13358394294866582
LOG_HLM,4,3,early,gnn,0.44057181188976524
LOG_HLM,4,3,early,smiles,0.35650354922829197
LOG_HLM,3,2,early,rdkit,0.054599078389311044
LOG_HLM,3,2,early,mol2vec,0.1723306474521109
LOG_HLM,3,2,early,gnn,0.5986713930484219
LOG_HLM,3,2,early,smiles,0.16467924032225784
LOG_HLM,4,4,early,rdkit,0.052030170257101105
LOG_HLM,4,4,early,mol2vec,0.11082422649963586
LOG_HLM,4,4,early,gnn,0.6786122513417532
LOG_HLM,4,4,early,smiles,0.06962286515682133
LOG_RLM,0,4,early,rdkit,0.053443395575082056
LOG_RLM,0,4,early,mol2vec,0.12048432178416726
LOG_RLM,0,4,early,gnn,0.6637402520564484
LOG_RLM,0,4,early,smiles,0.33545060034166696
LOG_RLM,1,0,early,rdkit,0.05202792896330946
LOG_RLM,1,0,early,mol2vec,0.10848132884025632
LOG_RLM,1,0,early,gnn,0.6295665966554824
LOG_RLM,1,0,early,smiles,0.3890825249879931
LOG_HLM,4,0,early,rdkit,0.047829692000394226
LOG_HLM,4,0,early,mol2vec,0.11195701459625562
LOG_HLM,4,0,early,gnn,0.6269232848614559
LOG_HLM,4,0,early,smiles,0.15024961121062258
LOG_HLM,3,4,early,rdkit,0.020178034917773827
LOG_HLM,3,4,early,mol2vec,0.052842829722531875
LOG_HLM,3,4,early,gnn,0.20068138346949285
LOG_HLM,3,4,early,smiles,0.6527992426266618
LOG_HLM,4,2,early,rdkit,0.07373119794095437
LOG_HLM,4,2,early,mol2vec,0.17926059149850293
LOG_HLM,4,2,early,gnn,0.4488978596450282
LOG_HLM,4,2,early,smiles,0.297489904589191
LOG_HLM,4,1,early,rdkit,0.10218927732105945
LOG_HLM,4,1,early,mol2vec,0.17003930756383498
LOG_HLM,4,1,early,gnn,0.36409593252921846
