endpoint,metric,method,label,mean,sd,tukey_group
LOG_SOL,r2,lgbm,LightGBM + Morgan,0.2745851662300583,0.023599461028579783,worse
LOG_SOL,r2,chemprop_st,ChemProp single-task,0.3392088430186252,0.02661265640338056,worse
LOG_SOL,r2,chemprop,ChemProp multi-task,0.3446196644412879,0.023278918997559885,equivalent
LOG_SOL,r2,chemeleon,ChemProp + CheMeleon,0.3631604002508091,0.02146706838690962,best
LOG_SOL,r2,uni_R_rf,RF - RDKit,0.29293877257570444,0.009538064297495675,worse
LOG_SOL,r2,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.30824741419905854,0.032510843022550966,worse
LOG_SOL,spearman,lgbm,LightGBM + Morgan,0.47265498152445273,0.022780190431566788,worse
LOG_SOL,spearman,chemprop_st,ChemProp single-task,0.48216349264700525,0.021175013701444447,worse
LOG_SOL,spearman,chemprop,ChemProp multi-task,0.4815803795866198,0.01716963188316959,worse
LOG_SOL,spearman,chemeleon,ChemProp + CheMeleon,0.5100659196689281,0.016856423091083966,best
LOG_SOL,spearman,uni_R_rf,RF - RDKit,0.44880919889656645,0.007933938314518756,worse
LOG_SOL,spearman,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.47277012782825073,0.023906914908047305,worse
LOG_SOL,mae,lgbm,LightGBM + Morgan,0.41267134793594357,0.008696256097651307,worse
LOG_SOL,mae,chemprop_st,ChemProp single-task,0.38058352845428095,0.011187172503452789,worse
LOG_SOL,mae,chemprop,ChemProp multi-task,0.38321821106829346,0.006899181188794982,worse
LOG_SOL,mae,chemeleon,ChemProp + CheMeleon,0.3698656756900434,0.007113392840286237,best
LOG_SOL,mae,uni_R_rf,RF - RDKit,0.4081873402789454,0.0033278668448172965,worse
LOG_SOL,mae,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.41181951248781234,0.017658099622786826,worse
LOG_HLM,r2,lgbm,LightGBM + Morgan,0.32586350877201586,0.015262760181163097,worse
LOG_HLM,r2,chemprop_st,ChemProp single-task,0.3807777582441737,0.02309751216653546,worse
LOG_HLM,r2,chemprop,ChemProp multi-task,0.39596550895858046,0.017476750248904882,worse
LOG_HLM,r2,chemeleon,ChemProp + CheMeleon,0.4737517979510878,0.0187768706089471,best
LOG_HLM,r2,uni_R_rf,RF - RDKit,0.35273503027868314,0.007439108548122119,worse
LOG_HLM,r2,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.3809419250037857,0.050617321419056,worse
LOG_HLM,spearman,lgbm,LightGBM + Morgan,0.5733981746237362,0.01022364653402177,worse
LOG_HLM,spearman,chemprop_st,ChemProp single-task,0.6538588688203507,0.01603863729021064,worse
LOG_HLM,spearman,chemprop,ChemProp multi-task,0.6589548599582783,0.009973203045594216,worse
LOG_HLM,spearman,chemeleon,ChemProp + CheMeleon,0.6913655243460748,0.01220371216376903,best
LOG_HLM,spearman,uni_R_rf,RF - RDKit,0.5936450732575809,0.004754317774112382,worse
LOG_HLM,spearman,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.6447911763821143,0.0291101766679378,worse
LOG_HLM,mae,lgbm,LightGBM + Morgan,0.3949268492995005,0.004887493424484408,worse
LOG_HLM,mae,chemprop_st,ChemProp single-task,0.3641209607719526,0.010358501191881142,worse
LOG_HLM,mae,chemprop,ChemProp multi-task,0.36406080573885896,0.006766521805010207,worse
LOG_HLM,mae,chemeleon,ChemProp + CheMeleon,0.33715600198574813,0.00722624572798143,best
LOG_HLM,mae,uni_R_rf,RF - RDKit,0.3872235263695917,0.002146198425326876,worse
LOG_HLM,mae,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.37292921959063846,0.020780961417202603,worse
LOG_RLM,r2,lgbm,LightGBM + Morgan,0.3894209845155855,0.01134857182891444,worse
LOG_RLM,r2,chemprop_st,ChemProp single-task,0.4591247397964037,0.015032666999259169,worse
LOG_RLM,r2,chemprop,ChemProp multi-task,0.47021219555163973,0.014317289422939047,worse
LOG_RLM,r2,chemeleon,ChemProp + CheMeleon,0.5126661191401198,0.012371560595271147,best
LOG_RLM,r2,uni_R_rf,RF - RDKit,0.40129766839561415,0.00794818640752717,worse
LOG_RLM,r2,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.4768608299572164,0.026224660325162998,worse
LOG_RLM,spearman,lgbm,LightGBM + Morgan,0.6270783400795095,0.009327822070806702,worse
LOG_RLM,spearman,chemprop_st,ChemProp single-task,0.6948938834341799,0.01030101556494575,worse
LOG_RLM,spearman,chemprop,ChemProp multi-task,0.7027863902596982,0.010241317702164434,worse
LOG_RLM,spearman,chemeleon,ChemProp + CheMeleon,0.7253276419099737,0.008299323413110876,best
LOG_RLM,spearman,uni_R_rf,RF - RDKit,0.6326736932779325,0.007547103570677727,worse
LOG_RLM,spearman,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.7107975859201718,0.015522221268665202,worse
LOG_RLM,mae,lgbm,LightGBM + Morgan,0.46957018896590513,0.005031378933749369,worse
LOG_RLM,mae,chemprop_st,ChemProp single-task,0.43086354319084597,0.0064839964381977885,worse
LOG_RLM,mae,chemprop,ChemProp multi-task,0.4280537167908459,0.005908054218268579,worse
LOG_RLM,mae,chemeleon,ChemProp + CheMeleon,0.4037336474879393,0.006090091678847377,best
LOG_RLM,mae,uni_R_rf,RF - RDKit,0.46040958210971605,0.0038641427106975157,worse
LOG_RLM,mae,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.42013056748804983,0.013575851425980992,worse
LOG_MDR1_ER,r2,lgbm,LightGBM + Morgan,0.448585271570081,0.010414653432787496,worse
LOG_MDR1_ER,r2,chemprop_st,ChemProp single-task,0.5234796534821472,0.0107160423716984,equivalent
LOG_MDR1_ER,r2,chemprop,ChemProp multi-task,0.5234796534821472,0.0107160423716984,best
LOG_MDR1_ER,r2,chemeleon,ChemProp + CheMeleon,0.5200344349867766,0.009223566419898785,equivalent
LOG_MDR1_ER,r2,uni_R_rf,RF - RDKit,0.43536991373221967,0.006941910698551484,worse
LOG_MDR1_ER,r2,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.4847090164561457,0.021875875480878555,worse
LOG_MDR1_ER,spearman,lgbm,LightGBM + Morgan,0.6955028360858984,0.008546752536636974,worse
LOG_MDR1_ER,spearman,chemprop_st,ChemProp single-task,0.7542649413376856,0.008534146154987713,equivalent
LOG_MDR1_ER,spearman,chemprop,ChemProp multi-task,0.7542649413376856,0.008534146154987713,equivalent
LOG_MDR1_ER,spearman,chemeleon,ChemProp + CheMeleon,0.7598517979935491,0.005551685315835561,best
LOG_MDR1_ER,spearman,uni_R_rf,RF - RDKit,0.6814803696299256,0.005763028378720523,worse
LOG_MDR1_ER,spearman,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.7333448229563722,0.012414879548322015,worse
LOG_MDR1_ER,mae,lgbm,LightGBM + Morgan,0.3852722451736883,0.004523329269048541,worse
LOG_MDR1_ER,mae,chemprop_st,ChemProp single-task,0.35520820692075455,0.005473244064434133,worse
LOG_MDR1_ER,mae,chemprop,ChemProp multi-task,0.35520820692075455,0.005473244064434133,worse
LOG_MDR1_ER,mae,chemeleon,ChemProp + CheMeleon,0.3397377272962851,0.0037261192148110587,best
LOG_MDR1_ER,mae,uni_R_rf,RF - RDKit,0.3948521073958687,0.0030055372130182957,worse
LOG_MDR1_ER,mae,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.3691392128732798,0.011356295178316206,worse
LOG_HPPB,r2,lgbm,LightGBM + Morgan,0.12867518292136132,0.09352960943779622,worse
LOG_HPPB,r2,chemprop_st,ChemProp single-task,-0.06368603627030196,0.05885807279821042,worse
LOG_HPPB,r2,chemprop,ChemProp multi-task,0.16615827613122058,0.049116494910472486,worse
LOG_HPPB,r2,chemeleon,ChemProp + CheMeleon,0.22982862532053275,0.06471752071877192,worse
LOG_HPPB,r2,uni_R_rf,RF - RDKit,0.34850143675956263,0.04317264642926646,best
LOG_HPPB,r2,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.18267051796965716,0.15279868237428296,worse
LOG_HPPB,spearman,lgbm,LightGBM + Morgan,0.43376706862747694,0.05842793133584988,worse
LOG_HPPB,spearman,chemprop_st,ChemProp single-task,0.22023317226094974,0.06274633720261934,worse
LOG_HPPB,spearman,chemprop,ChemProp multi-task,0.46528822973236555,0.043361026710373674,worse
LOG_HPPB,spearman,chemeleon,ChemProp + CheMeleon,0.5393756327987439,0.03823239432265632,equivalent
LOG_HPPB,spearman,uni_R_rf,RF - RDKit,0.6001321749119288,0.03189280684505127,best
LOG_HPPB,spearman,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.5063465854214373,0.1504814195251716,worse
LOG_HPPB,mae,lgbm,LightGBM + Morgan,0.5756141314590982,0.03345523039253257,worse
LOG_HPPB,mae,chemprop_st,ChemProp single-task,0.6495717440826546,0.01799493289419261,worse
LOG_HPPB,mae,chemprop,ChemProp multi-task,0.5832088841467272,0.01972498192068619,worse
LOG_HPPB,mae,chemeleon,ChemProp + CheMeleon,0.5577093187858182,0.02544509774298411,worse
LOG_HPPB,mae,uni_R_rf,RF - RDKit,0.49312765665010105,0.019209530185410193,best
LOG_HPPB,mae,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.5602985979833501,0.05756749480200204,worse
LOG_RPPB,r2,lgbm,LightGBM + Morgan,0.11799156170874207,0.06731707650331098,worse
LOG_RPPB,r2,chemprop_st,ChemProp single-task,-0.005327139484171671,0.043920442461528535,worse
LOG_RPPB,r2,chemprop,ChemProp multi-task,0.11160106013719727,0.05628838238346054,worse
LOG_RPPB,r2,chemeleon,ChemProp + CheMeleon,0.1540853137560728,0.06122145888411355,worse
LOG_RPPB,r2,uni_R_rf,RF - RDKit,0.25622385785369295,0.048237630238870816,best
LOG_RPPB,r2,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.21181936840499244,0.15229552349834063,equivalent
LOG_RPPB,spearman,lgbm,LightGBM + Morgan,0.4550245942078676,0.04431402403868702,worse
LOG_RPPB,spearman,chemprop_st,ChemProp single-task,0.24351261710105418,0.060784784885417616,worse
LOG_RPPB,spearman,chemprop,ChemProp multi-task,0.45267172231194375,0.03884367871422834,worse
LOG_RPPB,spearman,chemeleon,ChemProp + CheMeleon,0.5105895761733844,0.03103353318967756,equivalent
LOG_RPPB,spearman,uni_R_rf,RF - RDKit,0.5542195212361121,0.04591477067887934,best
LOG_RPPB,spearman,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.5467911571471636,0.12380844814730237,equivalent
LOG_RPPB,mae,lgbm,LightGBM + Morgan,0.5539112351786483,0.02054366947288806,worse
LOG_RPPB,mae,chemprop_st,ChemProp single-task,0.6297052669212406,0.010186769360278503,worse
LOG_RPPB,mae,chemprop,ChemProp multi-task,0.5707279278654915,0.02045924150770656,worse
LOG_RPPB,mae,chemeleon,ChemProp + CheMeleon,0.5533810901820339,0.022758270061266385,worse
LOG_RPPB,mae,uni_R_rf,RF - RDKit,0.513784914799174,0.021942390748918853,best
LOG_RPPB,mae,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,0.5389720101779681,0.05388979855169382,worse
