bin,n,mean_sigma,mean_abs_error,endpoint,method
0,117,0.016782158905235486,0.25797811201025644,LOG_HLM,chemeleon
1,116,0.026430799132106872,0.30977526013103446,LOG_HLM,chemeleon
2,116,0.0329998979597738,0.30086849650517233,LOG_HLM,chemeleon
3,116,0.04007248099278838,0.36775166289655165,LOG_HLM,chemeleon
4,116,0.04707423363426901,0.31857110214655165,LOG_HLM,chemeleon
5,116,0.055054696622378385,0.29299731315172417,LOG_HLM,chemeleon
6,116,0.0654645129954666,0.36591772489310337,LOG_HLM,chemeleon
7,116,0.09963162597087427,0.3808382683396551,LOG_HLM,chemeleon
0,117,0.012564812534851562,0.31333105739350425,LOG_HLM,chemprop
1,116,0.019435952740105414,0.29597581117413796,LOG_HLM,chemprop
2,116,0.024777734673879396,0.34133138035517235,LOG_HLM,chemprop
3,116,0.029843873830782276,0.3269190670189655,LOG_HLM,chemprop
4,116,0.03459346618951975,0.3677941046827586,LOG_HLM,chemprop
5,116,0.04085760301097829,0.34894048630689656,LOG_HLM,chemprop
6,116,0.051180979815898135,0.42805116785689656,LOG_HLM,chemprop
7,116,0.07854147329017508,0.4321038365793104,LOG_HLM,chemprop
0,117,0.016908137925331055,0.346819506365812,LOG_HLM,chemprop_st
1,116,0.02487025068029667,0.29316170127413793,LOG_HLM,chemprop_st
2,116,0.031164869913507157,0.3420012181827586,LOG_HLM,chemprop_st
3,116,0.03713087384672021,0.3419608787603448,LOG_HLM,chemprop_st
4,116,0.04392080778223086,0.320144569288138,LOG_HLM,chemprop_st
5,116,0.05185304849519469,0.38636238618275864,LOG_HLM,chemprop_st
6,116,0.06259939672293874,0.40949970015,LOG_HLM,chemprop_st
7,116,0.09445000929958954,0.39488774003103455,LOG_HLM,chemprop_st
0,117,0.03228892200645299,0.4037794839845201,LOG_HLM,fus_GRMS_early_attfp
1,116,0.04824869893160728,0.3168405253016154,LOG_HLM,fus_GRMS_early_attfp
2,116,0.05823693472851231,0.35997812340839785,LOG_HLM,fus_GRMS_early_attfp
3,116,0.06668807485289581,0.3878525557043802,LOG_HLM,fus_GRMS_early_attfp
4,116,0.07539578208479751,0.36292913865047793,LOG_HLM,fus_GRMS_early_attfp
5,116,0.08574315676745063,0.33870202240223035,LOG_HLM,fus_GRMS_early_attfp
6,116,0.10049018432631222,0.4347073648228557,LOG_HLM,fus_GRMS_early_attfp
7,116,0.14419632246008846,0.4132374459860728,LOG_HLM,fus_GRMS_early_attfp
0,117,0.014526071342533623,0.15448057981464364,LOG_HLM,fus_GRMS_early_lgbm
1,116,0.028371098798178934,0.2772890812425775,LOG_HLM,fus_GRMS_early_lgbm
2,116,0.04084821139059711,0.34514686218406765,LOG_HLM,fus_GRMS_early_lgbm
3,116,0.052832402990078714,0.3261520572285025,LOG_HLM,fus_GRMS_early_lgbm
4,116,0.06309341690492794,0.32595643230106225,LOG_HLM,fus_GRMS_early_lgbm
5,116,0.07569884826834601,0.3663804304331743,LOG_HLM,fus_GRMS_early_lgbm
6,116,0.09428636057786842,0.4067384464411315,LOG_HLM,fus_GRMS_early_lgbm
7,116,0.13027487610039393,0.44733324343639325,LOG_HLM,fus_GRMS_early_lgbm
0,117,0.011843555476130705,0.1525555910620471,LOG_HLM,fus_GRMS_early_rf
1,116,0.026092252861485466,0.29544887300734257,LOG_HLM,fus_GRMS_early_rf
2,116,0.037932533251216496,0.33938483614601644,LOG_HLM,fus_GRMS_early_rf
3,116,0.049573625291094235,0.3089286765111668,LOG_HLM,fus_GRMS_early_rf
4,116,0.059391188950880844,0.3471960061898268,LOG_HLM,fus_GRMS_early_rf
5,116,0.07022771646493496,0.3779473885284109,LOG_HLM,fus_GRMS_early_rf
6,116,0.08671115961200795,0.37411465735120486,LOG_HLM,fus_GRMS_early_rf
7,116,0.11874490210798634,0.4678955202813405,LOG_HLM,fus_GRMS_early_rf
0,117,0.013788118564904793,0.3220209743828711,LOG_HLM,fus_GRMS_late_attfp
1,116,0.02039658040946741,0.3355898128788101,LOG_HLM,fus_GRMS_late_attfp
2,116,0.02507024828843034,0.3127070412073785,LOG_HLM,fus_GRMS_late_attfp
3,116,0.02927251188388517,0.3465926569529596,LOG_HLM,fus_GRMS_late_attfp
4,116,0.03414039014415821,0.33901132319269844,LOG_HLM,fus_GRMS_late_attfp
5,116,0.0396459227429988,0.3591915555144988,LOG_HLM,fus_GRMS_late_attfp
6,116,0.047221395683017815,0.381535332514681,LOG_HLM,fus_GRMS_late_attfp
7,116,0.06284377454705362,0.4123462925419719,LOG_HLM,fus_GRMS_late_attfp
0,117,0.02353859982095399,0.3540203391177907,LOG_HLM,fus_GRMS_late_lgbm
1,116,0.03602018604705945,0.3902766898910639,LOG_HLM,fus_GRMS_late_lgbm
2,116,0.04375528636967227,0.3447592069614798,LOG_HLM,fus_GRMS_late_lgbm
3,116,0.05090328312825981,0.38039439125201185,LOG_HLM,fus_GRMS_late_lgbm
4,116,0.05890941119979666,0.4223211982831742,LOG_HLM,fus_GRMS_late_lgbm
5,116,0.06748648936209314,0.3757795800183009,LOG_HLM,fus_GRMS_late_lgbm
6,116,0.07848016011027072,0.4607636339826713,LOG_HLM,fus_GRMS_late_lgbm
7,116,0.10304264934756828,0.41328518341735854,LOG_HLM,fus_GRMS_late_lgbm
0,117,0.023216533595553132,0.3245530505322116,LOG_HLM,fus_GRMS_late_rf
1,116,0.03540941824555004,0.3649944767668511,LOG_HLM,fus_GRMS_late_rf
2,116,0.04325885119397532,0.361592670696343,LOG_HLM,fus_GRMS_late_rf
3,116,0.04957868518859677,0.4385571959933277,LOG_HLM,fus_GRMS_late_rf
4,116,0.05787751215750164,0.40090097668641456,LOG_HLM,fus_GRMS_late_rf
5,116,0.06635680636217157,0.38768487751578895,LOG_HLM,fus_GRMS_late_rf
6,116,0.07708971760550996,0.4341294429492854,LOG_HLM,fus_GRMS_late_rf
7,116,0.10153610955347289,0.41676013004241286,LOG_HLM,fus_GRMS_late_rf
0,117,0.022758828579203805,0.33468710631212334,LOG_HLM,fus_GRM_early_attfp
1,116,0.032221971404796546,0.38415826014069465,LOG_HLM,fus_GRM_early_attfp
2,116,0.03943959746673715,0.34482353519691766,LOG_HLM,fus_GRM_early_attfp
3,116,0.045795838767860156,0.30918915624234516,LOG_HLM,fus_GRM_early_attfp
4,116,0.05303589749275061,0.29253839177100555,LOG_HLM,fus_GRM_early_attfp
5,116,0.06111385711703813,0.30739199668350775,LOG_HLM,fus_GRM_early_attfp
6,116,0.07275250054961373,0.4268336242436394,LOG_HLM,fus_GRM_early_attfp
7,116,0.10673450439218585,0.43101039842828415,LOG_HLM,fus_GRM_early_attfp
0,117,0.014721242065297586,0.14412272239710291,LOG_HLM,fus_GRM_early_lgbm
1,116,0.029362138017636517,0.2892676909293498,LOG_HLM,fus_GRM_early_lgbm
2,116,0.04162070869331393,0.30251001792595744,LOG_HLM,fus_GRM_early_lgbm
3,116,0.05132853493682685,0.3215744547168819,LOG_HLM,fus_GRM_early_lgbm
4,116,0.0619111110249025,0.3492213328353301,LOG_HLM,fus_GRM_early_lgbm
5,116,0.07631610060944106,0.4014340871561792,LOG_HLM,fus_GRM_early_lgbm
6,116,0.09347458007315051,0.40296739215614563,LOG_HLM,fus_GRM_early_lgbm
7,116,0.13338840426217366,0.4015931847996642,LOG_HLM,fus_GRM_early_lgbm
0,117,0.011730836235227148,0.15515477203375438,LOG_HLM,fus_GRM_early_rf
1,116,0.026715676570372052,0.23814294784283171,LOG_HLM,fus_GRM_early_rf
2,116,0.03869414009320673,0.3538216528764768,LOG_HLM,fus_GRM_early_rf
3,116,0.04870763267205002,0.34696359475345495,LOG_HLM,fus_GRM_early_rf
