endpoint,method,repeat,n_folds,n,sigma,err_unc_corr,ece,miscalibration_area
LOG_HLM,chemeleon,0,5,929,0.10639842988653021,0.1669722386360196,0.22060353996169366,0.22399322282522963
LOG_HLM,chemeleon,1,5,929,0.10548723536680003,0.1601047167995621,0.2210598616331999,0.22420130871280441
LOG_HLM,chemeleon,2,5,929,0.110663384761544,0.1902387477425795,0.21531735869916646,0.21926487550606238
LOG_HLM,chemeleon,3,5,929,0.10647744930379668,0.14951627656922373,0.21595613746800096,0.22057032502015628
LOG_HLM,chemeleon,4,5,929,0.10843165497003811,0.11030934560629516,0.21613856822587146,0.22052330196365963
LOG_HLM,chemprop,0,5,929,0.08584945319848515,0.12336488785215927,0.27125778498988945,0.27379053980397255
LOG_HLM,chemprop,1,5,929,0.08957796179776875,0.21923892774259915,0.26644906121945405,0.2694078868342351
LOG_HLM,chemprop,2,5,929,0.0817794358026431,0.18496319400191522,0.2735056190501018,0.27550447327788347
LOG_HLM,chemprop,3,5,929,0.07536211383029554,0.11590539878446204,0.285719530140641,0.2874502249971822
LOG_HLM,chemprop,4,5,929,0.082047740871326,0.16512039627507416,0.2751391596055308,0.27647354971043453
LOG_HLM,chemprop_st,0,5,929,0.09167626620094083,0.1696704823881682,0.27062288018506564,0.27173601488801014
LOG_HLM,chemprop_st,1,5,929,0.10183859682283043,0.22431014701929905,0.25237552125574864,0.2549220832519341
LOG_HLM,chemprop_st,2,5,929,0.10642404107338362,0.17684411734931985,0.2449636607339361,0.24717898509015532
LOG_HLM,chemprop_st,3,5,929,0.09412882378242904,0.16434721231520627,0.2609003639877755,0.2627634187214736
LOG_HLM,chemprop_st,4,5,929,0.09665121658798552,0.09703998907062009,0.25545266534419964,0.2574823911207714
LOG_HLM,fus_GRMS_early_attfp,0,5,929,0.16683804044176134,0.19178519410335412,0.21547085257797666,0.231135920758919
LOG_HLM,fus_GRMS_early_attfp,1,5,929,0.1664985972774096,0.22317635241427797,0.2208447559147315,0.22751783216397375
LOG_HLM,fus_GRMS_early_attfp,2,5,929,0.15450735749214242,0.08266876010883056,0.22805136838878176,0.24436364906747227
LOG_HLM,fus_GRMS_early_attfp,3,5,929,0.1765416270546207,0.16762543465005397,0.19865007355245404,0.20773932720015667
LOG_HLM,fus_GRMS_early_attfp,4,5,929,0.14042813743877486,-0.009038258377990606,0.2402504998242379,0.24274034664932598
LOG_HLM,fus_GRMS_early_lgbm,0,5,929,0.14316427356137365,0.2587565157499369,0.1890751926894228,0.1904908252505025
LOG_HLM,fus_GRMS_early_lgbm,1,5,929,0.13681761996452346,0.27147205779890354,0.1997608781454166,0.20099571653590453
LOG_HLM,fus_GRMS_early_lgbm,2,5,929,0.14642786659514312,0.2599674886343529,0.18711326476674203,0.18798892794446526
LOG_HLM,fus_GRMS_early_lgbm,3,5,929,0.1545821439406142,0.2902483900386661,0.1747917100501643,0.17603824229592765
LOG_HLM,fus_GRMS_early_lgbm,4,5,929,0.1391511832246943,0.15207605913857178,0.19950044029681085,0.20131093862639285
LOG_HLM,fus_GRMS_early_rf,0,5,929,0.1334658006222506,0.23474148623086366,0.19963204745335908,0.2004444383188679
LOG_HLM,fus_GRMS_early_rf,1,5,929,0.12151217348082084,0.28275562017291883,0.21469131529791308,0.21514876416039513
LOG_HLM,fus_GRMS_early_rf,2,5,929,0.1381665705994722,0.25829949829946053,0.1968539238062012,0.19735751756555295
LOG_HLM,fus_GRMS_early_rf,3,5,929,0.14096988282808548,0.2621359684159791,0.18902584105561007,0.1903801772106196
LOG_HLM,fus_GRMS_early_rf,4,5,929,0.12582154203036366,0.17801731253118866,0.2148223484221321,0.21618226009635036
LOG_HLM,fus_GRMS_late_attfp,0,5,929,0.08517883413676593,0.06731119742826776,0.26584021648239736,0.26763898059434915
LOG_HLM,fus_GRMS_late_attfp,1,5,929,0.0820064237148305,0.1567066900337927,0.26996811942405474,0.271958692440682
LOG_HLM,fus_GRMS_late_attfp,2,5,929,0.08196579455156354,0.09321431656292409,0.2676536480474532,0.2701377836258934
LOG_HLM,fus_GRMS_late_attfp,3,5,929,0.08304902177265708,0.1471077164147916,0.266470766926072,0.2679954648030347
LOG_HLM,fus_GRMS_late_attfp,4,5,929,0.07433885135306754,0.09702621717019781,0.2829522788333487,0.283875265305534
LOG_HLM,fus_GRMS_late_lgbm,0,5,929,0.12755455520182765,0.04888767563167527,0.26501380541496666,0.2676720885201901
LOG_HLM,fus_GRMS_late_lgbm,1,5,929,0.1279082253603907,0.11761322985487162,0.2692385833190193,0.2713592235044368
LOG_HLM,fus_GRMS_late_lgbm,2,5,929,0.13031316253912453,0.05474811174947153,0.26462303539491266,0.26703439910785925
LOG_HLM,fus_GRMS_late_lgbm,3,5,929,0.13029125697423363,0.0540834871887576,0.2638545382145025,0.26728375369855223
LOG_HLM,fus_GRMS_late_lgbm,4,5,929,0.12957047204792538,0.12159541954208242,0.2644865322490421,0.2676764011296458
LOG_HLM,fus_GRMS_late_rf,0,5,929,0.12574334994603098,0.053967006470109005,0.2657450643715889,0.2673857644033195
LOG_HLM,fus_GRMS_late_rf,1,5,929,0.1256526129659938,0.13631932571558794,0.26969793696558814,0.2712421561599315
LOG_HLM,fus_GRMS_late_rf,2,5,929,0.1283464382686449,0.06343197149082147,0.2647311466348034,0.2673018670521855
LOG_HLM,fus_GRMS_late_rf,3,5,929,0.1279075388275459,0.0554299267312425,0.26440455685731656,0.2680316832210621
LOG_HLM,fus_GRMS_late_rf,4,5,929,0.1273006155440324,0.13085197238179794,0.2653564191127606,0.2684225827749709
LOG_HLM,fus_GRM_early_attfp,0,5,929,0.11821642832732841,0.022806366038119974,0.24048308744472885,0.24617840357062343
LOG_HLM,fus_GRM_early_attfp,1,5,929,0.12244564720738958,0.10708628396001295,0.2303878189673286,0.23539031467567326
LOG_HLM,fus_GRM_early_attfp,2,5,929,0.120239173642678,0.06979579176653271,0.23918148926417174,0.24310625886968934
LOG_HLM,fus_GRM_early_attfp,3,5,929,0.10851301384504974,0.0823655163109171,0.25673474872352525,0.2591424822994914
LOG_HLM,fus_GRM_early_attfp,4,5,929,0.14822316157164384,0.03020109424936512,0.1975974938405333,0.20467898478741592
LOG_HLM,fus_GRM_early_lgbm,0,5,929,0.1506030507958435,0.24767776174943668,0.17848500510330437,0.17964884771810133
LOG_HLM,fus_GRM_early_lgbm,1,5,929,0.13587373080012244,0.2587151524457411,0.19170743056915285,0.19272037609722314
LOG_HLM,fus_GRM_early_lgbm,2,5,929,0.1505923770625862,0.24277225817344272,0.18337887529561844,0.1835450958260333
LOG_HLM,fus_GRM_early_lgbm,3,5,929,0.13749528540572115,0.24732566685044333,0.18777737880665282,0.18899961579939667
LOG_HLM,fus_GRM_early_lgbm,4,5,929,0.13591896793024427,0.16799708937342248,0.1977603288827091,0.19899241721310806
LOG_HLM,fus_GRM_early_rf,0,5,929,0.14105599419711415,0.2556853731346371,0.1902557738203039,0.19073616615731645
LOG_HLM,fus_GRM_early_rf,1,5,929,0.12598430985229028,0.2587409127848819,0.20334697079010533,0.2038827606233829
