endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_Caco_AB,fus_GRMS_early_lgbm,0,0,1616,0.09864217188330004,0.47756280823124825,0.3275610603523651
LOG_Caco_AB,fus_GRMS_early_lgbm,0,1,1616,0.15353638346431675,0.4413532969740843,0.311137217065479
LOG_Caco_AB,fus_GRMS_early_lgbm,0,2,1616,0.1487544842872761,0.47165608106966395,0.3184450971958492
LOG_Caco_AB,fus_GRMS_early_lgbm,0,3,1616,-0.09373306406239768,0.3585369081985726,0.34169190397851695
LOG_Caco_AB,fus_GRMS_early_lgbm,0,4,1616,0.060331230742448505,0.44511567734740487,0.3353591815763031
LOG_Caco_AB,fus_GRMS_early_lgbm,1,0,1616,0.1064731823048034,0.3986561572583559,0.3215772855484296
LOG_Caco_AB,fus_GRMS_early_lgbm,1,1,1616,0.11003637324329774,0.4848997741830135,0.3164892616872431
LOG_Caco_AB,fus_GRMS_early_lgbm,1,2,1616,0.10782786812491829,0.4418333656847934,0.3253688688635149
LOG_Caco_AB,fus_GRMS_early_lgbm,1,3,1616,0.1418587655826795,0.442840384517052,0.32025385778578946
LOG_Caco_AB,fus_GRMS_early_lgbm,1,4,1616,0.10780038161495098,0.4881195110610602,0.3244967589138185
LOG_Caco_AB,fus_GRMS_early_lgbm,2,0,1616,0.1322812812686195,0.4462707829595865,0.3183900495952586
LOG_Caco_AB,fus_GRMS_early_lgbm,2,1,1616,-0.14865132219669275,0.3299461350421002,0.3587836851224527
LOG_Caco_AB,fus_GRMS_early_lgbm,2,2,1616,0.006920931502620298,0.3996818710144263,0.3436958343352704
LOG_Caco_AB,fus_GRMS_early_lgbm,2,3,1616,-0.2644358496978778,0.3433426484725644,0.37445618905585526
LOG_Caco_AB,fus_GRMS_early_lgbm,2,4,1616,0.06282130780168815,0.4309706036824608,0.3276924920951726
LOG_Caco_AB,fus_GRMS_early_lgbm,3,0,1616,0.13863578892276673,0.42662375336796016,0.32049795981415985
LOG_Caco_AB,fus_GRMS_early_lgbm,3,1,1616,0.02016911045711811,0.42694401530155107,0.33960585608393706
LOG_Caco_AB,fus_GRMS_early_lgbm,3,2,1616,0.09184193453587441,0.48101299504457584,0.32109501776352367
LOG_Caco_AB,fus_GRMS_early_lgbm,3,3,1616,-0.011085838209793142,0.4035478330201785,0.34405579462761315
LOG_Caco_AB,fus_GRMS_early_lgbm,3,4,1616,0.11738903359334352,0.4273108144454454,0.32184400102284705
LOG_Caco_AB,fus_GRMS_early_lgbm,4,0,1616,0.16323262340525346,0.45218747089546674,0.3145837838911998
LOG_Caco_AB,fus_GRMS_early_lgbm,4,1,1616,0.003832081232915341,0.36619174832399687,0.34098200497656606
LOG_Caco_AB,fus_GRMS_early_lgbm,4,2,1616,-0.1997209276961005,0.34048217431220995,0.3650927660880997
