endpoint,repeat,fold,fusion,modality,mean_abs_shap
LogD,0,3,early,rdkit,0.07269532133845326
LogD,0,3,early,mol2vec,0.30377211742366117
LogD,0,3,early,gnn,1.2262761176130164
LogD,0,3,early,smiles,0.33091049491524305
LogD,0,4,early,rdkit,0.11232132233109293
LogD,0,4,early,mol2vec,0.3260848866590792
LogD,0,4,early,gnn,1.1482571831964
LogD,0,4,early,smiles,0.6007013431506688
LogD,4,0,early,rdkit,0.03243487710015182
LogD,4,0,early,mol2vec,0.1402744618231917
LogD,4,0,early,gnn,1.0468176079494798
LogD,4,0,early,smiles,0.9647822622050426
LogD,3,0,early,rdkit,0.14254068398134254
LogD,3,0,early,mol2vec,0.43215734291670804
LogD,3,0,early,gnn,0.9614939072869791
LogD,3,0,early,smiles,0.8249281076190697
LogD,0,0,early,rdkit,0.025920559608918616
LogD,0,0,early,mol2vec,0.09193826565953395
LogD,0,0,early,gnn,0.988271240347445
LogD,0,0,early,smiles,1.2340342874340018
LogD,2,2,early,rdkit,0.05220874791253134
LogD,2,2,early,mol2vec,0.21329816804631246
LogD,2,2,early,gnn,1.1822697261911226
LogD,2,2,early,smiles,0.9322641195365539
LogD,2,4,early,rdkit,0.05328429436843897
LogD,2,4,early,mol2vec,0.3338856289694978
LogD,2,4,early,gnn,1.1242615576416162
LogD,2,4,early,smiles,0.5255848634577336
LogD,2,3,early,rdkit,0.09581556441692878
LogD,2,3,early,mol2vec,0.3261938287883304
LogD,2,3,early,gnn,1.268404670862334
LogD,2,3,early,smiles,0.33370701865473357
LogD,0,2,early,rdkit,0.06899199647968046
LogD,0,2,early,mol2vec,0.23081349327712233
LogD,0,2,early,gnn,1.0965489416015322
LogD,0,2,early,smiles,0.546730986106166
LogD,4,2,early,rdkit,0.08358577402477735
LogD,4,2,early,mol2vec,0.24875978910051633
LogD,4,2,early,gnn,1.1840094328942437
LogD,4,2,early,smiles,0.7668423666668867
LogD,1,3,early,rdkit,0.13996618959519302
LogD,1,3,early,mol2vec,0.42742273633273525
LogD,1,3,early,gnn,1.2355803189470846
LogD,1,3,early,smiles,0.29841613211391926
LogD,1,2,early,rdkit,0.07746941522408339
LogD,1,2,early,mol2vec,0.29495586966523935
LogD,1,2,early,gnn,1.0447850182970995
LogD,1,2,early,smiles,0.701974287597612
LogD,4,1,early,rdkit,0.16864354498943832
LogD,4,1,early,mol2vec,0.44305308851094927
LogD,4,1,early,gnn,1.1493437067305092
LogD,4,1,early,smiles,0.9790511888566416
LogD,1,1,early,rdkit,0.09765709781160858
LogD,1,1,early,mol2vec,0.2828861474372262
LogD,1,1,early,gnn,1.2435949686085204
LogD,1,1,early,smiles,0.3908607928030716
