endpoint,metric,method,label,mean,sd,tukey_group
LogD,r2,lgbm,LightGBM + Morgan,0.510499797702877,0.020619609445874442,worse
LogD,r2,chemprop_st,ChemProp single-task,0.7002644275820562,0.02630552653623512,best
LogD,r2,chemprop,ChemProp multi-task,0.6670142662467744,0.033026204543507874,worse
LogD,r2,chemeleon,ChemProp + CheMeleon,0.6714830270352645,0.019493898855909766,worse
LogD,r2,uni_R_rf,RF - RDKit,0.41635184294901184,0.017419029232414597,worse
LogD,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.6034685980061969,0.01942527110865376,worse
LogD,spearman,lgbm,LightGBM + Morgan,0.713274942372185,0.017342179336731368,worse
LogD,spearman,chemprop_st,ChemProp single-task,0.8546428113397575,0.012711791733096974,best
LogD,spearman,chemprop,ChemProp multi-task,0.8285362544953171,0.013686299521408466,worse
LogD,spearman,chemeleon,ChemProp + CheMeleon,0.8434009201282043,0.009389567039912877,worse
LogD,spearman,uni_R_rf,RF - RDKit,0.6373255207346848,0.01143386215808362,worse
LogD,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.781574128709493,0.011969514521874058,worse
LogD,mae,lgbm,LightGBM + Morgan,0.5449953792752843,0.012358659535339824,worse
LogD,mae,chemprop_st,ChemProp single-task,0.4083448371672179,0.01968290218904682,best
LogD,mae,chemprop,ChemProp multi-task,0.4392227605710559,0.019931140908329058,worse
LogD,mae,chemeleon,ChemProp + CheMeleon,0.42654351524908773,0.01762070120018986,worse
LogD,mae,uni_R_rf,RF - RDKit,0.5965813453744493,0.010292849542994515,worse
LogD,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.47896661238550214,0.01259334438070212,worse
LogS,r2,lgbm,LightGBM + Morgan,0.3349890174831516,0.0360306524341514,worse
LogS,r2,chemprop_st,ChemProp single-task,0.4466413294558568,0.03791698354007244,equivalent
LogS,r2,chemprop,ChemProp multi-task,0.45376659939060077,0.02507252961329939,equivalent
LogS,r2,chemeleon,ChemProp + CheMeleon,0.4737004326337459,0.02926815473989934,best
LogS,r2,uni_R_rf,RF - RDKit,0.19250707217750002,0.026946840374328006,worse
LogS,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.2923926836999938,0.04354944566515915,worse
LogS,spearman,lgbm,LightGBM + Morgan,0.4775049648501317,0.021634476376934955,worse
LogS,spearman,chemprop_st,ChemProp single-task,0.5540242499899556,0.01469917270890604,worse
LogS,spearman,chemprop,ChemProp multi-task,0.5732450247756895,0.012872498236427542,best
LogS,spearman,chemeleon,ChemProp + CheMeleon,0.5624793793012876,0.01818199411938662,equivalent
LogS,spearman,uni_R_rf,RF - RDKit,0.45298283508876475,0.012829245515501289,worse
LogS,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.5040171482683224,0.019416149579473952,worse
LogS,mae,lgbm,LightGBM + Morgan,0.4540398126998069,0.015489377583888773,worse
LogS,mae,chemprop_st,ChemProp single-task,0.39346974579856997,0.018480348548887183,worse
LogS,mae,chemprop,ChemProp multi-task,0.4021794004484835,0.013315785058298906,worse
LogS,mae,chemeleon,ChemProp + CheMeleon,0.3577479245851441,0.016633608030587336,best
LogS,mae,uni_R_rf,RF - RDKit,0.5261010258299561,0.009295056798667966,worse
LogS,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.47624832152982144,0.022318260031213625,worse
LOG_HLM,r2,lgbm,LightGBM + Morgan,0.1385418516622823,0.044659947199991536,worse
LOG_HLM,r2,chemprop_st,ChemProp single-task,0.08743368235567527,0.08758975022622496,worse
LOG_HLM,r2,chemprop,ChemProp multi-task,0.11786551342427981,0.10367100027594137,worse
LOG_HLM,r2,chemeleon,ChemProp + CheMeleon,0.22080436587349236,0.07145903472634281,equivalent
LOG_HLM,r2,uni_R_rf,RF - RDKit,0.23909905143952462,0.03014101204048153,equivalent
LOG_HLM,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.26145574093180246,0.0471214331907061,best
LOG_HLM,spearman,lgbm,LightGBM + Morgan,0.5312399974848454,0.020318342582825805,worse
LOG_HLM,spearman,chemprop_st,ChemProp single-task,0.49725968957171923,0.03999173129245908,worse
LOG_HLM,spearman,chemprop,ChemProp multi-task,0.5062373354109159,0.03589634196243162,worse
LOG_HLM,spearman,chemeleon,ChemProp + CheMeleon,0.582577308727372,0.022674184742751943,best
LOG_HLM,spearman,uni_R_rf,RF - RDKit,0.5246268854712668,0.022825113596046723,worse
LOG_HLM,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.5684872045003208,0.021732456198206327,equivalent
LOG_HLM,mae,lgbm,LightGBM + Morgan,0.33197048394005046,0.008584863401875791,worse
LOG_HLM,mae,chemprop_st,ChemProp single-task,0.34745914422068863,0.01663987041439342,worse
LOG_HLM,mae,chemprop,ChemProp multi-task,0.33817364367619296,0.02037931906640589,worse
LOG_HLM,mae,chemeleon,ChemProp + CheMeleon,0.31446332783738723,0.014294614490123812,equivalent
LOG_HLM,mae,uni_R_rf,RF - RDKit,0.3174402177590859,0.007299170126701018,equivalent
LOG_HLM,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.3069853365374983,0.010675091659881905,best
LOG_MLM,r2,lgbm,LightGBM + Morgan,0.0842140986222117,0.06382674166750392,worse
LOG_MLM,r2,chemprop_st,ChemProp single-task,-0.0068425684505126596,0.11556113621714766,worse
LOG_MLM,r2,chemprop,ChemProp multi-task,0.03250002911932922,0.06756336154506185,worse
LOG_MLM,r2,chemeleon,ChemProp + CheMeleon,0.1352859424726506,0.1407800441034127,worse
LOG_MLM,r2,uni_R_rf,RF - RDKit,0.2195099728135684,0.04298173571819122,best
LOG_MLM,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.16870124824844235,0.03544911017662828,equivalent
LOG_MLM,spearman,lgbm,LightGBM + Morgan,0.44072924931813895,0.03477685220350703,worse
LOG_MLM,spearman,chemprop_st,ChemProp single-task,0.4097864092241275,0.04649230352595588,worse
LOG_MLM,spearman,chemprop,ChemProp multi-task,0.4141736768893373,0.03224844059478645,worse
LOG_MLM,spearman,chemeleon,ChemProp + CheMeleon,0.48184962008928744,0.037004220315433385,best
LOG_MLM,spearman,uni_R_rf,RF - RDKit,0.4639316973705381,0.029758239239440095,equivalent
LOG_MLM,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.4346464576983559,0.024539979144680975,worse
LOG_MLM,mae,lgbm,LightGBM + Morgan,0.40963462209486273,0.013746036474502427,worse
LOG_MLM,mae,chemprop_st,ChemProp single-task,0.43276029418963874,0.024799481569093826,worse
LOG_MLM,mae,chemprop,ChemProp multi-task,0.4263666628038134,0.015111369480765087,worse
LOG_MLM,mae,chemeleon,ChemProp + CheMeleon,0.39937184532545766,0.029646906061570347,worse
LOG_MLM,mae,uni_R_rf,RF - RDKit,0.3752648352502623,0.01051146428372883,best
LOG_MLM,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.39173523897235746,0.008592794342800136,worse
LOG_Caco_AB,r2,lgbm,LightGBM + Morgan,-0.013895155264144731,0.12922324179509787,worse
LOG_Caco_AB,r2,chemprop_st,ChemProp single-task,-0.3066088201714997,0.2642559035949143,worse
LOG_Caco_AB,r2,chemprop,ChemProp multi-task,-0.04575027397392043,0.17894878006343803,worse
LOG_Caco_AB,r2,chemeleon,ChemProp + CheMeleon,0.1595872069760552,0.19093585011303826,equivalent
LOG_Caco_AB,r2,uni_R_rf,RF - RDKit,0.1364024625217278,0.03044549066270413,worse
LOG_Caco_AB,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.2920634422669997,0.06464903808956009,best
LOG_Caco_AB,spearman,lgbm,LightGBM + Morgan,0.46906224335597346,0.043243741641437544,worse
LOG_Caco_AB,spearman,chemprop_st,ChemProp single-task,0.32745770090900533,0.0951689913239731,worse
LOG_Caco_AB,spearman,chemprop,ChemProp multi-task,0.5005281334662183,0.05949687038176069,worse
LOG_Caco_AB,spearman,chemeleon,ChemProp + CheMeleon,0.5642090507455362,0.05216138198031092,equivalent
LOG_Caco_AB,spearman,uni_R_rf,RF - RDKit,0.43656353233000944,0.025704797779398023,worse
LOG_Caco_AB,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.5892459170062373,0.043056299458516,best
LOG_Caco_AB,mae,lgbm,LightGBM + Morgan,0.3396421786177192,0.022104953289651334,worse
LOG_Caco_AB,mae,chemprop_st,ChemProp single-task,0.37817771854070437,0.03488881535763779,worse
LOG_Caco_AB,mae,chemprop,ChemProp multi-task,0.34148142146130184,0.028950800936801482,worse
LOG_Caco_AB,mae,chemeleon,ChemProp + CheMeleon,0.3047489718135691,0.03321655404560665,equivalent
LOG_Caco_AB,mae,uni_R_rf,RF - RDKit,0.32014266145419884,0.005189647092352111,worse
LOG_Caco_AB,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.2844590097797343,0.013501553248003369,best
LOG_Caco_Efflux,r2,lgbm,LightGBM + Morgan,-0.134835866929866,0.09578898397069915,worse
LOG_Caco_Efflux,r2,chemprop_st,ChemProp single-task,-0.10345489021435662,0.08809817108078236,worse
