bin,n,mean_sigma,mean_abs_error,endpoint,method
0,202,0.01711084417041744,0.2414618187000772,LOG_Caco_AB,chemeleon
1,202,0.026311269423005285,0.2927469975988111,LOG_Caco_AB,chemeleon
2,202,0.032984568662185916,0.28896513945771907,LOG_Caco_AB,chemeleon
3,202,0.038791096213435426,0.2916614890076463,LOG_Caco_AB,chemeleon
4,202,0.04608766220253832,0.3128251036480599,LOG_Caco_AB,chemeleon
5,202,0.05606335709090674,0.2975029069497502,LOG_Caco_AB,chemeleon
6,202,0.07426512150544454,0.3198744338638741,LOG_Caco_AB,chemeleon
7,202,0.10996409957668592,0.25897663297294526,LOG_Caco_AB,chemeleon
0,202,0.018763340589157913,0.3181896988457291,LOG_Caco_AB,chemprop
1,202,0.027735975301168145,0.3037923541799715,LOG_Caco_AB,chemprop
2,202,0.03322529232158496,0.33264831904630815,LOG_Caco_AB,chemprop
3,202,0.03864971428372633,0.3560047133418106,LOG_Caco_AB,chemprop
4,202,0.04398821958190931,0.33533262157279575,LOG_Caco_AB,chemprop
5,202,0.04981577495227672,0.34014109877970206,LOG_Caco_AB,chemprop
6,202,0.05873526287647518,0.3189206507503526,LOG_Caco_AB,chemprop
7,202,0.08217234372936351,0.33603163582327333,LOG_Caco_AB,chemprop
0,202,0.01802239711825321,0.3397327884832745,LOG_Caco_AB,chemprop_st
1,202,0.025579933733132477,0.3752035351845877,LOG_Caco_AB,chemprop_st
2,202,0.031661882303352436,0.33499494509065586,LOG_Caco_AB,chemprop_st
3,202,0.037534963480079744,0.34541035131535025,LOG_Caco_AB,chemprop_st
4,202,0.04312526797378336,0.37851915970776523,LOG_Caco_AB,chemprop_st
5,202,0.04938090694975858,0.3786057130596382,LOG_Caco_AB,chemprop_st
6,202,0.05752960138348215,0.3841919670612096,LOG_Caco_AB,chemprop_st
7,202,0.07827667596253418,0.4083939402699747,LOG_Caco_AB,chemprop_st
0,202,0.029092283401958952,0.23726046139266052,LOG_Caco_AB,fus_GRMS_early_attfp
1,202,0.04299795890596196,0.29133655559918764,LOG_Caco_AB,fus_GRMS_early_attfp
2,202,0.05303299657833722,0.3153495964046683,LOG_Caco_AB,fus_GRMS_early_attfp
3,202,0.06269145398031743,0.3230024683640975,LOG_Caco_AB,fus_GRMS_early_attfp
4,202,0.07296003403828616,0.33277670136718895,LOG_Caco_AB,fus_GRMS_early_attfp
5,202,0.08730788334230345,0.2904838240694199,LOG_Caco_AB,fus_GRMS_early_attfp
6,202,0.108329683385351,0.29298083825716215,LOG_Caco_AB,fus_GRMS_early_attfp
7,202,0.2287984055604753,0.31469249908965186,LOG_Caco_AB,fus_GRMS_early_attfp
0,202,0.018287513139846296,0.20686002416796598,LOG_Caco_AB,fus_GRMS_early_lgbm
1,202,0.029293115506692287,0.23817457938074565,LOG_Caco_AB,fus_GRMS_early_lgbm
2,202,0.03818498654794275,0.2594299121223301,LOG_Caco_AB,fus_GRMS_early_lgbm
3,202,0.04839394160069526,0.26699098109198954,LOG_Caco_AB,fus_GRMS_early_lgbm
4,202,0.059196213826732874,0.28897319992988213,LOG_Caco_AB,fus_GRMS_early_lgbm
5,202,0.07154952859877546,0.29893443749541093,LOG_Caco_AB,fus_GRMS_early_lgbm
6,202,0.08721152858158229,0.31973127541126073,LOG_Caco_AB,fus_GRMS_early_lgbm
7,202,0.11629059690039203,0.292537208402163,LOG_Caco_AB,fus_GRMS_early_lgbm
0,202,0.020099347988383438,0.2094743714136715,LOG_Caco_AB,fus_GRMS_early_rf
1,202,0.03176548165403249,0.24123729493273458,LOG_Caco_AB,fus_GRMS_early_rf
2,202,0.041043513551253574,0.2690257609854024,LOG_Caco_AB,fus_GRMS_early_rf
3,202,0.051232379661396286,0.2657279984500964,LOG_Caco_AB,fus_GRMS_early_rf
4,202,0.06199630957184198,0.3032573506676596,LOG_Caco_AB,fus_GRMS_early_rf
5,202,0.07425995891342821,0.3098024269870329,LOG_Caco_AB,fus_GRMS_early_rf
6,202,0.09046786592989337,0.31433894936721,LOG_Caco_AB,fus_GRMS_early_rf
7,202,0.12147130276966009,0.29733560928245073,LOG_Caco_AB,fus_GRMS_early_rf
0,202,0.014597672317572858,0.2856801071396697,LOG_Caco_AB,fus_GRMS_late_attfp
1,202,0.021155771574325744,0.2602601440686695,LOG_Caco_AB,fus_GRMS_late_attfp
2,202,0.025755364338912245,0.2656707998520331,LOG_Caco_AB,fus_GRMS_late_attfp
3,202,0.030210434662079514,0.2689356058048525,LOG_Caco_AB,fus_GRMS_late_attfp
4,202,0.034727783716474815,0.27963160695388667,LOG_Caco_AB,fus_GRMS_late_attfp
5,202,0.03946143509712363,0.26490222504927524,LOG_Caco_AB,fus_GRMS_late_attfp
6,202,0.0461554136070413,0.2904882871743324,LOG_Caco_AB,fus_GRMS_late_attfp
7,202,0.06912469862688875,0.27434632206529497,LOG_Caco_AB,fus_GRMS_late_attfp
0,202,0.018592318056794725,0.2636659645505132,LOG_Caco_AB,fus_GRMS_late_lgbm
1,202,0.02689245839677327,0.2748711519658678,LOG_Caco_AB,fus_GRMS_late_lgbm
2,202,0.03287620492410606,0.2748552267784884,LOG_Caco_AB,fus_GRMS_late_lgbm
3,202,0.03818403622588201,0.32053986425726855,LOG_Caco_AB,fus_GRMS_late_lgbm
4,202,0.04317522988842851,0.2859259951479552,LOG_Caco_AB,fus_GRMS_late_lgbm
5,202,0.04862676715714639,0.2980267458424661,LOG_Caco_AB,fus_GRMS_late_lgbm
6,202,0.05612296516879896,0.32139633426783254,LOG_Caco_AB,fus_GRMS_late_lgbm
7,202,0.07024896489536477,0.3570560057063276,LOG_Caco_AB,fus_GRMS_late_lgbm
0,202,0.01772736770145774,0.26700985572840463,LOG_Caco_AB,fus_GRMS_late_rf
1,202,0.026495123104287168,0.269841807976002,LOG_Caco_AB,fus_GRMS_late_rf
2,202,0.0318916725644144,0.2852269231753461,LOG_Caco_AB,fus_GRMS_late_rf
3,202,0.03691003933913966,0.2967999323679006,LOG_Caco_AB,fus_GRMS_late_rf
4,202,0.04200179191572597,0.2821639256643586,LOG_Caco_AB,fus_GRMS_late_rf
5,202,0.04770089887888791,0.30059778303750156,LOG_Caco_AB,fus_GRMS_late_rf
6,202,0.054760253816765754,0.3227813316126406,LOG_Caco_AB,fus_GRMS_late_rf
7,202,0.07014018157231189,0.33542755931205953,LOG_Caco_AB,fus_GRMS_late_rf
0,202,0.01897512727059226,0.24491116858123094,LOG_Caco_AB,fus_GRM_early_attfp
1,202,0.027623135755108493,0.2696171721016273,LOG_Caco_AB,fus_GRM_early_attfp
2,202,0.03322274069967938,0.27697328112932146,LOG_Caco_AB,fus_GRM_early_attfp
3,202,0.038983909383140766,0.33207721742241086,LOG_Caco_AB,fus_GRM_early_attfp
4,202,0.045174321714162226,0.32825374646538436,LOG_Caco_AB,fus_GRM_early_attfp
5,202,0.052137880338533026,0.31618758931905416,LOG_Caco_AB,fus_GRM_early_attfp
6,202,0.061232966146974876,0.2878569341979704,LOG_Caco_AB,fus_GRM_early_attfp
7,202,0.12368962503726405,0.356246176654525,LOG_Caco_AB,fus_GRM_early_attfp
0,203,0.016102873531674413,0.19657870537137687,LOG_Caco_AB,fus_GRM_early_lgbm
1,201,0.024782667211839072,0.2302662298607235,LOG_Caco_AB,fus_GRM_early_lgbm
2,202,0.031459423054595995,0.24529240644025582,LOG_Caco_AB,fus_GRM_early_lgbm
3,202,0.037647334664540975,0.2722059391885384,LOG_Caco_AB,fus_GRM_early_lgbm
4,202,0.04407959670973386,0.264476037866022,LOG_Caco_AB,fus_GRM_early_lgbm
5,202,0.052402403438707244,0.2882975443071827,LOG_Caco_AB,fus_GRM_early_lgbm
6,202,0.06280449044203375,0.2833696975228446,LOG_Caco_AB,fus_GRM_early_lgbm
7,202,0.08653223526486313,0.310283162888047,LOG_Caco_AB,fus_GRM_early_lgbm
0,202,0.016408698955120538,0.20289695268356098,LOG_Caco_AB,fus_GRM_early_rf
1,202,0.02519035641274386,0.23083859946851204,LOG_Caco_AB,fus_GRM_early_rf
2,202,0.03155309614479264,0.22138504837121867,LOG_Caco_AB,fus_GRM_early_rf
3,202,0.03700107013853454,0.2999463387667432,LOG_Caco_AB,fus_GRM_early_rf
4,202,0.042737180149651555,0.28679822845604785,LOG_Caco_AB,fus_GRM_early_rf
5,202,0.050513060052609506,0.2677711980744494,LOG_Caco_AB,fus_GRM_early_rf
6,202,0.06079017647104463,0.2881650204297736,LOG_Caco_AB,fus_GRM_early_rf
7,202,0.0846417376909291,0.30979616031014146,LOG_Caco_AB,fus_GRM_early_rf
