left,right,n_endpoints,mean_diff,median_diff,right_wins,p_value,p_holm,significant,left_label,right_label,metric
fus_GR_early_lgbm,fus_GRM_early_lgbm,9,0.004128157518028425,0.003378013566995297,7,0.09765625,1.0,False,LGBM | Early | GNN + RDKit,LGBM | Early | GNN + RDKit + Mol2Vec,spearman
fus_GR_early_rf,fus_GRM_early_rf,9,0.00019947421240376937,0.0007215048315398209,7,0.359375,1.0,False,RF | Early | GNN + RDKit,RF | Early | GNN + RDKit + Mol2Vec,spearman
fus_GR_early_attfp,fus_GRM_early_attfp,9,-0.01439027746512399,-0.013657908333565838,2,0.0390625,0.859375,False,AttentiveFP | Early | GNN + RDKit,AttentiveFP | Early | GNN + RDKit + Mol2Vec,spearman
fus_GR_late_lgbm,fus_GRM_late_lgbm,9,-0.018737572126065187,-0.02347566184348404,3,0.25,1.0,False,LGBM | Late | GNN + RDKit,LGBM | Late | GNN + RDKit + Mol2Vec,spearman
fus_GR_late_rf,fus_GRM_late_rf,9,-0.03118425988336814,-0.030614680394973504,2,0.07421875,1.0,False,RF | Late | GNN + RDKit,RF | Late | GNN + RDKit + Mol2Vec,spearman
fus_GR_late_attfp,fus_GRM_late_attfp,9,-0.00381574712074693,-0.004441475400849271,3,0.359375,1.0,False,AttentiveFP | Late | GNN + RDKit,AttentiveFP | Late | GNN + RDKit + Mol2Vec,spearman
fus_GR_early_lgbm,fus_GRS_early_lgbm,9,-0.009248673471525366,-0.005436894635026057,4,0.42578125,1.0,False,LGBM | Early | GNN + RDKit,LGBM | Early | GNN + RDKit + SMILES,spearman
fus_GR_early_rf,fus_GRS_early_rf,9,-0.009239064472312701,-0.008739761798199353,3,0.203125,1.0,False,RF | Early | GNN + RDKit,RF | Early | GNN + RDKit + SMILES,spearman
fus_GR_early_attfp,fus_GRS_early_attfp,9,-0.09455691710052896,-0.10676263203043035,1,0.0078125,0.1875,False,AttentiveFP | Early | GNN + RDKit,AttentiveFP | Early | GNN + RDKit + SMILES,spearman
fus_GR_late_lgbm,fus_GRS_late_lgbm,9,0.007457411345734404,0.010523847845546441,6,0.203125,1.0,False,LGBM | Late | GNN + RDKit,LGBM | Late | GNN + RDKit + SMILES,spearman
fus_GR_late_rf,fus_GRS_late_rf,9,0.005560803677798308,-0.00034618961602073117,4,0.49609375,1.0,False,RF | Late | GNN + RDKit,RF | Late | GNN + RDKit + SMILES,spearman
fus_GR_late_attfp,fus_GRS_late_attfp,9,-0.0071261607865439214,-0.012657204890966556,4,0.30078125,1.0,False,AttentiveFP | Late | GNN + RDKit,AttentiveFP | Late | GNN + RDKit + SMILES,spearman
fus_GRM_early_lgbm,fus_GRMS_early_lgbm,9,-0.012361937291919842,-0.0064045275718402905,3,0.07421875,1.0,False,LGBM | Early | GNN + RDKit + Mol2Vec,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRM_early_rf,fus_GRMS_early_rf,9,-0.00977168148978936,0.0015910669432956936,5,0.42578125,1.0,False,RF | Early | GNN + RDKit + Mol2Vec,RF | Early | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRM_early_attfp,fus_GRMS_early_attfp,9,-0.07567015792230586,-0.08234141302984554,1,0.0078125,0.1875,False,AttentiveFP | Early | GNN + RDKit + Mol2Vec,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRM_late_lgbm,fus_GRMS_late_lgbm,9,-0.0025367414141995418,-0.004422596194425976,4,1.0,1.0,False,LGBM | Late | GNN + RDKit + Mol2Vec,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRM_late_rf,fus_GRMS_late_rf,9,0.007711422143540005,0.0006933381889436818,7,0.203125,1.0,False,RF | Late | GNN + RDKit + Mol2Vec,RF | Late | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRM_late_attfp,fus_GRMS_late_attfp,9,-0.0013279478002586208,-0.004457879461171099,4,0.65234375,1.0,False,AttentiveFP | Late | GNN + RDKit + Mol2Vec,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRS_early_lgbm,fus_GRMS_early_lgbm,9,0.0010148936976339489,0.0007345269618521666,7,0.42578125,1.0,False,LGBM | Early | GNN + RDKit + SMILES,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRS_early_rf,fus_GRMS_early_rf,9,-0.00033314280507288724,-6.270397025676111e-05,4,0.91015625,1.0,False,RF | Early | GNN + RDKit + SMILES,RF | Early | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRS_early_attfp,fus_GRMS_early_attfp,9,0.004496481713099101,0.002231353396140001,5,0.734375,1.0,False,AttentiveFP | Early | GNN + RDKit + SMILES,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRS_late_lgbm,fus_GRMS_late_lgbm,9,-0.028731724885999135,-0.02582256247613257,3,0.09765625,1.0,False,LGBM | Late | GNN + RDKit + SMILES,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRS_late_rf,fus_GRMS_late_rf,9,-0.029033641417626446,-0.028125809299000215,4,0.203125,1.0,False,RF | Late | GNN + RDKit + SMILES,RF | Late | GNN + RDKit + Mol2Vec + SMILES,spearman
fus_GRS_late_attfp,fus_GRMS_late_attfp,9,0.0019824658655383707,-0.0008079544336802025,4,0.91015625,1.0,False,AttentiveFP | Late | GNN + RDKit + SMILES,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,spearman
