left,right,n_endpoints,mean_diff,median_diff,right_wins,p_value,p_holm,significant,left_label,right_label,metric
fus_GR_early_lgbm,fus_GR_early_rf,9,0.003981621452395771,0.009039306624513951,5,0.734375,1.0,False,LGBM | Early | GNN + RDKit,RF | Early | GNN + RDKit,r2
fus_GR_late_lgbm,fus_GR_late_rf,9,0.014960155789777715,0.010699604955247938,8,0.0078125,0.140625,False,LGBM | Late | GNN + RDKit,RF | Late | GNN + RDKit,r2
fus_GRM_early_lgbm,fus_GRM_early_rf,9,-0.010438055738511512,-0.0019425128173253814,3,0.49609375,1.0,False,LGBM | Early | GNN + RDKit + Mol2Vec,RF | Early | GNN + RDKit + Mol2Vec,r2
fus_GRM_late_lgbm,fus_GRM_late_rf,9,-0.007381182502095133,0.0036822787382040922,5,0.734375,1.0,False,LGBM | Late | GNN + RDKit + Mol2Vec,RF | Late | GNN + RDKit + Mol2Vec,r2
fus_GRS_early_lgbm,fus_GRS_early_rf,9,-0.008982666734555375,0.003676658275468092,5,0.91015625,1.0,False,LGBM | Early | GNN + RDKit + SMILES,RF | Early | GNN + RDKit + SMILES,r2
fus_GRS_late_lgbm,fus_GRS_late_rf,9,0.01120198927010189,0.005357112349525878,7,0.203125,1.0,False,LGBM | Late | GNN + RDKit + SMILES,RF | Late | GNN + RDKit + SMILES,r2
fus_GRMS_early_lgbm,fus_GRMS_early_rf,9,-0.006255339908271714,0.009117091269542854,5,1.0,1.0,False,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,RF | Early | GNN + RDKit + Mol2Vec + SMILES,r2
fus_GRMS_late_lgbm,fus_GRMS_late_rf,9,0.006180828255902648,0.01261059149913979,6,0.42578125,1.0,False,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,RF | Late | GNN + RDKit + Mol2Vec + SMILES,r2
fus_GR_early_lgbm,fus_GR_early_attfp,9,-0.09930141424034895,-0.12400458773190706,3,0.0546875,0.4375,False,LGBM | Early | GNN + RDKit,AttentiveFP | Early | GNN + RDKit,r2
fus_GR_late_lgbm,fus_GR_late_attfp,9,0.10616452929033096,0.10175512138906298,9,0.00390625,0.09375,False,LGBM | Late | GNN + RDKit,AttentiveFP | Late | GNN + RDKit,r2
fus_GRM_early_lgbm,fus_GRM_early_attfp,9,-0.1354773782311212,-0.14655340684852186,1,0.0078125,0.140625,False,LGBM | Early | GNN + RDKit + Mol2Vec,AttentiveFP | Early | GNN + RDKit + Mol2Vec,r2
fus_GRM_late_lgbm,fus_GRM_late_attfp,9,0.10491098428001758,0.14093114594189393,9,0.00390625,0.09375,False,LGBM | Late | GNN + RDKit + Mol2Vec,AttentiveFP | Late | GNN + RDKit + Mol2Vec,r2
fus_GRS_early_lgbm,fus_GRS_early_attfp,9,-0.280765583698886,-0.26979847849850613,0,0.00390625,0.09375,False,LGBM | Early | GNN + RDKit + SMILES,AttentiveFP | Early | GNN + RDKit + SMILES,r2
fus_GRS_late_lgbm,fus_GRS_late_attfp,9,0.08989730426480849,0.031697872592767906,7,0.01953125,0.1953125,False,LGBM | Late | GNN + RDKit + SMILES,AttentiveFP | Late | GNN + RDKit + SMILES,r2
fus_GRMS_early_lgbm,fus_GRMS_early_attfp,9,-0.270422690043316,-0.2590613240108436,0,0.00390625,0.09375,False,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,r2
fus_GRMS_late_lgbm,fus_GRMS_late_attfp,9,0.11054600220189008,0.13288767118376432,8,0.0078125,0.140625,False,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,r2
fus_GR_early_rf,fus_GR_early_attfp,9,-0.10328303569274472,-0.14462076609938146,2,0.01953125,0.1953125,False,RF | Early | GNN + RDKit,AttentiveFP | Early | GNN + RDKit,r2
fus_GR_late_rf,fus_GR_late_attfp,9,0.09120437350055326,0.09558816918524082,9,0.00390625,0.09375,False,RF | Late | GNN + RDKit,AttentiveFP | Late | GNN + RDKit,r2
fus_GRM_early_rf,fus_GRM_early_attfp,9,-0.12503932249260966,-0.1545628391165736,1,0.0078125,0.140625,False,RF | Early | GNN + RDKit + Mol2Vec,AttentiveFP | Early | GNN + RDKit + Mol2Vec,r2
fus_GRM_late_rf,fus_GRM_late_attfp,9,0.11229216678211272,0.13071122108265545,9,0.00390625,0.09375,False,RF | Late | GNN + RDKit + Mol2Vec,AttentiveFP | Late | GNN + RDKit + Mol2Vec,r2
fus_GRS_early_rf,fus_GRS_early_attfp,9,-0.2717829169643305,-0.27347513677397417,1,0.0078125,0.140625,False,RF | Early | GNN + RDKit + SMILES,AttentiveFP | Early | GNN + RDKit + SMILES,r2
fus_GRS_late_rf,fus_GRS_late_attfp,9,0.0786953149947066,0.04153801462720261,8,0.01171875,0.140625,False,RF | Late | GNN + RDKit + SMILES,AttentiveFP | Late | GNN + RDKit + SMILES,r2
fus_GRMS_early_rf,fus_GRMS_early_attfp,9,-0.26416735013504433,-0.26960099951936756,1,0.0078125,0.140625,False,RF | Early | GNN + RDKit + Mol2Vec + SMILES,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,r2
fus_GRMS_late_rf,fus_GRMS_late_attfp,9,0.10436517394598743,0.09970802263918613,8,0.0078125,0.140625,False,RF | Late | GNN + RDKit + Mol2Vec + SMILES,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,r2
