split,method,mean,sd,beats_baseline
butina,chemeleon,0.18498929356037838,0.1755375162651984,0.88
butina,knn,0.10978045083873762,0.13335496869898747,0.84
butina,lgbm,0.15689353225318198,0.14577413060865874,0.94
butina,monroe35,0.20489600720887777,0.16364295948354488,0.94
diverse_25,chemeleon,0.15289875939083303,0.1322409481465873,0.88
diverse_25,knn,0.11354122598068773,0.11856158891243061,0.82
diverse_25,lgbm,0.15361530762521625,0.11254137895924336,0.94
diverse_25,monroe35,0.18850144909180946,0.12616442915654166,0.98
random,chemeleon,0.4161891117107721,0.09161562691437543,1.0
random,knn,0.3789369428178498,0.08844793881204285,1.0
random,lgbm,0.391495725054704,0.09142988273371304,1.0
random,monroe35,0.439211909059627,0.08783096510778206,1.0
scaffold,chemeleon,0.3149307527046923,0.13823672635341241,1.0
scaffold,knn,0.26203950187855274,0.12733489412445062,0.98
scaffold,lgbm,0.28939904438657355,0.133383905701429,1.0
scaffold,monroe35,0.33842975471351594,0.13165616654405515,1.0
time,chemeleon,0.10850510734314917,0.18024587169820572,0.76
time,knn,0.010211695563861901,0.1818787260880402,0.42
time,lgbm,0.08901390650904392,0.16011734888703746,0.76
time,monroe35,0.14140578408974583,0.16578765262291026,0.86
umap,chemeleon,0.09043415916774838,0.20674493619426257,0.68
umap,knn,0.005220830512589305,0.15246329807067815,0.36
umap,lgbm,0.0644790700031529,0.1557388562792113,0.62
umap,monroe35,0.1214686695693337,0.14535073550954047,0.84
