split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
random,mae,t,knn,lgbm,50,-0.012558782236854124,0.0356466748950804,0.36,0.01616551008095361,0.01616551008095361
random,mae,t,knn,chemeleon,50,-0.03725216889292227,0.038911756457812044,0.12,1.5098500772043785e-08,4.5295502316131355e-08
random,mae,t,knn,monroe35,50,-0.06027496624177711,0.03830748233376819,0.0,5.181873212172736e-15,2.590936606086368e-14
random,mae,t,knn,median,50,0.3789369428178499,0.0884479388120429,1.0,2.1626163319752166e-33,1.7300930655801732e-32
random,mae,t,lgbm,chemeleon,50,-0.024693386656068145,0.02605406804411397,0.1,1.9225282208403257e-08,4.5295502316131355e-08
random,mae,t,lgbm,monroe35,50,-0.04771618400492298,0.02312612681267813,0.02,1.8397245668416157e-19,1.1038347401049693e-18
random,mae,t,lgbm,median,50,0.39149572505470404,0.09142988273371302,1.0,2.219074923963205e-33,1.7300930655801732e-32
random,mae,t,chemeleon,monroe35,50,-0.02302279734885484,0.02189003319596283,0.12,1.3998725696900498e-09,5.599490278760199e-09
random,mae,t,chemeleon,median,50,0.4161891117107721,0.0916156269143754,1.0,1.4026453077576396e-34,1.2623807769818755e-33
random,mae,t,monroe35,median,50,0.439211909059627,0.08783096510778207,1.0,1.5358854954021194e-36,1.5358854954021194e-35
random,mae,wilcoxon,knn,lgbm,50,-0.012558782236854124,0.0356466748950804,0.36,0.016637745581261854,0.016637745581261854
random,mae,wilcoxon,knn,chemeleon,50,-0.03725216889292227,0.038911756457812044,0.12,3.8819791825517314e-10,1.5527916730206925e-09
random,mae,wilcoxon,knn,monroe35,50,-0.06027496624177711,0.03830748233376819,0.0,1.7763568394002505e-15,1.7763568394002505e-14
random,mae,wilcoxon,knn,median,50,0.3789369428178499,0.0884479388120429,1.0,1.7763568394002505e-15,1.7763568394002505e-14
random,mae,wilcoxon,lgbm,chemeleon,50,-0.024693386656068145,0.02605406804411397,0.1,2.81308842886574e-09,8.43926528659722e-09
