split,metric,method,mean,sd,n_folds,paired_group
random,mae,knn,0.5002361455293994,0.06365331172694254,50,worse
random,mae,lgbm,0.4876773632925454,0.04647557396950691,50,worse
random,mae,chemeleon,0.46298397663647717,0.043833907967201234,50,worse
random,mae,monroe35,0.4399611792876224,0.04170576977399125,50,best
random,mae,median,0.8791730883472494,0.08900745544825839,50,worse
scaffold,mae,knn,0.6197906090047967,0.08058578870153751,50,worse
scaffold,mae,lgbm,0.5924310664967759,0.07197980486187852,50,worse
scaffold,mae,chemeleon,0.5668993581786572,0.0782648670909255,50,worse
scaffold,mae,monroe35,0.5434003561698334,0.06837672577202156,50,best
scaffold,mae,median,0.8818301108833494,0.11094528744621698,50,worse
butina,mae,knn,0.7859389485781791,0.13940920394554795,50,worse
butina,mae,lgbm,0.7388258671637348,0.11406472559215419,50,worse
butina,mae,chemeleon,0.7107301058565383,0.12951477499107805,50,worse
butina,mae,monroe35,0.690823392208039,0.12782892773718108,50,best
butina,mae,median,0.8957193994169168,0.16553251475273797,50,worse
diverse_25,mae,knn,0.7933030740233964,0.10889824009836611,50,worse
diverse_25,mae,lgbm,0.753228992378868,0.0793222782468957,50,worse
diverse_25,mae,chemeleon,0.7539455406132513,0.09715632877644106,50,worse
diverse_25,mae,monroe35,0.7183428509122747,0.09305443554575006,50,best
diverse_25,mae,median,0.9068443000040842,0.1181028387910147,50,worse
umap,mae,knn,0.8930389886665622,0.1301458051870554,50,worse
umap,mae,lgbm,0.8337807491759984,0.14063988140541758,50,worse
umap,mae,chemeleon,0.807825660011403,0.17343855421343268,50,equivalent
umap,mae,monroe35,0.7767911496098177,0.1222510454379346,50,best
umap,mae,median,0.8982598191791514,0.1713471135321297,50,worse
time,mae,knn,0.9295119297909257,0.1413982342753515,50,worse
time,mae,lgbm,0.8507097188457438,0.12867944729712374,50,worse
time,mae,chemeleon,0.8312185180116384,0.12355735339588526,50,worse
time,mae,monroe35,0.7983178412650419,0.1250987268173751,50,best
time,mae,median,0.9397236253547877,0.14585831822315415,50,worse
random,r2,knn,0.575876299784655,0.10430070410915665,50,worse
random,r2,lgbm,0.6184052526732575,0.08691514669160193,50,worse
random,r2,chemeleon,0.6414541398344576,0.08472797332850819,50,worse
random,r2,monroe35,0.6720180238226124,0.07373552694433091,50,best
random,r2,median,-0.01330382858379081,0.019984123602137614,50,worse
scaffold,r2,knn,0.3565443790148775,0.21134050647747252,50,worse
scaffold,r2,lgbm,0.4412383818372204,0.18927557651573212,50,worse
scaffold,r2,chemeleon,0.46985002100935397,0.1848089517650084,50,worse
scaffold,r2,monroe35,0.513927990137995,0.15889502670340827,50,best
scaffold,r2,median,-0.02860222927312615,0.03755344950846591,50,worse
butina,r2,knn,-0.01711275820662341,0.35996866234181024,50,worse
butina,r2,lgbm,0.15291442672217617,0.21712110883693758,50,worse
