target,split,fold,method,n,mae,r2,spearman,source
220,butina,1,chemeleon,340.0,0.751962636957306,0.24871699711691453,0.5160550570798922,fitted
220,butina,1,knn,340.0,0.8836604471208953,-0.04642026543850131,0.3765154541330954,fitted
220,butina,1,lgbm,340.0,0.8188946309769304,0.12939845416275375,0.38544245715196684,fitted
220,butina,1,median,340.0,1.0314097561367899,-0.37824673763903216,,fitted
220,butina,1,monroe35,340.0,0.7094807340960911,0.36749232637853546,0.597300026994665,fitted
220,butina,1,pub_gnn,,1.3420921564102173,-1.4882519245147705,0.3521505868817453,published
220,butina,1,pub_knn,,0.8836604469628966,-0.0464202656039254,0.3764314703198848,published
220,butina,1,pub_mlp,,0.8353341221809387,0.0754909515380859,0.4609617376721008,published
220,butina,1,pub_rf,,0.8114837961886265,0.1305175209173268,0.4416897048885964,published
220,butina,1,pub_svm,,0.7917564735615228,0.1584279774729721,0.4598051897691221,published
220,butina,1,pub_xgboost,,0.7822127402851015,0.2299181030287957,0.4836686078126564,published
220,butina,2,chemeleon,340.0,1.0069883951057517,-0.2527101686167472,0.3706013223420562,fitted
220,butina,2,knn,340.0,0.9935403214926208,-0.2409969185544787,0.2636707239697604,fitted
220,butina,2,lgbm,340.0,0.9604880965762725,-0.07927946656883988,0.31221912461718315,fitted
220,butina,2,median,340.0,1.0244066016042983,-0.18834949961342606,,fitted
220,butina,2,monroe35,340.0,0.9911196613911135,-0.2562511742999345,0.20783113611205062,fitted
220,butina,2,pub_gnn,,1.12548565864563,-0.4081906080245971,0.2362752004707034,published
220,butina,2,pub_knn,,0.99354032066945,-0.2409969165415313,0.2636803415510665,published
220,butina,2,pub_mlp,,0.982798159122467,-0.1466307640075683,0.3426630989428422,published
220,butina,2,pub_rf,,0.9465679093265196,-0.0754382237329558,0.3473729655430021,published
220,butina,2,pub_svm,,0.9729534590574086,-0.1240901953415893,0.2298627708930701,published
220,butina,2,pub_xgboost,,1.089303840379405,-0.3143749723936149,0.1016841307371169,published
220,butina,3,chemeleon,340.0,0.6392333771056725,0.344087285121902,0.5505536545281585,fitted
220,butina,3,knn,340.0,0.8264859317939097,0.15099396611814264,0.3908880571520177,fitted
220,butina,3,lgbm,340.0,0.7105168972545873,0.2520278171093141,0.49414416498882946,fitted
220,butina,3,median,340.0,0.9011462954114737,-0.0024865017684665425,,fitted
220,butina,3,monroe35,340.0,0.727306068815481,0.23159154895601253,0.4880262568903325,fitted
220,butina,3,pub_gnn,,0.7487516403198242,0.1090821623802185,0.4805088389989457,published
220,butina,3,pub_knn,,0.8264859312353328,0.1509939685318976,0.3908880571520177,published
220,butina,3,pub_mlp,,0.7900791168212891,0.1577458381652832,0.360875520639954,published
220,butina,3,pub_rf,,0.7008372178593616,0.3263100737670578,0.4915010692971038,published
220,butina,3,pub_svm,,0.7235818463109928,0.2744370548196373,0.4905823637486488,published
220,butina,3,pub_xgboost,,0.7113476357488934,0.3032027689162124,0.4318595735359169,published
220,butina,4,chemeleon,340.0,0.5984690420356505,0.468861300291308,0.6252655398601488,fitted
220,butina,4,knn,340.0,0.8387917092494086,-0.2923255659768518,0.3565653345366004,fitted
220,butina,4,lgbm,340.0,0.7506869554575234,0.16140910963263944,0.3278912958300303,fitted
220,butina,4,median,340.0,0.8451685275331787,-0.0009983710615895092,,fitted
220,butina,4,monroe35,340.0,0.6781731723771761,0.35191902314514234,0.494939028602004,fitted
220,butina,4,pub_gnn,,0.820722222328186,0.0592837929725647,0.3486555865693717,published
220,butina,4,pub_knn,,0.838791707769181,-0.2923255634412769,0.3567180939028146,published
220,butina,4,pub_mlp,,0.7810953259468079,0.0870125293731689,0.4042378102482727,published
220,butina,4,pub_rf,,0.6832864936908227,0.3278255517828119,0.4425686122427002,published
220,butina,4,pub_svm,,0.7147101701568234,0.258051107654542,0.3983093702768756,published
220,butina,4,pub_xgboost,,0.7055974901098858,0.240624619006797,0.4239602464728382,published
220,butina,5,chemeleon,339.0,0.6147588162273047,0.05926564975303372,0.4474908552894072,fitted
220,butina,5,knn,339.0,0.768676521774797,-0.513351166102791,0.26577766004479714,fitted
220,butina,5,lgbm,339.0,0.6661706431789316,0.00032406687535402323,0.3060302815884717,fitted
220,butina,5,median,339.0,0.7110944241684322,-0.0039001344081111,,fitted
220,butina,5,monroe35,339.0,0.570454218276954,0.2331799859910707,0.566706753679634,fitted
220,butina,5,pub_gnn,,0.6544133424758911,0.0331511497497558,0.402628416211903,published
220,butina,5,pub_knn,,0.768676521774797,-0.5133511661027912,0.2657734015963697,published
220,butina,5,pub_mlp,,0.6370944976806641,0.0345478057861328,0.4141488940000588,published
220,butina,5,pub_rf,,0.633894621377559,0.1040384252237454,0.3537861117165496,published
220,butina,5,pub_svm,,0.6301753158582803,0.0881502298830598,0.382111160328903,published
220,butina,5,pub_xgboost,,0.6763697329914035,-0.1057014259430273,0.35868209385105,published
230,butina,1,chemeleon,234.0,0.5170808223816963,0.33876773256753046,0.4948142455328406,fitted
230,butina,1,knn,234.0,0.5146716627684661,0.317965491348413,0.47297475469231204,fitted
230,butina,1,lgbm,234.0,0.5244634096887657,0.33291847662126994,0.5079323529970501,fitted
230,butina,1,median,234.0,0.6450649333217003,-0.005901859520162089,,fitted
230,butina,1,monroe35,234.0,0.5098620355731941,0.36862218772765853,0.5283840875814054,fitted
230,butina,1,pub_gnn,,0.56423020362854,0.1800391674041748,0.3854640582125734,published
230,butina,1,pub_knn,,0.5146716619872336,0.3179654933816833,0.472974754692312,published
230,butina,1,pub_mlp,,0.5169287919998169,0.3596444129943847,0.5266738445263114,published
230,butina,1,pub_rf,,0.5187376400419037,0.3720214477346494,0.5369535666792055,published
230,butina,1,pub_svm,,0.5036371710412217,0.4084485562590513,0.5980394961286898,published
230,butina,1,pub_xgboost,,0.52107180600477,0.3254560235606099,0.5149414460434883,published
230,butina,2,chemeleon,233.0,0.8865044544690552,-0.44020033223882393,-0.04229596502867326,fitted
230,butina,2,knn,233.0,0.8488663290443733,-0.25080623321662565,0.1651734626739253,fitted
230,butina,2,lgbm,233.0,0.7910594931605714,-0.12467015189041963,0.11995491818551439,fitted
230,butina,2,median,233.0,0.7940934872845932,-0.09077650140584681,,fitted
230,butina,2,monroe35,233.0,0.7909873563744516,-0.1942659278849166,0.07278215019126515,fitted
230,butina,2,pub_gnn,,0.8461573123931885,-0.3022330999374389,0.1324614546886408,published
230,butina,2,pub_knn,,0.84886633071815,-0.2508062360930974,0.1651734626739253,published
230,butina,2,pub_mlp,,0.8684748411178589,-0.4146791696548462,0.0129263891685979,published
230,butina,2,pub_rf,,0.7607499136298245,-0.0332200843914163,0.2154178414685544,published
230,butina,2,pub_svm,,0.8110404719404142,-0.2339592073080565,-0.004782825657296,published
230,butina,2,pub_xgboost,,0.8682418989845686,-0.4428931972843211,-0.0719321401188941,published
230,butina,3,chemeleon,233.0,0.5628275240507454,0.037876248769317056,0.3484918136859024,fitted
230,butina,3,knn,233.0,0.5782841706869601,-0.2119263196286021,0.35905074584646557,fitted
230,butina,3,lgbm,233.0,0.5880057417366292,-0.02451906862467057,0.2132223120655378,fitted
230,butina,3,median,233.0,0.6261997382786223,-0.017906226558702,,fitted
230,butina,3,monroe35,233.0,0.4952838587939248,0.26016603557381734,0.4483684303295356,fitted
230,butina,3,pub_gnn,,0.5788801908493042,-0.0674186944961547,0.381649151605652,published
230,butina,3,pub_knn,,0.5782841706869601,-0.2119263196286021,0.3608372866563023,published
230,butina,3,pub_mlp,,0.5358806848526001,0.1549938917160034,0.3627816786153777,published
230,butina,3,pub_rf,,0.5606403773823652,0.1416313731225336,0.298233659562632,published
230,butina,3,pub_svm,,0.5406239061513999,0.1569133544516916,0.3560759823440957,published
230,butina,3,pub_xgboost,,0.5578421368623617,0.1065415669251328,0.3439968734819676,published
230,butina,4,chemeleon,233.0,0.60279124435465,0.3671332528610911,0.5313003177611658,fitted
230,butina,4,knn,233.0,0.6407541516010237,0.30854670782807425,0.4641213360941481,fitted
230,butina,4,lgbm,233.0,0.6656161938221857,0.28024391601816934,0.47077204475248946,fitted
230,butina,4,median,233.0,0.839701620456641,-0.00794523209905873,,fitted
230,butina,4,monroe35,233.0,0.5673716434412767,0.4393507531382581,0.6257663357316089,fitted
230,butina,4,pub_gnn,,0.7045652270317078,0.2006081342697143,0.4179761978051193,published
230,butina,4,pub_knn,,0.6407541524539466,0.3085467062164572,0.4641152796573417,published
230,butina,4,pub_mlp,,0.6855239272117615,0.2935162186622619,0.4594622094009264,published
230,butina,4,pub_rf,,0.6462620522066128,0.3858572092995296,0.5755751750791491,published
230,butina,4,pub_svm,,0.6961044693036136,0.2481986980288804,0.4037558774634338,published
230,butina,4,pub_xgboost,,0.6363226609956165,0.3487111381954911,0.4925588539306247,published
230,butina,5,chemeleon,233.0,0.477426034131356,0.3602608833821458,0.5144747833667683,fitted
230,butina,5,knn,233.0,0.4860077958974714,0.32149481470460817,0.6175693471226696,fitted
