method,n_folds,slope,intercept,r_squared,spearman,p_value,gap_at_sim_0.30,gap_at_sim_0.60,n_folds_matched,slope_matched,gap_at_sim_0.40_matched
knn,300,0.9808125011999094,-0.36508853166150135,0.5178730311645758,0.7233667040744897,3.9543109585748895e-49,-0.07084478130152855,0.22339896905844425,200,0.9931005815171365,0.02041439232197123
lgbm,300,0.8470101655192196,-0.2510867438046595,0.45180962103299316,0.6719492438804875,8.630394277746725e-41,0.003016305851106349,0.2571193555068722,200,0.865999915006613,0.07856229743587673
chemeleon,300,0.8782398035376008,-0.24687146327545337,0.3940825660499043,0.6692709918999099,2.780222844436602e-34,0.016600477785826878,0.2800724188471071,200,0.8659053626319927,0.10464733417868793
monroe35,300,0.8527475694464524,-0.2059105689253665,0.4473031229798445,0.6900507783419816,2.937381673954831e-40,0.049913701908569225,0.3057379727425049,200,0.8497688703825858,0.13175227933976985
pub_knn,300,0.98165677137626,-0.36548678413690233,0.5159334250278508,0.7234529272547472,7.205798628283379e-49,-0.07098975272402436,0.22350727868885362,200,0.9931005812904254,0.020414392235444667
pub_svm,300,0.855292445935863,-0.24388940425575786,0.5033219984500484,0.7102865587395415,3.367374295219754e-47,0.012698329525001023,0.2692860633057599,200,0.8644208516610506,0.09305294675539477
pub_rf,300,0.8131414034239752,-0.22793659486118795,0.44797799053532533,0.6921108012311248,2.446672600959987e-40,0.0160058261660046,0.25994824719319715,200,0.8480857578904548,0.08429104738472842
pub_xgboost,300,0.8641046091730618,-0.26632918147460594,0.45699644326988387,0.6938690429893665,2.081642416356921e-41,-0.007097798722687398,0.25213358402923114,200,0.864819258395091,0.07563819429903568
pub_mlp,300,0.8917584276076826,-0.2965904085883557,0.4462994444827041,0.683480483116479,3.853411422756805e-40,-0.02906288030605092,0.23846464797625389,200,0.928912210148595,0.047086924811384046
pub_gnn,300,0.9194747978711827,-0.40558753690485927,0.4464393857561337,0.7045509394548827,3.710407208089473e-40,-0.1297450975435045,0.14609734181785028,200,0.8897634924926903,-0.02917558227341166
