split,method,mean,sd,beats_baseline
butina,chemeleon,0.18498929356037838,0.1755375162651984,0.88
butina,knn,0.10978045083873762,0.13335496869898747,0.84
butina,lgbm,0.15689353225318198,0.14577413060865874,0.94
butina,monroe35,0.20489600720887777,0.16364295948354488,0.94
butina,pub_gnn,0.03907719966220178,0.15663960452446452,0.62
butina,pub_knn,0.10978045063470203,0.1333549685917605,0.84
butina,pub_mlp,0.12316667910861291,0.1501746693455369,0.76
butina,pub_rf,0.16114474765447095,0.10846490980187502,0.94
butina,pub_svm,0.1633495272286193,0.11698808539609559,0.94
butina,pub_xgboost,0.16150159787727186,0.14249073343978774,0.88
diverse_25,chemeleon,0.15289875939083303,0.1322409481465873,0.88
diverse_25,knn,0.11354122598068773,0.11856158891243061,0.82
diverse_25,lgbm,0.15361530762521625,0.11254137895924336,0.94
diverse_25,monroe35,0.18850144909180946,0.12616442915654166,0.98
diverse_25,pub_gnn,0.013507759543497639,0.0854823475773494,0.5
diverse_25,pub_knn,0.11379455178356362,0.12367879062370223,0.84
diverse_25,pub_mlp,0.1254123890124155,0.11464583891857558,0.86
diverse_25,pub_rf,0.15369791343414282,0.09830878502844938,0.98
diverse_25,pub_svm,0.147915942078682,0.10373861727182652,0.94
diverse_25,pub_xgboost,0.13203160736150976,0.10584114984336136,0.92
random,chemeleon,0.4161891117107721,0.09161562691437543,1.0
random,knn,0.3789369428178498,0.08844793881204285,1.0
random,lgbm,0.391495725054704,0.09142988273371304,1.0
random,monroe35,0.439211909059627,0.08783096510778206,1.0
random,pub_gnn,0.2841365870588353,0.08648529981727564,1.0
random,pub_knn,0.37893694274798656,0.08844793892036697,1.0
random,pub_mlp,0.38675306585960895,0.08628038648295251,1.0
random,pub_rf,0.3916796204138812,0.0854599215675221,1.0
random,pub_svm,0.4085462121450806,0.08939181738760325,1.0
random,pub_xgboost,0.3896488218574518,0.09420194647394012,1.0
scaffold,chemeleon,0.3149307527046923,0.13823672635341241,1.0
scaffold,knn,0.26203950187855274,0.12733489412445062,0.98
scaffold,lgbm,0.28939904438657355,0.133383905701429,1.0
scaffold,monroe35,0.33842975471351594,0.13165616654405515,1.0
scaffold,pub_gnn,0.1893423155304136,0.13342777921744328,0.96
scaffold,pub_knn,0.26203950157646366,0.12733489394217448,0.98
scaffold,pub_mlp,0.2699037692304792,0.1278159038484171,0.98
scaffold,pub_rf,0.2950485360643741,0.11662607178409495,1.0
scaffold,pub_svm,0.3040331044820945,0.12637249407971538,1.0
scaffold,pub_xgboost,0.28426610878812075,0.13277619912698876,1.0
time,chemeleon,0.10850510734314917,0.18024587169820572,0.76
time,knn,0.010211695563861901,0.1818787260880402,0.42
time,lgbm,0.08901390650904392,0.16011734888703746,0.76
time,monroe35,0.14140578408974583,0.16578765262291026,0.86
time,pub_gnn,-0.056229524440744576,0.18056071029731757,0.36
time,pub_knn,0.01021169540084384,0.1818787260715251,0.42
time,pub_mlp,0.0674551715183466,0.17420126940097624,0.64
time,pub_rf,0.1110607641518325,0.1391823202190115,0.9
time,pub_svm,0.1069331327917726,0.15331836347883668,0.78
time,pub_xgboost,0.08515222828742659,0.16335236678380394,0.68
umap,chemeleon,0.09043415916774838,0.20674493619426257,0.68
umap,knn,0.005220830512589305,0.15246329807067815,0.36
umap,lgbm,0.0644790700031529,0.1557388562792113,0.62
umap,monroe35,0.1214686695693337,0.14535073550954047,0.84
umap,pub_gnn,-0.02510466393890584,0.21546323483971902,0.44
umap,pub_knn,0.005220830588533447,0.15246329800104608,0.36
umap,pub_mlp,0.03926012340125835,0.18248068103622203,0.6
umap,pub_rf,0.06514566697631324,0.19572206016959842,0.6
umap,pub_svm,0.08322893337765311,0.14175061834317956,0.8
umap,pub_xgboost,0.054352759008054814,0.16562980557733364,0.62
