split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
random,mae,t,knn,lgbm,50,-0.012558782236854124,0.0356466748950804,0.36,0.01616551008095361,0.22631713015706653
random,mae,t,knn,chemeleon,50,-0.03725216889292227,0.038911756457812044,0.12,1.5098500772043785e-08,3.925610200731384e-07
random,mae,t,knn,monroe35,50,-0.06027496624177711,0.03830748233376819,0.0,5.181873212172736e-15,1.6581993103281117e-13
random,mae,t,knn,median,50,0.3789369428178499,0.0884479388120429,1.0,2.1626163319752166e-33,1.0813081659876082e-31
random,mae,t,knn,pub_knn,50,6.986327405478222e-11,1.2621409511212709e-09,0.54,1.0,1.0
random,mae,t,knn,pub_svm,50,-0.029609269327230736,0.03320501955190698,0.18,7.904324680118767e-08,1.8179946542464231e-06
random,mae,t,knn,pub_rf,50,-0.012742677596031418,0.022361599222670156,0.3,0.00019438450517964074,0.003110151692269389
random,mae,t,knn,pub_xgboost,50,-0.010711879039602001,0.03428988473207218,0.34,0.03188530957801424,0.38262371002717627
random,mae,t,knn,pub_mlp,50,-0.007816123041759122,0.03397357869924791,0.5,0.11019347532323291,0.9917412409207625
random,mae,t,knn,pub_gnn,50,0.09480035575901452,0.05245390496723143,0.98,3.2188841396411645e-17,1.1909871316672309e-15
random,mae,t,lgbm,chemeleon,50,-0.024693386656068145,0.02605406804411397,0.1,1.9225282208403257e-08,4.614067730016782e-07
random,mae,t,lgbm,monroe35,50,-0.04771618400492298,0.02312612681267813,0.02,1.8397245668416157e-19,6.99095335399814e-18
random,mae,t,lgbm,median,50,0.39149572505470404,0.09142988273371302,1.0,2.219074923963205e-33,1.0813081659876082e-31
random,mae,t,lgbm,pub_knn,50,0.012558782306717397,0.03564667481476323,0.64,0.016165509296933323,0.22631713015706653
random,mae,t,lgbm,pub_svm,50,-0.017050487090376612,0.020480330740137834,0.18,3.494404914553029e-07,6.988809829106058e-06
random,mae,t,lgbm,pub_rf,50,-0.00018389535917729405,0.025948477851296243,0.42,0.9602366590422694,1.0
