metric,split,folds,tol,within_tol,max_abs_diff
mae,butina,50,1e-06,50,2.581674429791292e-09
mae,diverse_25,50,1e-06,0,0.21788647560357866
mae,random,50,1e-06,50,3.245112178973386e-09
mae,scaffold,50,1e-06,50,3.6298565264658578e-09
mae,time,50,1e-06,50,2.9266400414229565e-09
mae,umap,50,1e-06,50,2.0534959288553978e-09
r2,butina,50,1e-06,50,4.993559038490858e-09
r2,diverse_25,50,1e-06,0,1.0862930961162658
r2,random,50,1e-06,50,5.073503839270188e-09
r2,scaffold,50,1e-06,50,4.534138287048961e-09
r2,time,50,1e-06,50,5.753151510745624e-09
r2,umap,50,1e-06,50,5.136679331885219e-09
spearman,butina,50,0.01,50,0.0017865408098367563
spearman,diverse_25,50,0.01,6,0.219125968488031
spearman,random,50,0.01,50,0.00032458827428094583
spearman,scaffold,50,0.01,50,0.0004779211526056981
spearman,time,50,0.01,50,0.0034944814085173803
spearman,umap,50,0.01,50,0.0005553771977323541
