split,metric,method,mean,sd,n_folds,paired_group
random,mae,knn,0.5002361455293994,0.06365331172694254,50,worse
random,mae,lgbm,0.4876773632925454,0.04647557396950691,50,worse
random,mae,chemeleon,0.46298397663647717,0.043833907967201234,50,worse
random,mae,monroe35,0.4399611792876224,0.04170576977399125,50,best
random,mae,median,0.8791730883472494,0.08900745544825839,50,worse
random,mae,pub_knn,0.5002361455992628,0.06365331167387123,50,worse
random,mae,pub_svm,0.47062687620216875,0.04486053650398039,50,worse
random,mae,pub_rf,0.48749346793336806,0.053501090603189715,50,worse
random,mae,pub_xgboost,0.48952426648979747,0.04736003974035106,50,worse
random,mae,pub_mlp,0.4924200224876404,0.04873504296366341,50,worse
random,mae,pub_gnn,0.595036501288414,0.058336653328542466,50,worse
scaffold,mae,knn,0.6197906090047967,0.08058578870153751,50,worse
scaffold,mae,lgbm,0.5924310664967759,0.07197980486187852,50,worse
scaffold,mae,chemeleon,0.5668993581786572,0.0782648670909255,50,worse
scaffold,mae,monroe35,0.5434003561698334,0.06837672577202156,50,best
scaffold,mae,median,0.8818301108833494,0.11094528744621698,50,worse
scaffold,mae,pub_knn,0.6197906093068858,0.0805857886831711,50,worse
scaffold,mae,pub_svm,0.5777970064012549,0.07543557003515006,50,worse
scaffold,mae,pub_rf,0.5867815748189753,0.07828936328714933,50,worse
scaffold,mae,pub_xgboost,0.5975640020952286,0.07914699903616469,50,worse
scaffold,mae,pub_mlp,0.6119263416528702,0.0824336350347163,50,worse
scaffold,mae,pub_gnn,0.6924877953529358,0.08160591041740392,50,worse
butina,mae,knn,0.7859389485781791,0.13940920394554795,50,worse
butina,mae,lgbm,0.7388258671637348,0.11406472559215419,50,worse
butina,mae,chemeleon,0.7107301058565383,0.12951477499107805,50,equivalent
butina,mae,monroe35,0.690823392208039,0.12782892773718108,50,best
butina,mae,median,0.8957193994169168,0.16553251475273797,50,worse
butina,mae,pub_knn,0.7859389487822148,0.13940920382983557,50,worse
butina,mae,pub_svm,0.7323698721882974,0.13251965810443506,50,worse
butina,mae,pub_rf,0.7345746517624459,0.13825499103138003,50,worse
butina,mae,pub_xgboost,0.7342178015396449,0.13481842257322038,50,worse
butina,mae,pub_mlp,0.7725527203083038,0.14702765631241999,50,worse
butina,mae,pub_gnn,0.856642199754715,0.17757009622974881,50,worse
diverse_25,mae,knn,0.7933030740233964,0.10889824009836611,50,worse
diverse_25,mae,lgbm,0.753228992378868,0.0793222782468957,50,worse
diverse_25,mae,chemeleon,0.7539455406132513,0.09715632877644106,50,equivalent
diverse_25,mae,monroe35,0.7183428509122747,0.09305443554575006,50,best
diverse_25,mae,median,0.9068443000040842,0.1181028387910147,50,worse
diverse_25,mae,pub_knn,0.7930497482205205,0.0961750619069671,50,worse
diverse_25,mae,pub_svm,0.7589283579254023,0.08820978704039888,50,worse
