task,dimension,model,dataset,split,fold,seed,best_k,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,median_mae,median_rmse,median_r2,mean_mae,mean_rmse,mean_r2,random_mae,random_rmse,random_r2
regressor,2d,knn,1865,random,1,42,3,0.41499838784399123,0.596213962360896,0.5276268664916643,0.46557836454371954,0.6479627988464207,0.5748360413524256,0.7735709129519495,0.775194312494361,0.8333166400090173,0.9969735178751133,-0.006522625434128848,0.8332424343984614,0.9947096485449806,-0.0019567095608270524,1.1011063853248164,1.3667558493245298,-0.8916386510332501
regressor,2d,knn,1865,scaffold,1,42,5,0.38998075964170537,0.5285674574883422,0.7202421214985626,0.6884404762440408,0.9112887806943414,0.10693097541260588,0.5539014552115837,0.5508592531174186,0.838284072864043,1.0111326131847973,-0.0994847657761484,0.8305384721182603,1.0006671620911676,-0.07684271879081273,1.186288089348021,1.4586215129998013,-1.2880115301271955
regressor,2d,knn,1865,butina,1,42,3,0.4810326435850098,0.7107606039391646,0.39776382899198226,0.9082228562008826,1.1750799729401245,-0.18818912756271766,0.27065569086503183,0.23121397254679324,0.9210215856217315,1.1133082164253068,-0.0665508187094126,0.937769778897872,1.1363748196554833,-0.11120433913338301,1.188946410554308,1.4342803404956193,-0.7701856514515966
regressor,2d,knn,1865,diverse_25,1,42,5,0.6473992748117299,0.8188413210736353,0.27526994409990335,0.8346360292558725,1.032623330870725,0.15263578164301317,0.48531867237312826,0.4805873941885742,0.9944468970758062,1.2033486017301356,-0.15071869819954542,0.9345745540374941,1.15003715054591,-0.0510176144410559,1.2720985043895625,1.574455821336826,-0.969913755238446
regressor,2d,knn,1865,umap,1,42,3,0.5065943636785907,0.7019379317354791,0.5317170401285589,0.7641762713884849,1.1269305831850351,-0.4314881927693308,0.18224156542227427,0.25929674737609176,0.7245864812633283,0.9421095786680689,-0.00045205061887210185,0.728021915855301,0.9426323409496216,-0.0015626299196154214,1.1293909103729403,1.3442661092989363,-1.0368729429441261
regressor,2d,knn,1865,time,1,42,3,0.38564479598494433,0.5246577279725146,0.3863697052543237,0.896406176978533,1.1403063990214386,-0.2487899911532203,0.16503093084476245,0.1643913014125055,0.8402241733909676,1.0255701775754216,-0.010129497674377097,0.855418548894757,1.041700348158443,-0.04215401253359552,1.07382301623328,1.3176148071663296,-0.6673363553769003
regressor,2d,knn,220,random,1,42,5,0.42434894958373176,0.5593716781315293,0.7286629344411526,0.49240103415636877,0.6731724059959256,0.6436323101206083,0.8146488989263982,0.7817016009585444,0.8852661811375635,1.1315453293226845,-0.006907610586473156,0.9252443732522105,1.135717565445673,-0.014346643328326358,1.25632743436604,1.594250057473803,-0.9987505368554628
regressor,2d,knn,220,scaffold,1,42,3,0.5161154863795407,0.6878906895015322,0.5949268063081088,0.6035008928962604,0.8468869411623549,0.32935340250057066,0.6213560090686616,0.5973292233475388,0.8510533374343519,1.06030130266204,-0.05123894843729482,0.8571597383589121,1.03423788707369,-0.00019283598952024583,1.2569063207459077,1.5778700570310755,-1.3280125790689699
regressor,2d,knn,220,butina,1,42,3,0.44520875345738953,0.6348440478442736,0.5649058783874029,0.8836604469628966,1.1398004964099584,-0.046420265603925426,0.36551702577715417,0.3764314703198848,1.0314097561367899,1.30809491503585,-0.37824673763903216,0.9439819209091033,1.1856790267840056,-0.13235534365019053,1.3325972044702843,1.6709623369240172,-1.2489602557507644
regressor,2d,knn,220,diverse_25,1,42,1,0.8010861955846039,1.1231182978551082,0.11654171242920519,0.8561984954479768,1.1819403843489174,-0.3480160942752575,0.22099250602064408,0.28504419487844085,0.797441024218014,1.029967487834049,-0.023648762024296444,0.812460261700138,1.0187902542978517,-0.0015519883906938148,1.2570089776307662,1.5979784685607776,-1.4640288036523859
