nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
Cc1nc(NC(=O)N2CCC(C)C2C(N)=O)sc1-c1csc(C(C)(C)C)n1,7.657577319177793,CHEMBL3608926,4005,2015.0
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,5.499999678657065,CHEMBL4469603,4005,2019.0
OCc1cccc(-c2nc(N3CCOCC3)c3[nH]ccc3n2)c1,7.187086643357144,CHEMBL1089767,4005,2010.0
Cc1nc(NC(=O)N2CC(O)CC2C(N)=O)sc1-c1csc(C(C)(C)C)n1,7.112231182609522,CHEMBL3608931_CHEMBL3608932,4005,
Cc1cc(NCc2ccccc2C)c2nc(N3CCOCC3)cc(=O)n2c1,5.958607314841775,CHEMBL3218574,4005,2013.0
Oc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1,5.8124792791635365,CHEMBL3109123,4005,2014.0
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1)Nc1cccnc1,7.346787486224656,CHEMBL3109146,4005,2014.0
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3nnn(C4CC4)c3n2)cc1)Nc1cccnc1,7.978810700930062,CHEMBL601462,4005,2010.0
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3nnn(C4CC4)c3n2)cc1)Nc1cccs1,8.522878745280337,CHEMBL601073,4005,2013.0
Fc1cccc(Cn2cc(C=NNc3nc(N4CCOCC4)c4sccc4n3)c3ccccc32)c1,5.628932137728263,CHEMBL2088442,4005,2015.0
Cc1nc(NC(=O)N2CC(N(C)C)CC2C(N)=O)sc1-c1csc(C2(C)CC2)n1,6.2839966563652006,CHEMBL3608934,4005,2015.0
CCc1nn2c(O)cc(-c3ccncc3)nc2c1Cc1cccc(Cl)c1Cl,6.799998134593398,CHEMBL2322338,4005,2013.0
OCc1cccc(-c2nc(N3CCOCC3)c3cc[nH]c3n2)c1,7.096910013008056,CHEMBL1088833,4005,2010.0
Cc1nc(NC(=O)N2CCC(C)C2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,7.721246399047171,CHEMBL3605178,4005,2015.0
CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(CN3CCN(C(=O)C4CC4)CC3=O)cc2n1,7.075720713938118,CHEMBL4788952,4005,2020.0
OCc1cccc(-c2nc(N3CCOCC3)c3cccnc3n2)c1,6.571865205971211,CHEMBL3109138,4005,2014.0
O=C(Nc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1)c1cccnc1,7.275724130399211,CHEMBL2326955,4005,2013.0
Oc1cc(-c2ccncc2)nc2c(Cc3cccc(Cl)c3Cl)c(C(F)(F)F)nn12,6.199998172182031,CHEMBL2322341,4005,2013.0
Oc1cc(C2CCOCC2)nc2c(Cc3cccc(Cl)c3Cl)c(C(F)(F)F)nn12,5.59999938302362,CHEMBL2322342,4005,2013.0
O=C(Nc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1)c1ccncc1,7.853871964321762,CHEMBL2326959,4005,2013.0
CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(CN3CCN(C(=O)C4CCC4)CC3=O)cc2n1,6.931814138253838,CHEMBL4752490,4005,2020.0
Oc1cc(N2CCOCC2)nc2c(Cc3cccc(Cl)c3Cl)c(C(F)(F)F)nn12,6.699991797446187,CHEMBL2322340,4005,2013.0
CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(CN3CCN(C4CCCC4)C(=O)C3)cc2n1,6.6020599913279625,CHEMBL4750636,4005,2020.0
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1)Nc1cccc(CO)c1,7.397940008672037,CHEMBL3109141,4005,2014.0
Cc1nc(NC(=O)N2CCC(C)C2C(N)=O)sc1-c1csc(C2(C(F)(F)F)CC2)n1,7.853871964321762,CHEMBL3608927,4005,2015.0
CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(CN3CCN(C4CCCC4)CC3=O)cc2n1,6.614393726401688,CHEMBL4753342,4005,2020.0
Cc1nc(NC(=O)N2CCC(O)C2C(N)=O)sc1-c1csc(C(C)(C)C)n1,7.619788758288394,CHEMBL3608928,4005,2015.0
CN1CCN(c2ncc(-c3csc4c(=O)cc(N5CCOCC5)oc34)cn2)CC1,6.462180904926726,CHEMBL2326951,4005,2013.0
OCc1cccc(-c2nc(N3CCOCC3)c3ncn(C4CCN(Cc5ccccc5)CC4)c3n2)c1,7.273723468385537,CHEMBL589142,4005,2010.0
OCc1cccc(-c2nc(N3CCOCC3)c3ncccc3n2)c1,7.214670164989233,CHEMBL3109126,4005,2014.0
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.499999678657065,CHEMBL4580546,4005,2019.0
CCc1ncc(-c2ccc3ncn(CC(C)C(=O)NC)c(=O)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1Cl,8.221848749616356,CHEMBL4637855,4005,2020.0
Cc1cc(N2CCc3c(-c4cccc(O)c4)nc(N4CCOCC4)nc32)ccn1,6.769551078621726,CHEMBL2314579,4005,2013.0
OCc1cccc(-c2nc(N3CCOCC3)c3nnn(C4CCN(Cc5ccccc5)CC4)c3n2)c1,7.080921907623926,CHEMBL592064,4005,2010.0
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1)Nc1cccc(O)c1,6.767003889607846,CHEMBL3109143,4005,2014.0
CC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,6.900008766455316,CHEMBL4448306,4005,2019.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(C(F)(F)F)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,9.221848749616356,CHEMBL4644237,4005,2020.0
Fc1ccc2c(c1)nc1n2CCOc2ccc(Br)cc2-1,6.742321425130816,CHEMBL3401245,4005,2015.0
Cc1nc(NC(=O)N2CCCC2)sc1-c1ccnc(C(C)(C)C)c1,6.207608310501746,CHEMBL2397189,4005,2013.0
CNC(=O)CNc1nc(-c2cccc(O)c2)nc(N2CCOCC2)n1,6.136677139879544,CHEMBL3775745,4005,2015.0
CCC(C)C(N)C(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,7.11975822410452,CHEMBL4159469,4005,2018.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(Br)cc4)CC3)cc12,5.080921907623926,CHEMBL4540508,4005,2019.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(C(F)(F)F)cc4)CC3)cc12,5.415668775632469,CHEMBL4452143,4005,2019.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(Cl)c([N+](=O)[O-])c4)CC3)cc12,8.045757490560675,CHEMBL4468039,4005,2019.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(Cl)cc4)CC3)cc12,5.809668301829708,CHEMBL4441408,4005,2019.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(F)cc4)CC3)cc12,5.050122295963125,CHEMBL4513423,4005,2019.0
CCC(CC)CNc1c(C(N)=O)cnc2ccc(C#N)cc12,6.607303046740334,CHEMBL4593348,4005,2016.0
CCC(CC)c1nc(-c2sc(NC(=O)N3CCCC3C(N)=O)nc2C)cs1,7.055517327849831,CHEMBL3609539,4005,2015.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc([N+](=O)[O-])cc4)CC3)cc12,5.580044251510242,CHEMBL4568307,4005,2019.0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4cccc([N+](=O)[O-])c4)CC3)cc12,5.209011524911184,CHEMBL4469318,4005,2019.0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc(C(F)(F)F)cc3)cc12,5.931814138253838,CHEMBL4451013,4005,2019.0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc(Cl)c([N+](=O)[O-])c3)cc12,6.346787486224656,CHEMBL4566022,4005,2019.0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)cc12,5.84163750790475,CHEMBL4440911,4005,2019.0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)cc12,5.432973633840939,CHEMBL4545402,4005,2019.0
Cc1nc(NC(=O)N2CCCC2(C)C(N)=O)sc1-c1csc(C2(C(F)(F)F)CC2)n1,7.0,CHEMBL3608925,4005,2015.0
CNC(=O)C1CCCN1C(=O)Nc1nc(C)c(-c2ccnc(C(C)(C)C)c2)s1,5.568636235841012,CHEMBL2397188,4005,2013.0
Cc1nc(NC(=O)N2CCCC2(C)C(N)=O)sc1-c1csc(C(C)(C)C)n1,7.522878745280337,CHEMBL3608924,4005,2015.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4sccc4C)c3)cc2c1=O,8.387216143280265,CHEMBL4637007,4005,2020.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4sc(C)nc4C)c3)cc2c1=O,9.30102999566398,CHEMBL4640081,4005,2020.0
Cc1nc(NC(=O)N2CCCC2C(=O)O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,7.543633966870956,CHEMBL4800682,4005,2020.0
CN(C(=O)c1cc2c(s1)-c1ccccc1OCC2)C1CCCCC1,6.053056729302174,CHEMBL2322498,4005,2013.0
CNC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.499999678657065,CHEMBL4452326,4005,2019.0
CNC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,7.100015437450609,CHEMBL4569315,4005,2019.0
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,6.499996931948306,CHEMBL4470887,4005,2019.0
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,5.40000018605658,CHEMBL4575913,4005,2019.0
CN(C(=O)c1cc2c(s1)-c1ncccc1OCC2)c1ccccc1Cl,8.154901959985743,CHEMBL2322772,4005,2013.0
COc1cc(Nc2nc3ccccc3nc2S(=O)(=O)c2ccccc2)cc(OC)c1,7.154901959985743,CHEMBL1835252,4005,2011.0
