task,dimension,model,dataset,split,fold,seed,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,config,gap,objective_with_penalty,test_mse,train_mae,train_mse,train_pearson_r,train_r2,train_rmse,train_spearman_r,val_mse,val_pearson_r,val_spearman_r
regressor,2d,gnn,279,scaffold,5,42,0.6668584942817688,0.8546659630776523,0.3611218333244324,0.7168064117431641,0.9199673910685232,0.24707013368606567,0.582419753074646,0.5753226668530692,"{'hidden_dim': 100, 'n_layers': 5, 'ffn_hidden_dim': 200, 'ffn_n_layers': 3, 'dropout': 0.1259481596630914, 'aggregation': 'sum', 'lr': 0.0006963956530621628, 'weight_decay': 7.022926509706901e-06, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'mse'}",-0.21056513152671796,0.8546659630776523,0.846340000629425,0.4965561032295227,0.4148658812046051,0.8315560817718506,0.666296124458313,0.6441008315509343,0.8321657210764838,0.7304539084434509,0.6284269690513611,0.6208505821084098
regressor,2d,gnn,279,scaffold,3,42,0.6306875944137573,0.7956416365209381,0.5152995586395264,0.7263886332511902,0.9286995133941811,0.17952847480773926,0.5783112645149231,0.602542045925072,"{'hidden_dim': 300, 'n_layers': 4, 'ffn_hidden_dim': 200, 'ffn_n_layers': 2, 'dropout': 0.05881033946186663, 'aggregation': 'sum', 'lr': 0.0009899732108210693, 'weight_decay': 3.349785322777983e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.21211967363171869,0.7956416365209381,0.8624827861785889,0.44376689195632935,0.3404978811740875,0.8731244206428528,0.7275953888893127,0.5835219628892194,0.8708457014454917,0.6330456137657166,0.7282466292381287,0.7519343961214406
regressor,2d,gnn,279,scaffold,2,42,0.5953630805015564,0.7466857718325342,0.6003172397613525,0.8083277344703674,1.0053852037696718,0.10656934976577759,0.552289605140686,0.5542717215340703,"{'hidden_dim': 500, 'n_layers': 5, 'ffn_hidden_dim': 300, 'ffn_n_layers': 2, 'dropout': 0.02565071655325827, 'aggregation': 'sum', 'lr': 0.0005024782669266121, 'weight_decay': 2.8591041562912652e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.2052842426097894,0.7466857718325342,1.0107994079589844,0.40521907806396484,0.29311561584472656,0.8837172389030457,0.759279727935791,0.5414015292227448,0.8844873475422118,0.5575396418571472,0.7858805656433105,0.7726475854204622
regressor,2d,gnn,279,scaffold,4,42,0.5764259696006775,0.7327759560784187,0.5481940507888794,0.6627411246299744,0.8428316416704268,0.4837939143180847,0.698399007320404,0.6902338903171495,"{'hidden_dim': 500, 'n_layers': 4, 'ffn_hidden_dim': 300, 'ffn_n_layers': 3, 'dropout': 0.04317530703146792, 'aggregation': 'sum', 'lr': 0.0008116266037495829, 'weight_decay': 1.6521523382798543e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'mse'}",-0.2009547597928163,0.7327759560784187,0.7103651762008667,0.3999544382095337,0.2828337848186493,0.8711857795715332,0.758586049079895,0.5318211962856024,0.8721784860309066,0.5369606018066406,0.742760419845581,0.7404360471639313
regressor,2d,gnn,279,scaffold,1,42,0.6169841885566711,0.7843158456449977,0.45229774713516235,0.7564263343811035,0.9624887366688591,0.28947293758392334,0.6205040812492371,0.6175204571966452,"{'hidden_dim': 400, 'n_layers': 6, 'ffn_hidden_dim': 200, 'ffn_n_layers': 2, 'dropout': 0.2564738615666899, 'aggregation': 'sum', 'lr': 0.0008580912347185668, 'weight_decay': 3.128748733487463e-06, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.05554642896371853,0.7843158456449977,0.9263845682144165,0.5801377296447754,0.5311048626899719,0.7629016041755676,0.5484975576400757,0.7287694166812791,0.7592386306595258,0.6151513457298279,0.6961266994476318,0.6991203053654469
regressor,2d,gnn,279,random,5,42,0.6182919144630432,0.7847349260552827,0.5234372019767761,0.5934577584266663,0.75762893970537,0.47840172052383423,0.7213370203971863,0.7160865722331236,"{'hidden_dim': 100, 'n_layers': 4, 'ffn_hidden_dim': 200, 'ffn_n_layers': 3, 'dropout': 0.12781411086166217, 'aggregation': 'sum', 'lr': 0.0006769319027109817, 'weight_decay': 8.246546169952898e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'mse'}",-0.09979273532410071,0.7847349260552827,0.5740016102790833,0.530476450920105,0.469145804643631,0.800174355506897,0.6203974485397339,0.684942190731182,0.8047743261280664,0.61580890417099,0.7279701828956604,0.7034702727500531
regressor,2d,gnn,279,random,3,42,0.567329466342926,0.7459490570847892,0.5685704946517944,0.5654826760292053,0.7389434992854738,0.5134131908416748,0.728030264377594,0.7261406409589443,"{'hidden_dim': 100, 'n_layers': 5, 'ffn_hidden_dim': 400, 'ffn_n_layers': 3, 'dropout': 0.012425936815741818, 'aggregation': 'sum', 'lr': 0.0006883695835643369, 'weight_decay': 5.5116328295710053e-05, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'mse'}",-0.20567710683059004,0.7459490570847892,0.546037495136261,0.42029696702957153,0.29189378023147583,0.8745027184486389,0.7630302309989929,0.5402719502541992,0.873958727503831,0.556439995765686,0.7569634914398193,0.7618929083964125
regressor,2d,gnn,279,random,2,42,0.6307293772697449,0.8112883336278226,0.44924747943878174,0.6074586510658264,0.8025272594112199,0.4866527318954468,0.7014033198356628,0.7065103265474945,"{'hidden_dim': 200, 'n_layers': 3, 'ffn_hidden_dim': 400, 'ffn_n_layers': 2, 'dropout': 0.05357584082495967, 'aggregation': 'sum', 'lr': 0.0009415544847349735, 'weight_decay': 1.4982711770342052e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.22336278173954072,0.8112883336278226,0.6440500020980835,0.4452264606952667,0.34565645456314087,0.8460851311683655,0.7128168344497681,0.5879255518882819,0.8472930839224727,0.6581887602806091,0.6804938912391663,0.6703436150183173
regressor,2d,gnn,279,random,4,42,0.5156267881393433,0.6901182904987413,0.5952123403549194,0.627371609210968,0.8349746078353688,0.4708911180496216,0.7030156850814819,0.6927690389151805,"{'hidden_dim': 300, 'n_layers': 4, 'ffn_hidden_dim': 400, 'ffn_n_layers': 3, 'dropout': 0.001707944703282574, 'aggregation': 'sum', 'lr': 0.0007886975921263689, 'weight_decay': 6.839600079712615e-06, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'mse'}",-0.1899255662201852,0.6901182904987413,0.6971825957298279,0.3851213753223419,0.2501927614212036,0.8939214944839478,0.7889517545700073,0.5001927242785561,0.88901337043304,0.47626325488090515,0.775696337223053,0.7722558878050308
regressor,2d,gnn,279,random,1,42,0.659277617931366,0.7849615814138003,0.4306793212890625,0.6766071319580078,0.850165665133924,0.4284716248512268,0.6659256815910339,0.651769086375764,"{'hidden_dim': 400, 'n_layers': 6, 'ffn_hidden_dim': 200, 'ffn_n_layers': 3, 'dropout': 0.23724836485056333, 'aggregation': 'sum', 'lr': 0.0007521856022359346, 'weight_decay': 2.423788940036682e-05, 'batch_size': 100, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.05989750555259643,0.7849615814138003,0.7227816581726074,0.5588669776916504,0.5257179141044617,0.7626168727874756,0.5676116943359375,0.7250640758612039,0.7649338575439425,0.6161646842956543,0.681942343711853,0.677571729944671
